EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels,day_change
LM_0352,0,42.12,42.12,NA,100,TMO,NA
LM_0353,0,43.86,43.86,NA,100,STT,NA
LM_0354,0,41.65,41.65,NA,100,PSE,NA
LM_0355,0,45.85,45.85,NA,100,VAG,NA
LM_0356,0,39.94,39.94,NA,100,BSE,NA
LM_0357,0,42.76,42.76,NA,100,PWF,NA
LM_0358,0,46.92,46.92,NA,100,XNG,NA
LM_0359,0,42.12,42.12,NA,100,HXA,NA
LM_0361,0,43.11,43.11,NA,100,NCD,NA
LM_0363,0,43.11,43.11,NA,100,YYO,NA
LM_0364,0,46.82,46.82,NA,100,NUZ,NA
LM_0365,0,67.21,67.21,NA,100,DRA,NA
LM_0366,0,47.77,47.77,NA,100,YYR,NA
LM_0367,0,48.55,48.55,NA,100,HNX,NA
LM_0352,1,41.73,42.12,1.2,99.0740740740741,MLZ,NA
LM_0353,1,44.18,43.86,2.28,100.729594163247,CQB,NA
LM_0354,1,42.12,41.65,1.57,101.128451380552,LKJ,NA
LM_0355,1,46.45,45.85,2.3,101.308615049073,JRA,NA
LM_0356,1,40.47,39.94,1.49,101.326990485729,YMB,NA
LM_0357,1,42.23,42.76,1.76,98.7605238540692,WXZ,NA
LM_0358,1,46.28,46.92,1.14,98.6359761295823,PYV,NA
LM_0359,1,42.01,42.12,1.65,99.7388414055081,IWL,NA
LM_0361,1,42.22,43.11,1.32,97.9355138019021,SBW,NA
LM_0363,1,43.52,43.11,2.15,100.951055439573,IAN,NA
LM_0364,1,45.53,46.82,1.23,97.2447671935071,FMM,NA
LM_0365,1,65.5,67.21,1.93,97.4557357536081,RBK,NA
LM_0366,1,46.13,47.77,1.25,96.5668829809504,WTX,NA
LM_0367,1,48.02,48.55,1.82,98.908341915551,HOK,NA
LM_0352,2,41.48,42.12,1.56,98.4805318138652,FFV,NA
LM_0353,2,43.68,43.86,1.86,99.5896032831737,CSP,NA
LM_0354,2,42.96,41.65,1.27,103.145258103241,NUP,NA
LM_0355,2,47.03,45.85,1.59,102.57360959651,ULK,NA
LM_0356,2,40.91,39.94,1.32,102.428642964447,PDV,NA
LM_0357,2,42.52,42.76,1.89,99.4387277829748,EBR,NA
LM_0358,2,46.8,46.92,1.16,99.7442455242967,JKP,NA
LM_0359,2,42.43,42.12,1.39,100.735992402659,HYK,NA
LM_0361,2,42.68,43.11,1.41,99.002551612155,IXP,NA
LM_0363,2,43.13,43.11,1.88,100.046392948272,QCB,NA
LM_0364,2,45.13,46.82,0.86,96.3904314395557,GTM,NA
LM_0365,2,64.63,67.21,2.29,96.1612855229877,JOV,NA
LM_0366,2,46.52,47.77,1.05,97.3832949549927,YCB,NA
