labels,EH_ID,dpi,weight,weight_dpi0,relative_weight,feces_weight,dpi_dissect
E11aAHU,LM0415,8,20.83,20.99,99.237732253454,1.16,
E11aORY,LM0401,8,19.53,20.22,96.5875370919881,0.97,
E11aAGO,LM0425,8,16.05,16.13,99.5040297582145,1.24,
E11aOTW,LM0430,8,24.39,26.25,92.9142857142857,1.7,
E11aBEQ,LM0400,9,17.94,17.96,99.8886414253898,1.95,
E11aLRU,LM0404,9,15.79,16.48,95.8131067961165,1.22,
E11aNRS,LM0410,9,16.99,16.98,100.058892815077,1.96,
E11aHMV,LM0431,9,18.48,18.85,98.0371352785146,1.58,
E11aGIN,LM0408,9,15.26,15.42,98.9623865110247,1.21,
E11aADR,LM0411,9,16.25,15.9,102.201257861635,1.79,
E11aCNO,LM0417,9,23.59,23.38,100.898203592814,2.54,
E11aFHO,LM0422,9,13.88,14.43,96.1884961884962,2.08,
E11aEHI,LM0413,9,20.96,21.88,95.7952468007313,1.66,
E11aEHT,LM0424,9,14.9,16.11,92.4891371818746,148,
E11aBDP,LM0427,9,12.02,14.5,82.8965517241379,0.46,
E11aEMV,LM0405,9,NA,14.67,NA,NA,a8
E11aABO,LM0420,9,16.6,19.87,83.5430296930045,0.61,
E11aCFX,LM0423,9,NA,14.77,NA,NA,a8
E11aDQZ,LM0428,9,19.54,23.42,83.4329632792485,0.45,
E11aACT,LM0429,9,14.2,17.18,82.6542491268917,0.57,
E11aQRT,LM0403,9,12.5,15.12,82.6719576719577,0.13,
E11aGRW,LM0414,9,NA,17.97,NA,NA,a8
E11aCOX,LM0418,9,NA,20.59,NA,NA,a8
E11aJLU,LM0419,9,17.5,21.31,82.1210699202253,0.57,a9
E11aEIK,LM0409,9,NA,17.89,NA,NA,a8
E11aSUY,LM0416,9,11.4,13.45,84.7583643122677,0.82,
E11aNOR,LM0426,9,20.01,24.21,82.6517967781908,1.25,
E11aCLS,LM0402,9,19.1,19.52,97.8483606557377,1.13,
E11aCMU,LM0412,9,23.87,23.57,101.272804412389,1.3,
E11aCNR,LM0421,9,17.09,16.71,102.274087372831,1.84,
E11aDOX,LM0406,9,16.91,18.5,91.4054054054054,1.38,
E11aPSW,LM0407,9,21.75,23.58,92.2391857506361,0.73,
E11aKQR,LM0415,9,21.08,20.99,100.428775607432,1.3,
E11aDGL,LM0401,9,19.8,20.22,97.9228486646884,1.38,
E11aKQS,LM0425,9,15.94,16.13,98.8220706757594,2.54,
E11aHJU,LM0430,9,25.7,26.25,97.9047619047619,1.19,
E11aFPR,LM0400,10,18.22,17.96,101.447661469933,2.58,
E11aOTV,LM0404,10,15.37,16.48,93.2645631067961,1.78,
E11aLPX,LM0410,10,17.03,16.98,100.294464075383,1.33,
E11aSTU,LM0431,10,18.18,18.85,96.4456233421751,1.52,
E11aAKV,LM0408,10,14.98,15.42,97.1465629053178,1.3,
E11aCJK,LM0411,10,16.3,15.9,102.51572327044,1.15,
E11aJNO,LM0417,10,23.23,25.38,91.5287628053586,1.54,
E11aLTW,LM0422,10,14.07,14.43,97.5051975051975,1.44,
E11aHLW,LM0413,10,21.11,21.88,96.4808043875686,0.93,
E11aKRX,LM0424,10,14.61,16.11,90.6890130353817,1.36,
E11aFGU,LM0427,10,11.59,15.23,76.0998030203546,0.25,a10
E11aGJR,LM0405,10,NA,14.67,NA,NA,a8
E11aACM,LM0420,10,14.98,19.87,75.3900352289884,0.5,
E11aNTU,LM0423,10,NA,14.77,NA,NA,a8
E11aAJL,LM0428,10,19.09,23.42,81.5115286080273,0.81,
E11aJRZ,LM0429,10,13.51,17.18,78.6379511059371,0.63,
E11aGXZ,LM0403,10,NA,15.12,NA,NA,a8
E11aJRU,LM0414,10,NA,17.97,NA,NA,a8
E11aDJV,LM0418,10,NA,20.59,NA,NA,a8
E11aBEJ,LM0419,10,NA,21.31,NA,NA,a9
E11aIPS,LM0409,10,NA,17.89,NA,NA,a8
E11aQRV,LM0416,10,10.79,13.45,80.2230483271375,0.3,a10
E11aDWX,LM0426,10,20.01,24.21,82.6517967781908,1.14,
E11aBRY,LM0402,10,18.46,19.52,94.5696721311476,0.73,
E11aBMS,LM0412,10,23.75,23.57,100.763682647433,1,
