"EH_ID";"labels";"Expe";"Neubauer1";"Neubauer2";"Neubauer3";"Neubauer4";"oocyst_mean";"dilution_ml";"OPG";"dpi";"weight";"weight_dpi0";"weightloss";"fecweight";"Eimeria";"X";"X.1";"X.2";"X.3";"X.4";"Locality";"Genome";"Strain";"IDD";"Dam";"Gen";"Sir";"IDS";"Sir.1";"Gen.1";"Born";"Fpar";"LS";"MM";"FF";"ID";"PIN";"Sex";"Gen.2";"Wean";"BW10";"BW20";"Clip";"Departure";"NOTE";"Parent1";"Parent2";"HybridStatus";"ageAtdpi0expe1a";"Batch";"InfectionStrain";"Mouse_subspecies";"Mouse_strain";"infection_isolate";"Eimeria_species";"mean_Neubauer";"OPGstatus"
"LM0179";"HUY";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;2;19,44;18,93;-0,510000000000002;0;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0179";"BLZ";"Expe005_1a";10;4;4;7;NA;1;82236,8421052632;10;18,25;18,93;0,68;0,76;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";6,25;"positive"
"LM0179";"GTY";"Expe005_1a";43;37;56;49;NA;1;906862,745098039;9;17,62;18,93;1,31;0,51;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";46,25;"positive"
"LM0179";"VXY";"Expe005_1a";0;0;0;0;NA;1;0;5;19,22;18,93;-0,289999999999999;1,9;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0179";"HKT";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;3;19,03;18,93;-0,100000000000001;0;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0179";"RVX";"Expe005_1a";0;0;0;0;NA;1;0;6;19,34;18,93;-0,41;0,85;"E88";"soft feces";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0179";"OQZ";"Expe005_1a";25;21;34;23;NA;1;1119565,2173913;8;17,87;18,93;1,06;0,23;"E88";"diarrhea";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";25,75;"positive"
"LM0179";"CXY";"Expe005_1a";0;0;0;2;NA;1;5747,12643678161;11;18,88;18,93;0,0500000000000007;0,87;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";0,5;"positive"
"LM0179";"BEJ";"Expe005_1a";5;5;8;13;NA;1;104729,72972973;7;18,41;18,93;0,52;0,74;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";7,75;"positive"
"LM0179";"ACD";"Expe005_1a";0;0;0;0;NA;1;0;0;18,93;18,93;0;2,31;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";0;"negative"
