EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels,day_change
LM_0363,7,39.58,46.7,1.17,84.7537473233405,ETW,-4.36830835117772
LM_0364,7,43.65,41.6,2.34,104.927884615385,GEH,-0.504807692307693
LM_0365,7,57.94,59.2,2.24,97.8716216216216,GAV,-1.11486486486487
LM_0366,7,45.14,48.1,1.32,93.8461538461538,EOB,-0.207900207900224
LM_0367,7,46.79,49.6,2.65,94.3346774193548,CXE,-1.75403225806451
LM_0348,8,NA,44.4,NA,#VALUE!,GCN,#VALUE!
LM_0349,8,NA,50.5,NA,#VALUE!,HEA,#VALUE!
LM_0350,8,NA,54.5,NA,#VALUE!,GUJ,#VALUE!
LM_0351,8,NA,43.6,NA,#VALUE!,KXK,#VALUE!
LM_0352,8,40.24,40.6,2.52,99.1133004926108,FDT,4.01477832512316
LM_0353,8,39.43,45.1,1.92,87.4279379157428,CNF,5.23281596452328
LM_0354,8,42.2,45,2.98,93.7777777777778,FGV,2.93333333333334
LM_0355,8,43.85,43.9,2.36,99.8861047835991,LWB,1.70842824601367
LM_0356,8,36.43,40.7,0.54,89.5085995085995,YSI,-3.31695331695332
LM_0357,8,35.74,42.8,0.66,83.5046728971963,BWK,-3.71495327102802
LM_0358,8,39.7,49.5,0.5,80.2020202020202,IVI,-5.09090909090908
LM_0359,8,40.73,46.7,2.37,87.2162740899358,FXB,0.920770877944335
LM_0360,8,NA,42.1,NA,#VALUE!,IQD,#VALUE!
LM_0361,8,37.71,46.1,1.13,81.8004338394794,BFV,-0.498915401301517
LM_0362,8,39.64,51.1,0.41,77.573385518591,DTP,-3.67906066536204
LM_0363,8,39.63,46.7,1.37,84.8608137044968,CPI,0.107066381156329
LM_0364,8,44.04,41.6,2.67,105.865384615385,NOU,0.937500000000014
LM_0365,8,58,59.2,1.95,97.972972972973,ONQ,0.101351351351354
LM_0366,8,45.73,48.1,2,95.0727650727651,UAE,1.22661122661123
LM_0367,8,46.51,49.6,0.98,93.7701612903226,HQG,-0.564516129032256
LM_0348,9,NA,44.4,NA,#VALUE!,JKY,#VALUE!
LM_0349,9,NA,50.5,NA,#VALUE!,HTT,#VALUE!
LM_0350,9,NA,54.5,NA,#VALUE!,DUE,#VALUE!
LM_0351,9,NA,43.6,NA,#VALUE!,PRH,#VALUE!
LM_0352,9,40.14,40.6,2.84,98.8669950738916,PBX,-0.246305418719203
LM_0353,9,40.79,45.1,2.55,90.4434589800443,NWE,3.01552106430155
LM_0354,9,42.09,45,2.13,93.5333333333334,ENX,-0.24444444444444
LM_0355,9,44.58,43.9,2.08,101.548974943052,NJL,1.66287015945331
LM_0356,9,34.55,40.7,1.12,84.8894348894349,EXA,-4.61916461916462
LM_0357,9,34.12,42.8,0.72,79.7196261682243,WYZ,-3.78504672897198
LM_0358,9,37.64,49.5,0.48,76.040404040404,SNC,-4.16161616161617
LM_0359,9,40.27,46.7,1.27,86.2312633832977,ULF,-0.985010706638107
LM_0360,9,NA,42.1,NA,#VALUE!,SYQ,#VALUE!
LM_0361,9,39.36,46.1,2.23,85.3796095444685,FTM,3.57917570498914
LM_0362,9,37.92,51.1,0.3,74.2074363992172,PUM,-3.36594911937378
LM_0363,9,40.07,46.7,1.75,85.8029978586724,RDV,0.942184154175578
LM_0364,9,43.82,41.6,2.83,105.336538461538,IJK,-0.52884615384616
LM_0365,9,58.41,59.2,2.15,98.6655405405405,EDT,0.692567567567565
LM_0366,9,45.02,48.1,3.13,93.5966735966736,OWI,-1.47609147609147
LM_0367,9,46.55,49.6,1.7,93.8508064516129,KBE,0.080645161290306
