"","EH_ID","labels","experiment","OPG","dpi","relative_weight","Mouse_strain","primary_infection"
"1","LM0179","ACD","E6",0,0,100,"PWD_BUSNA","E88"
"2","LM0179","MQS","E6",NA,1,104.543053354464,"PWD_BUSNA","E88"
"3","LM0179","HUY","E6",NA,2,102.694136291601,"PWD_BUSNA","E88"
"4","LM0179","HKT","E6",NA,3,100.528262017961,"PWD_BUSNA","E88"
"5","LM0179","ELN","E6",0,4,102.746962493397,"PWD_BUSNA","E88"
"6","LM0179","VXY","E6",0,5,101.531959852087,"PWD_BUSNA","E88"
"7","LM0179","RVX","E6",0,6,102.16587427364,"PWD_BUSNA","E88"
"8","LM0179","BEJ","E6",104729.72972973,7,97.2530375066033,"PWD_BUSNA","E88"
"9","LM0179","OQZ","E6",1119565.2173913,8,94.4004226096144,"PWD_BUSNA","E88"
"10","LM0179","GTY","E6",906862.745098039,9,93.0797675647121,"PWD_BUSNA","E88"
"11","LM0179","BLZ","E6",82236.8421052632,10,96.4078182778658,"PWD_BUSNA","E88"
"12","LM0179","CXY","E6",5747.12643678161,11,99.7358689910195,"PWD_BUSNA","E88"
"13","LM0180","BLX","E6",0,0,100,"STRA_BUSNA","E88"
"14","LM0180","DTY","E6",NA,1,98.3402489626556,"STRA_BUSNA","E88"
"15","LM0180","MQT","E6",NA,2,98.8381742738589,"STRA_BUSNA","E88"
"16","LM0180","CLZ","E6",NA,3,98.7136929460581,"STRA_BUSNA","E88"
"17","LM0180","GLV","E6",0,4,99.6265560165975,"STRA_BUSNA","E88"
"18","LM0180","LMW","E6",0,5,99.253112033195,"STRA_BUSNA","E88"
"19","LM0180","KWY","E6",0,6,98.1742738589212,"STRA_BUSNA","E88"
"20","LM0180","QRU","E6",0,7,96.7634854771784,"STRA_BUSNA","E88"
"21","LM0180","CGI","E6",6e+05,8,92.3236514522821,"STRA_BUSNA","E88"
"22","LM0180","QVZ","E6",365384.615384615,9,90,"STRA_BUSNA","E88"
"23","LM0180","DPT","E6",127314.814814815,10,93.8174273858921,"STRA_BUSNA","E88"
"24","LM0180","IJY","E6",4000,11,97.8838174273859,"STRA_BUSNA","E88"
"25","LM0181","AWY","E6",0,0,100,"BUSNA_BUSNA","E88"
"26","LM0181","MQR","E6",NA,1,104.114285714286,"BUSNA_BUSNA","E88"
"27","LM0181","IRX","E6",NA,2,101.6,"BUSNA_BUSNA","E88"
"28","LM0181","QTW","E6",NA,3,99.4857142857143,"BUSNA_BUSNA","E88"
"29","LM0181","PSY","E6",0,4,100.857142857143,"BUSNA_BUSNA","E88"
"30","LM0181","KMS","E6",0,5,96.6285714285714,"BUSNA_BUSNA","E88"
"31","LM0181","JLY","E6",0,6,99.8857142857143,"BUSNA_BUSNA","E88"
"32","LM0181","INV","E6",8064.51612903226,7,91.6,"BUSNA_BUSNA","E88"
"33","LM0181","LPT","E6",2388888.88888889,8,84.6285714285714,"BUSNA_BUSNA","E88"
"34","LM0181","HPU","E6",1130434.7826087,9,84.1714285714286,"BUSNA_BUSNA","E88"
"35","LM0181","BCS","E6",301470.588235294,10,82.8571428571429,"BUSNA_BUSNA","E88"
"36","LM0181","CGH","E6",59523.8095238095,11,82.3428571428571,"BUSNA_BUSNA","E88"
"37","LM0182","CLT","E6",0,0,100,"SCHUNT_PWD","E88"
"38","LM0182","ESV","E6",NA,1,103.18772136954,"SCHUNT_PWD","E88"
"39","LM0182","BOR","E6",NA,2,103.010625737898,"SCHUNT_PWD","E88"
"40","LM0182","HIS","E6",NA,3,105.253837072019,"SCHUNT_PWD","E88"
"41","LM0182","ABD","E6",0,4,102.420306965762,"SCHUNT_PWD","E88"
"42","LM0182","JMY","E6",0,5,102.538370720189,"SCHUNT_PWD","E88"
"43","LM0182","JRS","E6",0,6,104.604486422668,"SCHUNT_PWD","E88"
