Conc,OD
2000,1.776
2000,1.95
2000,1.775
2000,1.947
2000,1.776
2000,1.945
1000,1.308
1000,1.232
1000,1.306
1000,1.221
1000,1.302
1000,1.211
500,0.623
500,0.656
500,0.617
500,0.653
500,0.615
500,0.649
500,0.533
500,0.58
500,0.539
500,0.566
500,0.537
500,0.556
250,0.301
250,0.259
250,0.299
250,0.258
250,0.299
250,0.26
250,0.26
250,0.263
250,0.262
250,0.264
250,0.264
250,0.264
125,0.216
125,0.251
125,0.215
125,0.229
125,0.214
125,0.192
125,0.152
125,0.14
125,0.151
125,0.139
125,0.15
125,0.137
62.5,0.104
62.5,0.085
62.5,0.104
62.5,0.086
62.5,0.104
62.5,0.087
62.5,0.054
62.5,0.064
62.5,0.051
62.5,0.063
62.5,0.05
62.5,0.062
31.25,0.061
31.25,0.085
31.25,0.06
31.25,0.085
31.25,0.06
31.25,0.085
31.25,0.034
31.25,0.045
31.25,0.035
31.25,0.044
31.25,0.036
31.25,0.043
15.625,0.043
15.625,0.016
15.625,0.044
15.625,0.017
15.625,0.046
15.625,0.017
7.8125,0.002
7.8125,0.017
7.8125,0.003
7.8125,0.019
7.8125,0.003
7.8125,0.018
0,0.009
0,0.004
0,0.009
0,0.003
0,0.009
0,0.004
0,-0.018
0,0.004
0,-0.017
0,0.005
0,-0.018
0,0.005
