Pos	Name	Ct SYBR	Ct Mean SYBR	Ct Dev. SYBR	Amount SYBR [Copies]	Amount Mean SYBR	Amount Dev. SYBR	Target SYBR
E10	LM0257	23,19	23,20	0,08	1,00			mouse
E11	LM0257	23,27	23,20	0,08	1,00			mouse
E12	LM0257	23,12	23,20	0,08	1,00			mouse
F1	LM0236	28,76	29,20	0,42	1,00			eimeria
F2	LM0236	29,58	29,20	0,42	1,00			eimeria
F3	LM0236	29,27	29,20	0,42	1,00			eimeria
F4	LM0236	23,38	23,18	0,18	1,00			mouse
F5	LM0236	23,02	23,18	0,18	1,00			mouse
F6	LM0236	23,14	23,18	0,18	1,00			mouse
F7	LM0232	28,04	28,23	0,23	1,00			eimeria
F8	LM0232	28,16	28,23	0,23	1,00			eimeria
F9	LM0232	28,48	28,23	0,23	1,00			eimeria
F10	LM0232	21,96	22,01	0,15	1,00			mouse
F11	LM0232	21,90	22,01	0,15	1,00			mouse
F12	LM0232	22,18	22,01	0,15	1,00			mouse
G1	LM0228	27,65	27,67	0,12	1,00			eimeria
G2	LM0228	27,80	27,67	0,12	1,00			eimeria
G3	LM0228	27,56	27,67	0,12	1,00			eimeria
G4	LM0228	21,67	21,76	0,11	1,00			mouse
G5	LM0228	21,74	21,76	0,11	1,00			mouse
G6	LM0228	21,88	21,76	0,11	1,00			mouse
G7	LM0229	31,50	30,26	1,21	1,00			eimeria
G8	LM0229	29,09	30,26	1,21	1,00			eimeria
G9	LM0229	30,18	30,26	1,21	1,00			eimeria
G10	LM0229	23,03	23,14	0,12	1,00			mouse
G11	LM0229	23,11	23,14	0,12	1,00			mouse
G12	LM0229	23,27	23,14	0,12	1,00			mouse
A1	LM0231	28,86	28,86	0,50	1,00			eimeria
A2	LM0231	28,36	28,86	0,50	1,00			eimeria
A3	LM0231	29,36	28,86	0,50	1,00			eimeria
A4	LM0231	23,41	23,70	0,34	1,00			mouse
A5	LM0231	23,62	23,70	0,34	1,00			mouse
A6	LM0231	24,07	23,70	0,34	1,00			mouse
A7	LM0255	26,25	26,22	0,06	1,00			eimeria
A8	LM0255	26,15	26,22	0,06	1,00			eimeria
A9	LM0255	26,26	26,22	0,06	1,00			eimeria
A10	LM0255	22,96	23,49	0,47	1,00			mouse
A11	LM0255	23,70	23,49	0,47	1,00			mouse
A12	LM0255	23,82	23,49	0,47	1,00			mouse
B1	LM0249	28,63	28,71	0,60	1,00			eimeria
B2	LM0249	28,16	28,71	0,60	1,00			eimeria
B3	LM0249	29,35	28,71	0,60	1,00			eimeria
B4	LM0249	22,33	22,75	0,36	1,00			mouse
B5	LM0249	22,96	22,75	0,36	1,00			mouse
B6	LM0249	22,95	22,75	0,36	1,00			mouse
B7	LM0258	29,00	29,24	0,25	1,00			eimeria
B8	LM0258	29,50	29,24	0,25	1,00			eimeria
B9	LM0258	29,22	29,24	0,25	1,00			eimeria
B10	LM0258	22,89	23,49	0,52	1,00			mouse
B11	LM0258	23,83	23,49	0,52	1,00			mouse
B12	LM0258	23,75	23,49	0,52	1,00			mouse
C1	LM0251	28,72	28,69	0,15	1,00			eimeria
C2	LM0251	28,53	28,69	0,15	1,00			eimeria
C3	LM0251	28,82	28,69	0,15	1,00			eimeria
C4	LM0251	23,73	23,96	0,21	1,00			mouse
C5	LM0251	24,12	23,96	0,21	1,00			mouse
C6	LM0251	24,03	23,96	0,21	1,00			mouse
C7	LM0259	31,40	31,38	0,73	1,00			eimeria
C8	LM0259	30,63	31,38	0,73	1,00			eimeria
C9	LM0259	32,09	31,38	0,73	1,00			eimeria
C10	LM0259	23,00	23,38	0,36	1,00			mouse
C11	LM0259	23,41	23,38	0,36	1,00			mouse
C12	LM0259	23,73	23,38	0,36	1,00			mouse
D1	LM0247	28,19	28,23	0,25	1,00			eimeria
D2	LM0247	28,01	28,23	0,25	1,00			eimeria
D3	LM0247	28,51	28,23	0,25	1,00			eimeria
D4	LM0247	23,27	23,55	0,35	1,00			mouse
D5	LM0247	23,45	23,55	0,35	1,00			mouse
D6	LM0247	23,94	23,55	0,35	1,00			mouse
D7	LM0261	31,55	28,66	5,00	1,00			eimeria
D8	LM0261	31,54	28,66	5,00	1,00			eimeria
D9	LM0261	22,88	28,66	5,00	1,00			eimeria
D10	LM0261	22,33	22,76	0,43	1,00			mouse
D11	LM0261	22,77	22,76	0,43	1,00			mouse
D12	LM0261	23,19	22,76	0,43	1,00			mouse
E1	LM0266	31,39	31,56	0,16	1,00			eimeria
E2	LM0266	31,62	31,56	0,16	1,00			eimeria
E3	LM0266	31,68	31,56	0,16	1,00			eimeria
E4	LM0266	22,91	23,31	0,39	1,00			mouse
E5	LM0266	23,35	23,31	0,39	1,00			mouse
E6	LM0266	23,68	23,31	0,39	1,00			mouse
E7	LM0264	31,64	31,62	0,14	1,00			eimeria
E8	LM0264	31,46	31,62	0,14	1,00			eimeria
E9	LM0264	31,75	31,62	0,14	1,00			eimeria
E10	LM0264	21,26	21,60	0,30	1,00			mouse
E11	LM0264	21,72	21,60	0,30	1,00			mouse
E12	LM0264	21,82	21,60	0,30	1,00			mouse
F1	LM0268	31,87	31,80	0,33	1,00			eimeria
F2	LM0268	31,45	31,80	0,33	1,00			eimeria
F3	LM0268	32,09	31,80	0,33	1,00			eimeria
F4	LM0268	23,45	23,65	0,22	1,00			mouse
F5	LM0268	23,61	23,65	0,22	1,00			mouse
F6	LM0268	23,88	23,65	0,22	1,00			mouse
F7	LM0271	33,27	33,10	0,44	1,00			eimeria
F8	LM0271	32,61	33,10	0,44	1,00			eimeria
F9	LM0271	33,43	33,10	0,44	1,00			eimeria
F10	LM0271	23,36	23,90	0,47	1,00			mouse
F11	LM0271	24,06	23,90	0,47	1,00			mouse
F12	LM0271	24,26	23,90	0,47	1,00			mouse
G1	LM0233	28,49	28,65	0,31	1,00			eimeria
G2	LM0233	28,44	28,65	0,31	1,00			eimeria
G3	LM0233	29,01	28,65	0,31	1,00			eimeria
G4	LM0233	22,46	22,68	0,25	1,00			mouse
G5	LM0233	22,64	22,68	0,25	1,00			mouse
G6	LM0233	22,94	22,68	0,25	1,00			mouse
G7	LM0286	34,25	34,51	0,36	1,00			eimeria
G8	LM0286	34,37	34,51	0,36	1,00			eimeria
G9	LM0286	34,92	34,51	0,36	1,00			eimeria
G10	LM0286	24,71	25,30	0,52	1,00			mouse
G11	LM0286	25,49	25,30	0,52	1,00			mouse
G12	LM0286	25,69	25,30	0,52	1,00			mouse
A1	LM0277	33,35	33,13	0,90	1,00			eimeria
A2	LM0277	32,14	33,13	0,90	1,00			eimeria
A3	LM0277	33,90	33,13	0,90	1,00			eimeria
A4	LM0277	22,73	22,74	0,05	1,00			mouse
A5	LM0277	22,70	22,74	0,05	1,00			mouse
A6	LM0277	22,79	22,74	0,05	1,00			mouse
A7	LM0273	33,45	33,40	0,19	1,00			eimeria
A8	LM0273	33,55	33,40	0,19	1,00			eimeria
A9	LM0273	33,19	33,40	0,19	1,00			eimeria
A10	LM0273	23,06	22,98	0,08	1,00			mouse
A11	LM0273	22,89	22,98	0,08	1,00			mouse
A12	LM0273	22,98	22,98	0,08	1,00			mouse
B1	LM0282	34,36	34,63	0,30	1,00			eimeria
B2	LM0282	34,95	34,63	0,30	1,00			eimeria
B3	LM0282	34,56	34,63	0,30	1,00			eimeria
B4	LM0282	21,86	21,94	0,13	1,00			mouse
B5	LM0282	22,08	21,94	0,13	1,00			mouse
B6	LM0282	21,86	21,94	0,13	1,00			mouse
B7	LM0288	32,78	32,17	0,53	1,00			eimeria
B8	LM0288	31,90	32,17	0,53	1,00			eimeria
B9	LM0288	31,83	32,17	0,53	1,00			eimeria
B10	LM0288	24,29	23,38	0,82	1,00			mouse
B11	LM0288	23,16	23,38	0,82	1,00			mouse
B12	LM0288	22,69	23,38	0,82	1,00			mouse
C1	LM0278	34,22	34,47	0,22	1,00			eimeria
C2	LM0278	34,53	34,47	0,22	1,00			eimeria
C3	LM0278	34,66	34,47	0,22	1,00			eimeria
C4	LM0278	23,54	23,48	0,07	1,00			mouse
C5	LM0278	23,49	23,48	0,07	1,00			mouse
C6	LM0278	23,41	23,48	0,07	1,00			mouse
C7	LM0289	32,75	31,75	1,24	1,00			eimeria
C8	LM0289	32,15	31,75	1,24	1,00			eimeria
C9	LM0289	30,36	31,75	1,24	1,00			eimeria
C10	LM0289	23,66	22,57	0,95	1,00			mouse
C11	LM0289	22,11	22,57	0,95	1,00			mouse
