"EH_ID","delta","Eim_MC"
"LM_0332",-5.12,"pos"
"LM_0333",-4.27,"pos"
"LM_0334",-4.94,"neg"
"LM_0335",-5.57,"neg"
"LM_0336",-4.02,"pos"
"LM_0337",-7.09,"pos"
"LM_0338",-1.65,"pos"
"LM_0339",-8.94,"pos"
"LM_0340",-10.49,"neg"
"LM_0341",-1.78,"pos"
"LM_0342",-6.11,"pos"
"LM_0343",-8.44,"neg"
"LM_0344",-8.06,"pos"
"LM_0345",-4.38,"pos"
"LM_0346",-8.74,"pos"
"LM_0347",-8.73,"pos"
