labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG,experiment
BN,,,,,,,,
JW,,,,,,,,
JR,,,,,,,,
JV,,,,,,,,
PW,,,,,,,,
JZ,,,,,,,,
AE,,,,,,,,
DF,,,,,,,,
KR,,,,,,,,
HQ,,,,,,,,
KY,,,,,,,,
HZ,,,,,,,,
DU,,,,,,,,
QZ,,,,,,,,
DW,,,,,,,,
OP,,,,,,,,
UX,,,,,,,,
DO,,,,,,,,
CL,,,,,,,,
CZ,,,,,,,,
EH,,,,,,,,
DY,,,,,,,,
BZ,,,,,,,,
AN,,,,,,,,
CT,,,,,,,,
MW,,,,,,,,
HL,,,,,,,,
PS,,,,,,,,
MZ,,,,,,,,
AO,,,,,,,,
FZ,,,,,,,,
DJ,,,,,,,,
DV,,,,,,,,
GU,,,,,,,,
CG,,,,,,,,
LM,,,,,,,,
CM,,,,,,,,
DG,,,,,,,,
QV,,,,,,,,
LW,,,,,,,,
SU,,,,,,,,
IU,,,,,,,,
TY,,,,,,,,
IM,,,,,,,,
SZ,,,,,,,,
GM,,,,,,,,
IZ,,,,,,,,
RX,,,,,,,,
CV,,,,,,,,
VX,,,,,,,,
AV,,,,,,,,
DQ,,,,,,,,
JQ,,,,,,,,
GJ,,,,,,,,
BS,,,,,,,,
GI,,,,,,,,
,,,,,,,,
XZ,,,,,,,,
BX,,,,,,,,
,,,,,,,,
LV,,,,,,,,
,,,,,,,,
DP,,,,,,,,
VZ,,,,,,,,
CQ,,,,,,,,
QU,,,,,,,,
DL,,,,,,,,
FW,,,,,,,,
RY,,,,,,,,
GQ,,,,,,,,
BH,,,,,,,,
LS,,,,,,,,
OR,,,,,,,,
JS,,,,,,,,
AX,,,,,,,,
FU,,,,,,,,
EG,,,,,,,,
AS,,,,,,,,
NZ,,,,,,,,
HS,,,,,,,,
NU,,,,,,,,
FG,,,,,,,,
BL,,,,,,,,
NY,,,,,,,,
BY,,,,,,,,
KV,,,,,,,,
DZ,,,,,,,,
VY,,,,,,,,
BO,,,,,,,,
PV,,,,,,,,
BQ,,,,,,,,
KQ,,,,,,,,
BI,,,,,,,,
NV,,,,,,,,
AZ,,,,,,,,
FI,,,,,,,,
