labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution
ABD,0,0,0,1,1
ABJ,3,5,4,0,2
ABL,23,27,33,24,1
ABM,59,47,51,45,2
ACD,NA,NA,NA,NA,NA
ACL,1,5,5,2,1
ACM,0,0,0,0,2
ACO,0,0,0,0,2
ACQ,5,5,7,8,1
ADE,21,24,37,21,1
ADG,0,0,0,0,2
ADH,10,7,12,15,1
ADM,0,0,0,0,2
ADT,1,1,1,1,1
AEG,0,0,2,1,2
AFM,0,0,0,0,2
AFO,0,0,0,0,2
AGW,4,5,6,15,1
AHQ,19,19,14,17,1
AHT,0,0,0,0,2
AIQ,0,0,0,0,2
AIW,0,0,0,0,2
AJO,35,15,29,22,2
AJT,0,0,0,0,2
AJX,0,0,0,0,2
AJY,112,127,135,118,1
AKU,0,0,0,0,2
AKY,0,0,0,0,2
ALV,8,5,2,6,2
ANP,0,0,0,0,2
ANR,0,0,0,0,2
AOQ,0,0,0,0,2
APV,0,0,0,0,2
APX,0,0,2,1,2
APY,0,0,0,0,2
AQU,0,0,0,0,2
AQZ,0,0,0,0,2
ARS,0,0,0,0,2
ASW,3,3,1,2,1
ASZ,51,29,28,30,2
ATW,0,0,0,0,2
AVX,1,0,0,1,2
AYZ,3,1,3,0,2
BCK,0,0,0,0,1
BCP,0,0,0,0,2
BDH,18,15,18,16,1
BDJ,0,0,0,0,2
BDX,13,14,7,9,2
BEK,12,4,10,8,2
BEM,2,3,3,4,1
BEQ,0,0,0,0,2
BEX,0,0,0,0,2
BEY,0,0,0,0,2
BEZ,0,0,0,0,2
BFG,10,12,32,20,1
BGN,0,0,0,0,2
BHL,0,0,3,1,2
BHM,11,5,7,7,1
BHS,0,0,0,0,2
BHY,0,0,0,0,2
BIL,0,0,0,0,2
BIM,0,0,1,2,2
BJK,0,0,0,0,2
BJL,0,0,0,0,2
BJP,0,0,0,0,2
BJY,1,0,1,2,2
BKN,0,0,0,0,2
BKS,0,0,0,0,2
BKZ,0,0,0,0,2
