"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi"
"1077","LM0221","LTV","E5",18.4,19.73,"93.2589964521034",0,9
"1078","LM0222","JMZ","E5",23.71,23.99,"98.8328470195915",0,9
"1079","LM0223","QVW","E5",22.06,20.73,"106.415822479498",0.63,9
"1080","LM0224","AMW","E5",19.56,19.21,"101.821967725143",0,9
"1081","LM0225","WXZ","E5",28.97,28.05,"103.279857397504",0,9
"1082","LM0226","EFJ","E5",15.77,15.16,"104.023746701847",1.44,9
"1083","LM0227","BIR","E5",19.13,20.03,"95.5067398901647",0.67,9
"1084","LM0228","IQU","E5",18.26,18.56,"98.3836206896552",1.3,9
"1085","LM0229","LRZ","E5",13.07,15.82,"82.6169405815424",1.31,9
"1086","LM0230","FMP","E5",NA,15.87,"#VALUE!",0,9
"1087","LM0231","IWY","E5",15.39,18.71,"82.2554783538215",0,9
"1088","LM0232","NOT","E5",21.82,24.14,"90.3893951946976",0.61,9
"1089","LM0233","NPY","E5",23.6,24.55,"96.1303462321792",0,9
"1090","LM0234","HLX","E5",27.5,28.55,"96.322241681261",0.48,9
"1091","LM0235","BFG","E5",17.07,17.03,"100.234879624193",0,9
"1092","LM0236","GPS","E5",20.75,23.64,"87.7749576988156",1.01,9
"1093","LM0237","LOT","E5",9.72,11.02,"88.2032667876588",1.12,9
"1094","LM0238","HOU","E5",14.51,15.31,"94.7746570868713",0,9
"1095","LM0239","CFW","E5",14.87,16.84,"88.3016627078385",0,9
"1096","LM0240","HJT","E5",15.36,16.19,"94.8733786287832",0,9
"1097","LM0241","ADF","E5",10.7,14.51,"73.7422467263956",1.01,9
"1098","LM0242","ALN","E5",13.01,15.65,"83.1309904153355",0.66,9
"1099","LM0243","HUZ","E5",NA,18.58,"#VALUE!",2.22,9
"1100","LM0244","BGL","E5",11.1,12.33,"90.0243309002433",0.63,9
"1101","LM0245","BOV","E5",NA,16.71,"#VALUE!",0,9
"1102","LM0246","ACY","E5",17.58,17.95,"97.9387186629526",0,9
"1103","LM0247","COW","E5",22.6,25.21,"89.646965489885",0.56,9
"1104","LM0248","DEW","E5",20.2,17.99,"112.284602556976",0,9
"1105","LM0249","RSX","E5",19.86,22.27,"89.1782667265379",0.68,9
"1106","LM0250","CMV","E5",NA,20.59,"#VALUE!",1.25,9
"1107","LM0251","BQU","E5",16.98,19.67,"86.3243518047788",2.34,9
"1108","LM0252","GQW","E5",NA,15.01,"#VALUE!",0,9
"1109","LM0253","DFZ","E5",NA,11.08,"#VALUE!",0,9
"1110","LM0254","MNW","E5",19.37,20.16,"96.0813492063492",1.85,9
"1111","LM0255","OQS","E5",12.45,14.65,"84.9829351535836",0,9
"1112","LM0256","EFY","E5",24.42,25.63,"95.2789699570816",1.36,9
"1113","LM0257","LNW","E5",19.68,19.57,"100.56208482371",1.06,9
"1114","LM0258","HJO","E5",NA,17.53,"#VALUE!",2.14,9
"1115","LM0259","ESW","E5",NA,24.62,"#VALUE!",1.47,9
"1116","LM0260","MNZ","E5",NA,20.11,"#VALUE!",0,9
"1117","LM0261","IMU","E5",NA,15.38,"#VALUE!",1.05,9
"1118","LM0262","GHW","E5",NA,15.24,"#VALUE!",0,9
