X,EH_id,X.Hybrid.status,Strain,Sex,first_infection,Reinfection.plan
2,LM0227,Hybrid,BUSNA_STRA,M,E88,E64
13,LM0228,Hybrid,STRA_BUSNA,F,E88,E64
9,LM0229,Inbred,SCHUNT_SCHUNT,F,E88,E88
5,LM0231,Hybrid,PWD_SCHUNT,F,E88,E64
3,LM0232,Hybrid,BUSNA_STRA,M,E88,E88
21,LM0233,Inbred,STRA_STRA,F,E88,E88
20,LM0234,Inbred,STRA_STRA,M,E88,E64
15,LM0235,Outbred,STRA_SCHUNT,F,E88,E64
18,LM0236,Inbred,STRA_STRA,M,E88,E64
4,LM0238,Outbred,PWD_BUSNA,M,E88,E64
10,LM0239,Inbred,SCHUNT_SCHUNT,F,E88,E88
6,LM0240,Hybrid,SCHUNT_PWD,F,E88,E64
16,LM0247,Outbred,STRA_SCHUNT,M,E88,E88
17,LM0248,Outbred,STRA_SCHUNT,F,E88,E64
11,LM0249,Outbred,SCHUNT_STRA,M,E88,E64
14,LM0251,Hybrid,STRA_BUSNA,F,E88,E88
7,LM0254,Hybrid,SCHUNT_PWD,M,E88,E88
1,LM0255,Inbred,BUSNA_BUSNA,M,E88,E64
19,LM0256,Inbred,STRA_STRA,M,E88,E88
8,LM0257,Inbred,SCHUNT_SCHUNT,M,E88,E64
7,LM0258,Outbred,BUSNA_PWD,F,E64,E64
31,LM0259,Hybrid,STRA_BUSNA,M,E64,E64
23,LM0260,Inbred,SCHUNT_SCHUNT,M,E64,E64
19,LM0261,Hybrid,PWD_SCHUNT,F,E64,E88
1,LM0262,Inbred,BUSNA_BUSNA,M,E64,E64
18,LM0263,Hybrid,PWD_SCHUNT,F,E64,E64
17,LM0264,Inbred,PWD_PWD,M,E64,E88
8,LM0265,Hybrid,BUSNA_STRA,M,E64,E64
28,LM0266,Outbred,SCHUNT_STRA,F,E64,E88
34,LM0267,Inbred,STRA_STRA,F,E64,E64
26,LM0268,Inbred,SCHUNT_SCHUNT,F,E64,E88
32,LM0269,Outbred,STRA_SCHUNT,F,E64,E64
27,LM0270,Outbred,SCHUNT_STRA,F,E64,E64
30,LM0271,Hybrid,STRA_BUSNA,M,E64,E88
10,LM0272,Hybrid,BUSNA_STRA,F,E64,E88
33,LM0273,Outbred,STRA_SCHUNT,F,E64,E88
22,LM0275,Hybrid,SCHUNT_PWD,F,E64,E88
35,LM0276,Inbred,STRA_STRA,F,E64,E88
9,LM0277,Hybrid,BUSNA_STRA,M,E64,E88
21,LM0278,Hybrid,SCHUNT_PWD,F,E64,E88
3,LM0279,Inbred,BUSNA_BUSNA,M,E64,E64
25,LM0280,Inbred,SCHUNT_SCHUNT,F,E64,E64
2,LM0281,Inbred,BUSNA_BUSNA,F,E64,E88
36,LM0282,Inbred,STRA_STRA,F,E64,E88
15,LM0283,Inbred,PWD_PWD,M,E64,E88
29,LM0284,Hybrid,STRA_BUSNA,F,E64,E64
16,LM0285,Inbred,PWD_PWD,M,E64,E64
12,LM0286,Outbred,PWD_BUSNA,F,E64,E88
5,LM0287,Outbred,BUSNA_PWD,F,E64,E64
13,LM0288,Outbred,PWD_BUSNA,F,E64,E88
24,LM0289,Inbred,SCHUNT_SCHUNT,M,E64,E88
11,LM0291,Outbred,PWD_BUSNA,M,E64,E64
6,LM0292,Outbred,BUSNA_PWD,M,E64,E88
4,LM0293,Inbred,BUSNA_BUSNA,M,E64,E88
14,LM0294,Inbred,PWD_PWD,M,E64,E64
20,LM0295,Hybrid,SCHUNT_PWD,F,E64,E64
