Exp_ID,EH_ID,dpi,primary,challenge,labels
P4_012020,LM_0348,0,Eflab,E88,
P4_012020,LM_0349,0,Eflab,E64,
P4_012020,LM_0350,0,Eflab,UNI,
P4_012020,LM_0351,0,E88,E88,
P4_012020,LM_0352,0,E88,E64,
P4_012020,LM_0353,0,E88,UNI,
P4_012020,LM_0354,0,E64,E88,
P4_012020,LM_0355,0,E64,E64,
P4_012020,LM_0356,0,E64,UNI,
P4_012020,LM_0357,0,E139,E88,
P4_012020,LM_0358,0,E139,E64,
P4_012020,LM_0359,0,E139,UNI,
P4_012020,LM_0360,0,UNI,E88,
P4_012020,LM_0361,0,UNI,E64,
P4_012020,LM_0362,0,UNI,UNI,
P4_012020,LM_0363,0,E88,E88,
P4_012020,LM_0348,1,Eflab,E88,
P4_012020,LM_0349,1,Eflab,E64,
P4_012020,LM_0350,1,Eflab,UNI,
P4_012020,LM_0351,1,E88,E88,
P4_012020,LM_0352,1,E88,E64,
P4_012020,LM_0353,1,E88,UNI,
P4_012020,LM_0354,1,E64,E88,
P4_012020,LM_0355,1,E64,E64,
P4_012020,LM_0356,1,E64,UNI,
P4_012020,LM_0357,1,E139,E88,
P4_012020,LM_0358,1,E139,E64,
P4_012020,LM_0359,1,E139,UNI,
P4_012020,LM_0360,1,UNI,E88,
P4_012020,LM_0361,1,UNI,E64,
P4_012020,LM_0362,1,UNI,UNI,
P4_012020,LM_0363,1,E88,E88,
P4_012020,LM_0348,2,Eflab,E88,
P4_012020,LM_0349,2,Eflab,E64,
P4_012020,LM_0350,2,Eflab,UNI,
P4_012020,LM_0351,2,E88,E88,
P4_012020,LM_0352,2,E88,E64,
P4_012020,LM_0353,2,E88,UNI,
P4_012020,LM_0354,2,E64,E88,
P4_012020,LM_0355,2,E64,E64,
P4_012020,LM_0356,2,E64,UNI,
P4_012020,LM_0357,2,E139,E88,
P4_012020,LM_0358,2,E139,E64,
P4_012020,LM_0359,2,E139,UNI,
P4_012020,LM_0360,2,UNI,E88,
P4_012020,LM_0361,2,UNI,E64,
P4_012020,LM_0362,2,UNI,UNI,
P4_012020,LM_0363,2,E88,E88,
P4_012020,LM_0348,3,Eflab,E88,
P4_012020,LM_0349,3,Eflab,E64,
P4_012020,LM_0350,3,Eflab,UNI,
P4_012020,LM_0351,3,E88,E88,
P4_012020,LM_0352,3,E88,E64,
P4_012020,LM_0353,3,E88,UNI,
P4_012020,LM_0354,3,E64,E88,
P4_012020,LM_0355,3,E64,E64,
P4_012020,LM_0356,3,E64,UNI,
P4_012020,LM_0357,3,E139,E88,
P4_012020,LM_0358,3,E139,E64,
P4_012020,LM_0359,3,E139,UNI,
P4_012020,LM_0360,3,UNI,E88,
