"Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","EH_id"
"Buskovice","mus","BUSNA_BUSNA","SY",8209,62,"BUSNA","SY",8208,62,2018-04-20,1,3,"1","2","EX",873,"F","63","1F","5.10",8.63,"L4",NA,"","BUSNA","BUSNA","parental strains",11.4285714285714,1,"E64","LM0206"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-04-26,7,4,"1+?","2+?","EX",1036,"M","60","1M","6.86",9.81,"P2",NA,"","BUSNA","BUSNA","parental strains",10.5714285714286,1,"E64","LM0217"
"Buskovice","mus","BUSNA_BUSNA","SY",5146,59,"BUSNA","SY",5144,59,2018-04-26,7,4,"1+?","2+?","EX",1038,"F","60","1F","6,,08",8.91,"P4",NA,"","BUSNA","BUSNA","parental strains",10.5714285714286,1,"E64","LM0216"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-01,3,4,"2","2","EX",753,"M","F1","1M","6.55",11.17,"P3",NA,"","BUSNA","PWD","outbred hybrids",14.1428571428571,1,"E64","LM0224"
"BUSNA x PWD","mus x mus","BUSNA_PWD","SY",6115,60,"PWD","SY",7040,43,2018-04-01,3,4,"2","2","EX",754,"F","F1","1F","6.60",11.19,"L2",NA,"","BUSNA","PWD","outbred hybrids",14.1428571428571,1,"E64","LM0220"
"BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,2018-02-23,2,3,"0","3","EX",622,"F","F1","1F","7.76",13.35,"L4",NA,"","BUSNA","STRA","inter subsp. hybrids",19.4285714285714,1,"E64","LM0215"
"PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,2018-03-23,6,9,"4","5","EX",726,"M","F1","1M","4.44",7.53,"P2",NA,"","PWD","BUSNA","outbred hybrids",15.4285714285714,1,"E64","LM0204"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-03-07,3,9,"5","4","EX",664,"M","43","1M","4.53",5.37,"P3",NA,"","PWD","PWD","parental strains",17.7142857142857,1,"E64","LM0207"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-03-07,3,9,"5","4","EX",667,"F","43","1F","4.34",4.99,"L4",NA,"","PWD","PWD","parental strains",17.7142857142857,1,"E64","LM0213"
"Prague","mus","PWD_PWD","SY",5343,42,"PWD","SY",5340,42,2018-04-01,4,4,"2","2","EX",757,"M","43","1M","5.02",6.72,"L3",NA,"","PWD","PWD","parental strains",14.1428571428571,1,"E64","LM0211"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",976,"M","F1","1M","5.83",9.66,"L2",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,1,"E64","LM0218"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",978,"M","F1","1M","5.42",9.25,"L4",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,1,"E64","LM0210"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-03-23,1,7,"5","2","EX",721,"M","F1","1M","5.37",9.71,"P3",NA,"","SCHUNT","PWD","inter subsp. hybrids",15.4285714285714,1,"E64","LM0219"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-04-13,5,5,"2","3","EX",822,"M","37","1M","6.50",10.5,"L3",NA,"","SCHUNT","SCHUNT","parental strains",12.4285714285714,1,"E64","LM0223"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-04-13,5,5,"2","3","EX",825,"F","37","1F","5.56",9.42,"P2",NA,"","SCHUNT","SCHUNT","parental strains",12.4285714285714,1,"E64","LM0226"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",7907,37,"SCHUNT","SY",7904,37,2018-05-01,3,6,"5","1","EX",922,"M","38","1M","5.51",9.03,"L4",NA,"","SCHUNT","SCHUNT","parental strains",9.85714285714286,1,"E64","LM0221"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-04-10,4,7,"5","2","EX",813,"M","F1","1M","5.52",9.89,"L3",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64","LM0212"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-04-10,4,7,"5","2","EX",814,"M","F1","1M","6.05",10.55,"L4",NA,"","SCHUNT","STRA","outbred hybrids",12.8571428571429,1,"E64","LM0205"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-03-07,2,5,"2","3","EX",659,"M","F1","1M","7.57",10.51,"P3",NA,"","STRA","BUSNA","inter subsp. hybrids",17.7142857142857,1,"E64","LM0222"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",709,"M","F1","1M","5.74",11.35,"P2",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,1,"E64","LM0208"
"Straas2","dom","STRA_STRA","SY",4827,55,"STRA","SY",4823,55,2018-04-03,3,7,"2","5","EX",773,"M","56","1M","7.05",11.98,"P2",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E64","LM0214"
"Straas2","dom","STRA_STRA","SY",4827,55,"STRA","SY",4823,55,2018-04-03,3,7,"2","5","EX",774,"M","56","1M","7.36",12.51,"P3",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E64","LM0225"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-04-03,1,9,"2","7","EX",772,"F","57","1F","5.71",9.23,"P5",NA,"","STRA","STRA","parental strains",13.8571428571429,1,"E64","LM0209"
