Exp_ID,EH_ID,dpi,primary,challenge,labels
P3_112019,LM_0332,0,Eflab,E88,FRJ
P3_112019,LM_0333,0,Eflab,E64,JRA
P3_112019,LM_0334,0,Eflab,UNI,DWK
P3_112019,LM_0335,0,E88,E88,CTE
P3_112019,LM_0336,0,E88,E64,GBL
P3_112019,LM_0337,0,E88,UNI,CNX
P3_112019,LM_0338,0,E64,E88,MCD
P3_112019,LM_0339,0,E64,E64,BXM
P3_112019,LM_0340,0,E64,UNI,CES
P3_112019,LM_0341,0,E139,E88,YKT
P3_112019,LM_0342,0,E139,E64,RIY
P3_112019,LM_0343,0,E139,UNI,LTM
P3_112019,LM_0344,0,UNI,E88,ZPZ
P3_112019,LM_0345,0,UNI,E64,HHB
P3_112019,LM_0346,0,UNI,UNI,ANQ
P3_112019,LM_0347,0,E88,E88,JZP
P3_112019,LM_0332,1,Eflab,E88,ZUX
P3_112019,LM_0333,1,Eflab,E64,EWW
P3_112019,LM_0334,1,Eflab,UNI,ZXF
P3_112019,LM_0335,1,E88,E88,SRB
P3_112019,LM_0336,1,E88,E64,DGB
P3_112019,LM_0337,1,E88,UNI,JLL
P3_112019,LM_0338,1,E64,E88,TCS
P3_112019,LM_0339,1,E64,E64,CMY
P3_112019,LM_0340,1,E64,UNI,QAG
P3_112019,LM_0341,1,E139,E88,TLE
P3_112019,LM_0342,1,E139,E64,OLI
P3_112019,LM_0343,1,E139,UNI,JRY
P3_112019,LM_0344,1,UNI,E88,KUI
P3_112019,LM_0345,1,UNI,E64,RWR
P3_112019,LM_0346,1,UNI,UNI,DSK
P3_112019,LM_0347,1,E88,E88,VUI
P3_112019,LM_0332,2,Eflab,E88,SHB
P3_112019,LM_0333,2,Eflab,E64,NRV
P3_112019,LM_0334,2,Eflab,UNI,LMT
P3_112019,LM_0335,2,E88,E88,YKB
P3_112019,LM_0336,2,E88,E64,YLP
P3_112019,LM_0337,2,E88,UNI,REY
P3_112019,LM_0338,2,E64,E88,NJU
P3_112019,LM_0339,2,E64,E64,AWB
P3_112019,LM_0340,2,E64,UNI,PJX
P3_112019,LM_0341,2,E139,E88,ZGF
P3_112019,LM_0342,2,E139,E64,LTV
P3_112019,LM_0343,2,E139,UNI,HAT
P3_112019,LM_0344,2,UNI,E88,WEK
P3_112019,LM_0345,2,UNI,E64,QGP
P3_112019,LM_0346,2,UNI,UNI,EXU
P3_112019,LM_0347,2,E88,E88,IWZ
P3_112019,LM_0332,3,Eflab,E88,TNB
P3_112019,LM_0333,3,Eflab,E64,HEM
P3_112019,LM_0334,3,Eflab,UNI,WMH
P3_112019,LM_0335,3,E88,E88,SMP
P3_112019,LM_0336,3,E88,E64,VAC
P3_112019,LM_0337,3,E88,UNI,KIB
P3_112019,LM_0338,3,E64,E88,UWS
P3_112019,LM_0339,3,E64,E64,HIX
P3_112019,LM_0340,3,E64,UNI,UZT
P3_112019,LM_0341,3,E139,E88,OML
P3_112019,LM_0342,3,E139,E64,XYE
P3_112019,LM_0343,3,E139,UNI,KPZ
P3_112019,LM_0344,3,UNI,E88,ZTL
P3_112019,LM_0345,3,UNI,E64,FKH
P3_112019,LM_0346,3,UNI,UNI,RWU
P3_112019,LM_0347,3,E88,E88,ULZ
P3_112019,LM_0332,4,Eflab,E88,YTT
P3_112019,LM_0333,4,Eflab,E64,IFD
P3_112019,LM_0334,4,Eflab,UNI,KYE
P3_112019,LM_0335,4,E88,E88,CNS
P3_112019,LM_0336,4,E88,E64,BOM
P3_112019,LM_0337,4,E88,UNI,BUF
P3_112019,LM_0338,4,E64,E88,OMQ
P3_112019,LM_0339,4,E64,E64,QBP
P3_112019,LM_0340,4,E64,UNI,TVC
P3_112019,LM_0341,4,E139,E88,SVZ
P3_112019,LM_0342,4,E139,E64,MVU
P3_112019,LM_0343,4,E139,UNI,DTY
P3_112019,LM_0344,4,UNI,E88,DNK
P3_112019,LM_0345,4,UNI,E64,GFF
P3_112019,LM_0346,4,UNI,UNI,RVL
P3_112019,LM_0347,4,E88,E88,EDH
P3_112019,LM_0332,5,Eflab,E88,LRK
P3_112019,LM_0333,5,Eflab,E64,IAK
P3_112019,LM_0334,5,Eflab,UNI,XBC
P3_112019,LM_0335,5,E88,E88,VQF
P3_112019,LM_0336,5,E88,E64,NGT
P3_112019,LM_0337,5,E88,UNI,GTO
P3_112019,LM_0338,5,E64,E88,EEZ
P3_112019,LM_0339,5,E64,E64,NLI
P3_112019,LM_0340,5,E64,UNI,SRE
P3_112019,LM_0341,5,E139,E88,JJH
P3_112019,LM_0342,5,E139,E64,MNQ
P3_112019,LM_0343,5,E139,UNI,WMM
P3_112019,LM_0344,5,UNI,E88,DAL
P3_112019,LM_0345,5,UNI,E64,NMF
P3_112019,LM_0346,5,UNI,UNI,SWK
P3_112019,LM_0347,5,E88,E88,JGW
P3_112019,LM_0332,6,Eflab,E88,KIQ
P3_112019,LM_0333,6,Eflab,E64,SNB
P3_112019,LM_0334,6,Eflab,UNI,WRE
P3_112019,LM_0335,6,E88,E88,CHZ
P3_112019,LM_0336,6,E88,E64,DHR
P3_112019,LM_0337,6,E88,UNI,DQQ
P3_112019,LM_0338,6,E64,E88,ZTI
P3_112019,LM_0339,6,E64,E64,SQC
P3_112019,LM_0340,6,E64,UNI,REI
P3_112019,LM_0341,6,E139,E88,ZQY
P3_112019,LM_0342,6,E139,E64,YNS
P3_112019,LM_0343,6,E139,UNI,TSY
P3_112019,LM_0344,6,UNI,E88,TOW
P3_112019,LM_0345,6,UNI,E64,JGV
P3_112019,LM_0346,6,UNI,UNI,NYG
P3_112019,LM_0347,6,E88,E88,QDW
P3_112019,LM_0332,7,Eflab,E88,TQH
P3_112019,LM_0333,7,Eflab,E64,PLG
P3_112019,LM_0334,7,Eflab,UNI,JIX
P3_112019,LM_0335,7,E88,E88,TSI
P3_112019,LM_0336,7,E88,E64,WTG
P3_112019,LM_0337,7,E88,UNI,ETL
P3_112019,LM_0338,7,E64,E88,DWO
P3_112019,LM_0339,7,E64,E64,CXA
P3_112019,LM_0340,7,E64,UNI,MAO
P3_112019,LM_0341,7,E139,E88,LKM
P3_112019,LM_0342,7,E139,E64,KUB
P3_112019,LM_0343,7,E139,UNI,DJM
P3_112019,LM_0344,7,UNI,E88,KXD
P3_112019,LM_0345,7,UNI,E64,RJA
P3_112019,LM_0346,7,UNI,UNI,FJS
P3_112019,LM_0347,7,E88,E88,DUN
P3_112019,LM_0332,8,Eflab,E88,RRF
P3_112019,LM_0333,8,Eflab,E64,ATV
P3_112019,LM_0334,8,Eflab,UNI,URW
P3_112019,LM_0335,8,E88,E88,UAS
P3_112019,LM_0336,8,E88,E64,UXG
P3_112019,LM_0337,8,E88,UNI,TQK
P3_112019,LM_0338,8,E64,E88,TBA
P3_112019,LM_0339,8,E64,E64,RZE
P3_112019,LM_0340,8,E64,UNI,HYV
P3_112019,LM_0341,8,E139,E88,DYV
P3_112019,LM_0342,8,E139,E64,CXB
P3_112019,LM_0343,8,E139,UNI,FUN
P3_112019,LM_0344,8,UNI,E88,QEO
P3_112019,LM_0345,8,UNI,E64,PEE
P3_112019,LM_0346,8,UNI,UNI,DXD
P3_112019,LM_0347,8,E88,E88,YMT
P3_112019,LM_0332,9,Eflab,E88,YJG
P3_112019,LM_0333,9,Eflab,E64,PFK
P3_112019,LM_0334,9,Eflab,UNI,KEG
