Exp_ID,EH_ID,dpi,primary,challenge,labels
P4_012020,LM_0348,0,E64,E64,
P4_012020,LM_0349,0,E64,E64,
P4_012020,LM_0350,0,E64,UNI,
P4_012020,LM_0351,0,E64,UNI,
P4_012020,LM_0352,0,E64,E88,
P4_012020,LM_0353,0,E64,E88,
P4_012020,LM_0354,0,E64,E88,
P4_012020,LM_0355,0,E64,E88,
P4_012020,LM_0356,0,UNI,E64,
P4_012020,LM_0357,0,UNI,E64,
P4_012020,LM_0358,0,UNI,UNI,
P4_012020,LM_0359,0,UNI,UNI,
P4_012020,LM_0360,0,UNI,E88,
P4_012020,LM_0361,0,UNI,E88,
P4_012020,LM_0362,0,UNI,E88,
P4_012020,LM_0363,0,UNI,E88,
P4_012020,LM_0348,1,E64,E64,
P4_012020,LM_0349,1,E64,E64,
P4_012020,LM_0350,1,E64,UNI,
P4_012020,LM_0351,1,E64,UNI,
P4_012020,LM_0352,1,E64,E88,
P4_012020,LM_0353,1,E64,E88,
P4_012020,LM_0354,1,E64,E88,
P4_012020,LM_0355,1,E64,E88,
P4_012020,LM_0356,1,UNI,E64,
P4_012020,LM_0357,1,UNI,E64,
P4_012020,LM_0358,1,UNI,UNI,
P4_012020,LM_0359,1,UNI,UNI,
P4_012020,LM_0360,1,UNI,E88,
P4_012020,LM_0361,1,UNI,E88,
P4_012020,LM_0362,1,UNI,E88,
P4_012020,LM_0363,1,UNI,E88,
P4_012020,LM_0348,2,E64,E64,
P4_012020,LM_0349,2,E64,E64,
P4_012020,LM_0350,2,E64,UNI,
P4_012020,LM_0351,2,E64,UNI,
P4_012020,LM_0352,2,E64,E88,
P4_012020,LM_0353,2,E64,E88,
P4_012020,LM_0354,2,E64,E88,
P4_012020,LM_0355,2,E64,E88,
P4_012020,LM_0356,2,UNI,E64,
P4_012020,LM_0357,2,UNI,E64,
P4_012020,LM_0358,2,UNI,UNI,
P4_012020,LM_0359,2,UNI,UNI,
P4_012020,LM_0360,2,UNI,E88,
P4_012020,LM_0361,2,UNI,E88,
P4_012020,LM_0362,2,UNI,E88,
P4_012020,LM_0363,2,UNI,E88,
P4_012020,LM_0348,3,E64,E64,
P4_012020,LM_0349,3,E64,E64,
P4_012020,LM_0350,3,E64,UNI,
P4_012020,LM_0351,3,E64,UNI,
P4_012020,LM_0352,3,E64,E88,
P4_012020,LM_0353,3,E64,E88,
P4_012020,LM_0354,3,E64,E88,
P4_012020,LM_0355,3,E64,E88,
P4_012020,LM_0356,3,UNI,E64,
P4_012020,LM_0357,3,UNI,E64,
P4_012020,LM_0358,3,UNI,UNI,
P4_012020,LM_0359,3,UNI,UNI,
P4_012020,LM_0360,3,UNI,E88,
P4_012020,LM_0361,3,UNI,E88,
P4_012020,LM_0362,3,UNI,E88,
P4_012020,LM_0363,3,UNI,E88,
P4_012020,LM_0348,4,E64,E64,
P4_012020,LM_0349,4,E64,E64,
P4_012020,LM_0350,4,E64,UNI,
P4_012020,LM_0351,4,E64,UNI,
P4_012020,LM_0352,4,E64,E88,
P4_012020,LM_0353,4,E64,E88,
P4_012020,LM_0354,4,E64,E88,
P4_012020,LM_0355,4,E64,E88,
P4_012020,LM_0356,4,UNI,E64,
P4_012020,LM_0357,4,UNI,E64,
P4_012020,LM_0358,4,UNI,UNI,
P4_012020,LM_0359,4,UNI,UNI,
