File Name;Luke_2019_05_21_Enas2017samples_28_30_33_35.pcrd
Created By User;admin
Notes;
ID;
Run Started;05/21/2019 08:38:01 UTC
Run Ended;05/21/2019 10:58:42 UTC
Sample Vol;10
Lid Temp;105
Protocol File Name;Luke_cycles_Enas2017samples.prcl
Plate Setup File Name;Luke_plate_Enas2017samples.pltd
Base Serial Number;CC011210
Optical Head Serial Number;785BR4191
CFX Manager Version;3.1.1517.0823. 
