;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;CXCL9;Unkn;LM28;-3,59021056715173;;Unknown;NoCall;False
;A02;SYBR;IL-10;Unkn;LM28;3,95865364864894;;Unknown;NoCall;False
;A03;SYBR;IL-12;Unkn;LM28;-4,1912074679376;;Unknown;NoCall;False
;A04;SYBR;IL-6;Unkn;LM28;3,92713199941281;;Unknown;NoCall;False
;A05;SYBR;IFN-y;Unkn;LM28;-11,9974291026902;;Unknown;NoCall;False
;A06;SYBR;STAT6;Unkn;LM28;-10,4530964254187;;Unknown;NoCall;False
;A07;SYBR;TGF-b;Unkn;LM28;488,713465574343;(+) Positive;Unknown;Positive;False
;A08;SYBR;Ppia;Pos Ctrl;LM28;-9,15994297627512;;ControlPositive;NoCall;False
;A09;SYBR;Ppip;Pos Ctrl;LM28;-4,69881937992213;;ControlPositive;NoCall;False
;A10;SYBR;CDC42;Pos Ctrl;LM28;-1,80222665922774;;ControlPositive;NoCall;False
;A11;SYBR;;Neg Ctrl;;-6,56658004926694;;ControlNegative;Negative;True
;B01;SYBR;CXCL9;Unkn;LM28;-8,68148932372978;;Unknown;NoCall;False
;B02;SYBR;IL-10;Unkn;LM28;2,52087883765635;;Unknown;NoCall;False
;B03;SYBR;IL-12;Unkn;LM28;2,69088960614863;;Unknown;NoCall;False
;B04;SYBR;IL-6;Unkn;LM28;5,09224256796369;;Unknown;NoCall;False
;B05;SYBR;IFN-y;Unkn;LM28;2,18441723137521;;Unknown;NoCall;False
;B06;SYBR;STAT6;Unkn;LM28;1,54467128004644;;Unknown;NoCall;False
;B07;SYBR;TGF-b;Unkn;LM28;0,569046839459133;;Unknown;NoCall;False
;B08;SYBR;Ppia;Pos Ctrl;LM28;-3,06469864087121;;ControlPositive;NoCall;False
;B09;SYBR;Ppip;Pos Ctrl;LM28;-8,29121317889794;;ControlPositive;NoCall;False
;B10;SYBR;CDC42;Pos Ctrl;LM28;-4,7309763299224;;ControlPositive;NoCall;False
;B11;SYBR;;Neg Ctrl;;-4,41214164437594;;ControlNegative;Negative;True
;C01;SYBR;CXCL9;Unkn;LM30;7,5133523364113;;Unknown;NoCall;False
;C02;SYBR;IL-10;Unkn;LM30;-2,60643612623217;;Unknown;NoCall;False
;C03;SYBR;IL-12;Unkn;LM30;-0,825249432118108;;Unknown;NoCall;False
;C04;SYBR;IL-6;Unkn;LM30;2,69210044964648;;Unknown;NoCall;False
