;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,0470800117699634
;True;CXCL9;MouseCaecum2;0,000226436817227893
;True;CXCL9;MouseCaecum3;0,00153166634715599
;True;CXCL9;MouseCaecum4;0,00570845460959462
;True;IFN-g;MouseCaecum1;0,00138077619743451
;True;IFN-g;MouseCaecum2;0,00474110279278967
;True;IFN-g;MouseCaecum3;0,000217207386028961
;True;IFN-g;MouseCaecum4;0,000844616240406909
;True;IL-10;MouseCaecum1;0,00139437045662866
;True;IL-10;MouseCaecum2;5,92584782614085E-05
;True;IL-10;MouseCaecum3;0,0001858454568709
;True;IL-10;MouseCaecum4;0,000920277401666555
;True;IL-12;MouseCaecum1;0,00494965890269155
;True;IL-12;MouseCaecum2;0,00159361074195993
;True;IL-12;MouseCaecum3;1,04581506493497E-05
;True;IL-12;MouseCaecum4;0,000256641823222285
;True;IL-6;MouseCaecum1;0,0706518615829801
;True;IL-6;MouseCaecum2;0,025741266475456
;True;IL-6;MouseCaecum3;0,00122404863292327
;True;IL-6;MouseCaecum4;0,00241508669778587
;True;STAT6;MouseCaecum1;0,077640716301963
;True;STAT6;MouseCaecum2;0,239095696117598
;True;STAT6;MouseCaecum3;0,0103922017382349
;True;STAT6;MouseCaecum4;0,00758053852670657
;True;TGF-b;MouseCaecum1;0,0326129615082928
;True;TGF-b;MouseCaecum2;0,00206604959272443
;True;TGF-b;MouseCaecum3;0,0168393363999976
;True;TGF-b;MouseCaecum4;0,0340495379175533
