Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,LM_0259,27.92,-,CXCR3
A2,LM_0259,27.77,-,CXCR3
B1,LM_0286,27.58,-,CXCR3
B2,LM_0286,23.86,-,CXCR3
C1,LM_0276,28.7,-,CXCR3
C2,LM_0276,28.48,-,CXCR3
D1,LM_0277,29.81,-,CXCR3
D2,LM_0277,30.67,-,CXCR3
E1,LM_0272,33.14,-,CXCR3
E2,LM_0272,32.95,-,CXCR3
F1,LM_0283,29.52,-,CXCR3
F2,LM_0283,29.57,-,CXCR3
G1,LM_0294,27.1,-,CXCR3
G2,LM_0294,27.29,-,CXCR3
H1,LM_0275,26.71,-,CXCR3
H2,LM_0275,26.93,-,CXCR3
A3,LM_0259,21.47,-,IRG6
A4,LM_0259,21.35,-,IRG6
B3,LM_0286,20.26,-,IRG6
B4,LM_0286,21.78,-,IRG6
C3,LM_0276,22.67,-,IRG6
C4,LM_0276,22.67,-,IRG6
D3,LM_0277,23.65,-,IRG6
D4,LM_0277,23.44,-,IRG6
E3,LM_0272,27.13,-,IRG6
E4,LM_0272,26.9,-,IRG6
F3,LM_0283,21.96,-,IRG6
F4,LM_0283,22.08,-,IRG6
G3,LM_0294,19.38,-,IRG6
G4,LM_0294,20.25,-,IRG6
H3,LM_0275,20.88,-,IRG6
H4,LM_0275,20.96,-,IRG6
A5,LM_0259,23.7,-,IL-12
A6,LM_0259,23.52,-,IL-12
B5,LM_0286,23.75,-,IL-12
B6,LM_0286,23.92,-,IL-12
C5,LM_0276,25.05,-,IL-12
C6,LM_0276,25.19,-,IL-12
D5,LM_0277,25.76,-,IL-12
D6,LM_0277,25.73,-,IL-12
E5,LM_0272,29.98,-,IL-12
E6,LM_0272,30.12,-,IL-12
F5,LM_0283,24.42,-,IL-12
F6,LM_0283,24.24,-,IL-12
G5,LM_0294,21.69,-,IL-12
G6,LM_0294,21.74,-,IL-12
H5,LM_0275,23.36,-,IL-12
H6,LM_0275,22.66,-,IL-12
A7,LM_0259,16.34,-,GAPDH
A8,LM_0259,16.31,-,GAPDH
B7,LM_0286,17.94,-,GAPDH
B8,LM_0286,18.01,-,GAPDH
C7,LM_0276,17.07,-,GAPDH
C8,LM_0276,17.28,-,GAPDH
D7,LM_0277,17.96,-,GAPDH
D8,LM_0277,17.97,-,GAPDH
E7,LM_0272,19.3,-,GAPDH
E8,LM_0272,19.1,-,GAPDH
F7,LM_0283,18.01,-,GAPDH
F8,LM_0283,17.92,-,GAPDH
G7,LM_0294,15.13,-,GAPDH
G8,LM_0294,14.79,-,GAPDH
H7,LM_0275,16.5,-,GAPDH
H8,LM_0275,16,-,GAPDH
A9,LM_0259,20.32,-,B-actin
A10,LM_0259,20.39,-,B-actin
B9,LM_0286,21.1,-,B-actin
B10,LM_0286,21.35,-,B-actin
C9,LM_0276,20.66,-,B-actin
C10,LM_0276,20.71,-,B-actin
D9,LM_0277,21.28,-,B-actin
D10,LM_0277,21.19,-,B-actin
E9,LM_0272,20.99,-,B-actin
E10,LM_0272,21.21,-,B-actin
F9,LM_0283,20.44,-,B-actin
F10,LM_0283,20.3,-,B-actin
G9,LM_0294,18.4,-,B-actin
G10,LM_0294,18.15,-,B-actin
H9,LM_0275,19.37,-,B-actin
H10,LM_0275,19.25,-,B-actin
