;Target;Sample;Regulation
;CDC42;MouseCaecum2;n. def.
;CXCL9;MouseCaecum2;-1,18621641958335
;IFN-g;MouseCaecum2;2,95766762090978
;IL-10;MouseCaecum2;-1,6407770958911
;IL-12;MouseCaecum2;2,00215255272606
;IL-6;MouseCaecum2;16,1178226946505
;Ppia;MouseCaecum2;n. def.
;Ppib;MouseCaecum2;n. def.
;STAT6;MouseCaecum2;-1,50614403158641
;TGF-b;MouseCaecum2;-1,66145432358079
