labels,EH_ID,dpi,weight,weight_dpi0,weightloss,relative_weight,feces_weight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
FU,LM0299,9,48.02,52.8,,90.9469696969697,5.84,,,,,,,
EG,LM0300,9,42.25,46.6,,90.6652360515021,2.31,,,,,,,
AS,LM0301,9,54.16,60.6,,89.3729372937294,2.5,,,,,,,
NZ,LM0302,9,,51.4,,0,,,,,,,,
HS,LM0303,9,,47.7,,0,,,,,,,,
NU,LM0296,10,,48.2,,0,,,,,,,,
FG,LM0297,10,,48.2,,0,,,,,,,,
BL,LM0298,10,,46,,0,,,,,,,,
NY,LM0299,10,,52.8,,0,,,,,,,,
BY,LM0300,10,,46.6,,0,,,,,,,,
KV,LM0301,10,,60.6,,0,,,,,,,,
DZ,LM0302,10,,51.4,,0,,,,,,,,
VY,LM0303,10,,47.7,,0,,,,,,,,
BO,LM0296,11,,48.2,,0,,,,,,,,
PV,LM0297,11,,48.2,,0,,,,,,,,
BQ,LM0298,11,,46,,0,,,,,,,,
KQ,LM0299,11,,52.8,,0,,,,,,,,
BI,LM0300,11,,46.6,,0,,,,,,,,
NV,LM0301,11,,60.6,,0,,,,,,,,
AZ,LM0302,11,,51.4,,0,,,,,,,,
FI,LM0303,11,,47.7,,0,,,,,,,,
