,EH_ID,dpi,wloss,labels,primary
1,LM_0348,0,NA,MTY,E139
2,LM_0349,0,NA,FNW,E139
3,LM_0350,0,NA,DFW,E139
4,LM_0351,0,NA,EZC,E139
5,LM_0352,0,NA,RPB,E64
6,LM_0353,0,NA,GDW,E64
7,LM_0354,0,NA,FQG,E64
8,LM_0355,0,NA,TYQ,E64
9,LM_0356,0,NA,ODF,E88
10,LM_0357,0,NA,JDE,E88
11,LM_0358,0,NA,NRK,E88
12,LM_0359,0,NA,LSH,E88
13,LM_0360,0,NA,OBV,Eflab
14,LM_0361,0,NA,XJK,Eflab
15,LM_0362,0,NA,MOX,Eflab
16,LM_0363,0,NA,IUQ,Eflab
17,LM_0364,0,NA,EVZ,UNI
18,LM_0365,0,NA,WTF,UNI
19,LM_0366,0,NA,WGN,UNI
20,LM_0367,0,NA,NLQ,UNI
21,LM_0348,1,NA,OJF,E139
22,LM_0349,1,NA,FST,E139
23,LM_0350,1,NA,UCA,E139
24,LM_0351,1,NA,QMT,E139
25,LM_0352,1,NA,HUH,E64
26,LM_0353,1,NA,BPY,E64
27,LM_0354,1,NA,YED,E64
28,LM_0355,1,NA,IGA,E64
29,LM_0356,1,NA,UGP,E88
30,LM_0357,1,NA,ETM,E88
31,LM_0358,1,NA,XKE,E88
32,LM_0359,1,NA,MFY,E88
33,LM_0360,1,NA,QPN,Eflab
34,LM_0361,1,NA,QVI,Eflab
35,LM_0362,1,NA,VQC,Eflab
36,LM_0363,1,NA,PQW,Eflab
37,LM_0364,1,NA,FFH,UNI
38,LM_0365,1,NA,CXA,UNI
39,LM_0366,1,NA,KHJ,UNI
40,LM_0367,1,NA,YAM,UNI
41,LM_0348,2,NA,TQA,E139
42,LM_0349,2,NA,HBW,E139
43,LM_0350,2,NA,TDW,E139
44,LM_0351,2,NA,LNT,E139
45,LM_0352,2,NA,UDZ,E64
46,LM_0353,2,NA,LLW,E64
47,LM_0354,2,NA,UGT,E64
48,LM_0355,2,NA,CRR,E64
49,LM_0356,2,NA,QKW,E88
50,LM_0357,2,NA,QYZ,E88
51,LM_0358,2,NA,NJI,E88
52,LM_0359,2,NA,EJC,E88
53,LM_0360,2,NA,ZFS,Eflab
54,LM_0361,2,NA,KBV,Eflab
55,LM_0362,2,NA,ZCH,Eflab
56,LM_0363,2,NA,VMI,Eflab
57,LM_0364,2,NA,AXB,UNI
58,LM_0365,2,NA,DAP,UNI
59,LM_0366,2,NA,QBT,UNI
60,LM_0367,2,NA,CLB,UNI
61,LM_0348,3,NA,OAW,E139
62,LM_0349,3,NA,NGT,E139
63,LM_0350,3,NA,PPC,E139
64,LM_0351,3,NA,WPM,E139
65,LM_0352,3,NA,PXS,E64
66,LM_0353,3,NA,OBO,E64
67,LM_0354,3,NA,JKC,E64
68,LM_0355,3,NA,ERQ,E64
69,LM_0356,3,NA,SOS,E88
70,LM_0357,3,NA,AMK,E88
71,LM_0358,3,NA,XBA,E88
72,LM_0359,3,NA,GAQ,E88
73,LM_0360,3,NA,ILN,Eflab
74,LM_0361,3,NA,JLK,Eflab
75,LM_0362,3,NA,IAF,Eflab
76,LM_0363,3,NA,SHF,Eflab
77,LM_0364,3,NA,GSL,UNI
78,LM_0365,3,NA,EER,UNI
79,LM_0366,3,NA,XEZ,UNI
80,LM_0367,3,NA,WDD,UNI
81,LM_0348,4,NA,ZFI,E139
82,LM_0349,4,NA,EOW,E139
83,LM_0350,4,NA,NZF,E139
84,LM_0351,4,NA,UGV,E139
85,LM_0352,4,NA,JGW,E64
86,LM_0353,4,NA,FFO,E64
87,LM_0354,4,NA,HIS,E64
88,LM_0355,4,NA,XLA,E64
89,LM_0356,4,NA,SBT,E88
90,LM_0357,4,NA,OUM,E88
91,LM_0358,4,NA,NDF,E88
92,LM_0359,4,NA,GTB,E88
93,LM_0360,4,NA,VPK,Eflab
94,LM_0361,4,NA,JQX,Eflab
95,LM_0362,4,NA,CLL,Eflab
96,LM_0363,4,NA,OEA,Eflab
97,LM_0364,4,NA,AKA,UNI
98,LM_0365,4,NA,SRU,UNI
99,LM_0366,4,NA,NGR,UNI
100,LM_0367,4,NA,CFB,UNI
101,LM_0348,5,NA,IUD,E139
102,LM_0349,5,NA,CNZ,E139
103,LM_0350,5,NA,MDE,E139
104,LM_0351,5,NA,SWD,E139
105,LM_0352,5,NA,JTL,E64
106,LM_0353,5,NA,BIO,E64
107,LM_0354,5,NA,BRM,E64
108,LM_0355,5,NA,LBB,E64
109,LM_0356,5,NA,HQE,E88
110,LM_0357,5,NA,RKJ,E88
111,LM_0358,5,NA,MDM,E88
112,LM_0359,5,NA,BID,E88
113,LM_0360,5,NA,CUI,Eflab
114,LM_0361,5,NA,ZBG,Eflab
115,LM_0362,5,NA,UAQ,Eflab
116,LM_0363,5,NA,FCS,Eflab
117,LM_0364,5,NA,BBE,UNI
118,LM_0365,5,NA,LDK,UNI
119,LM_0366,5,NA,IYI,UNI
120,LM_0367,5,NA,ARF,UNI
121,LM_0348,6,NA,GAU,E139
122,LM_0349,6,NA,HPG,E139
123,LM_0350,6,NA,JKL,E139
124,LM_0351,6,NA,VCF,E139
125,LM_0352,6,NA,BPT,E64
126,LM_0353,6,NA,MGT,E64
127,LM_0354,6,NA,OWQ,E64
128,LM_0355,6,NA,DHR,E64
129,LM_0356,6,NA,EWQ,E88
130,LM_0357,6,NA,ZZO,E88
131,LM_0358,6,NA,TUY,E88
132,LM_0359,6,NA,EVI,E88
133,LM_0360,6,NA,EAQ,Eflab
134,LM_0361,6,NA,FOM,Eflab
135,LM_0362,6,NA,PSG,Eflab
136,LM_0363,6,NA,AQN,Eflab
137,LM_0364,6,NA,NXU,UNI
138,LM_0365,6,NA,URG,UNI
139,LM_0366,6,NA,QAO,UNI
140,LM_0367,6,NA,QYP,UNI
141,LM_0348,7,NA,MRT,E139
142,LM_0349,7,NA,MRP,E139
143,LM_0350,7,NA,AKJ,E139
144,LM_0351,7,NA,CZD,E139
145,LM_0352,7,NA,PBV,E64
146,LM_0353,7,NA,ULK,E64
147,LM_0354,7,NA,EWR,E64
148,LM_0355,7,NA,BIO,E64
149,LM_0356,7,NA,DYE,E88
150,LM_0357,7,NA,LGU,E88
