"","EH_ID","dpi","labels","infection_history","primary","challenge","strain","sex"
"1","LM_0368",1,"E10aSLC","E64:E64","E64",NA,"SCHUNT",NA
"2","LM_0369",1,"E10aSZL","E64:E64","E64",NA,"SCHUNT",NA
"3","LM_0370",1,"E10aXTF","E64:E64","E64",NA,"PWD",NA
"4","LM_0371",1,"E10aOOZ","E64:E64","E64",NA,"PWD",NA
"5","LM_0372",1,"E10aUZM","E64:E88","E64",NA,"SCHUNT",NA
"6","LM_0373",1,"E10aSTP","E64:E88","E64",NA,"SCHUNT",NA
"7","LM_0374",1,"E10aUGI","E64:E88","E64",NA,"PWD",NA
"8","LM_0375",1,"E10aVMB","E64:E88","E64",NA,"PWD",NA
"9","LM_0376",1,"E10aNED","E64:UNI","E64",NA,"SCHUNT",NA
"10","LM_0377",1,"E10aWDE","E64:UNI","E64",NA,"SCHUNT",NA
"11","LM_0378",1,"E10aOIK","E64:UNI","E64",NA,"PWD",NA
"12","LM_0379",1,"E10aDWZ","E64:UNI","E64",NA,"PWD",NA
"13","LM_0380",1,"E10aFPM","E88:E88","E88",NA,"SCHUNT",NA
"14","LM_0381",1,"E10aTJL","E88:E88","E88",NA,"SCHUNT",NA
"15","LM_0382",1,"E10aNLL","E88:E88","E88",NA,"PWD",NA
"16","LM_0383",1,"E10aRRD","E88:E88","E88",NA,"PWD",NA
"17","LM_0384",1,"E10aAFG","E88:E64","E88",NA,"SCHUNT",NA
"18","LM_0385",1,"E10aBJK","E88:E64","E88",NA,"SCHUNT",NA
"19","LM_0386",1,"E10aZTI","E88:E64","E88",NA,"PWD",NA
"20","LM_0387",1,"E10aMMQ","E88:E64","E88",NA,"PWD",NA
"21","LM_0388",1,"E10aGRR","E88:UNI","E88",NA,"SCHUNT",NA
"22","LM_0389",1,"E10aWMA","E88:UNI","E88",NA,"SCHUNT",NA
"23","LM_0390",1,"E10aJPT","E88:UNI","E88",NA,"PWD",NA
"24","LM_0391",1,"E10aQHK","E88:UNI","E88",NA,"PWD",NA
"25","LM_0392",1,"E10aQUW","UNI:UNI","UNI",NA,"SCHUNT",NA
"26","LM_0393",1,"E10aXHF","UNI:UNI","UNI",NA,"SCHUNT",NA
"27","LM_0394",1,"E10aCWZ","UNI:UNI","UNI",NA,"PWD",NA
"28","LM_0395",1,"E10aZYB","UNI:UNI","UNI",NA,"PWD",NA
"29","LM_0396",1,"E10aVXC","UNI:E64","UNI",NA,"SCHUNT",NA
"30","LM_0397",1,"E10aTHK","UNI:E64","UNI",NA,"PWD",NA
"31","LM_0398",1,"E10aESZ","UNI:E88","UNI",NA,"SCHUNT",NA
"32","LM_0399",1,"E10aGTL","UNI:E88","UNI",NA,"PWD",NA
"33","LM_0368",2,"E10aKVT","E64:E64","E64",NA,"SCHUNT",NA
"34","LM_0369",2,"E10aQJO","E64:E64","E64",NA,"SCHUNT",NA
"35","LM_0370",2,"E10aNJY","E64:E64","E64",NA,"PWD",NA
"36","LM_0371",2,"E10aQWZ","E64:E64","E64",NA,"PWD",NA
"37","LM_0372",2,"E10aZIH","E64:E88","E64",NA,"SCHUNT",NA
"38","LM_0373",2,"E10aCZQ","E64:E88","E64",NA,"SCHUNT",NA
"39","LM_0374",2,"E10aCBY","E64:E88","E64",NA,"PWD",NA
"40","LM_0375",2,"E10aMFI","E64:E88","E64",NA,"PWD",NA
"41","LM_0376",2,"E10aERA","E64:UNI","E64",NA,"SCHUNT",NA
"42","LM_0377",2,"E10aDBR","E64:UNI","E64",NA,"SCHUNT",NA
"43","LM_0378",2,"E10aHLL","E64:UNI","E64",NA,"PWD",NA
"44","LM_0379",2,"E10aKBF","E64:UNI","E64",NA,"PWD",NA
"45","LM_0380",2,"E10aWPM","E88:E88","E88",NA,"SCHUNT",NA
"46","LM_0381",2,"E10aVYG","E88:E88","E88",NA,"SCHUNT",NA
"47","LM_0382",2,"E10aKAJ","E88:E88","E88",NA,"PWD",NA
"48","LM_0383",2,"E10aURA","E88:E88","E88",NA,"PWD",NA
"49","LM_0384",2,"E10aCIJ","E88:E64","E88",NA,"SCHUNT",NA
"50","LM_0385",2,"E10aOPZ","E88:E64","E88",NA,"SCHUNT",NA
"51","LM_0386",2,"E10aGAF","E88:E64","E88",NA,"PWD",NA
"52","LM_0387",2,"E10aYHQ","E88:E64","E88",NA,"PWD",NA
"53","LM_0388",2,"E10aSHK","E88:UNI","E88",NA,"SCHUNT",NA
"54","LM_0389",2,"E10aSZV","E88:UNI","E88",NA,"SCHUNT",NA
"55","LM_0390",2,"E10aUOJ","E88:UNI","E88",NA,"PWD",NA
"56","LM_0391",2,"E10aXCI","E88:UNI","E88",NA,"PWD",NA
"57","LM_0392",2,"E10aSZX","UNI:UNI","UNI",NA,"SCHUNT",NA
"58","LM_0393",2,"E10aGBB","UNI:UNI","UNI",NA,"SCHUNT",NA
"59","LM_0394",2,"E10aABE","UNI:UNI","UNI",NA,"PWD",NA
"60","LM_0395",2,"E10aWYZ","UNI:UNI","UNI",NA,"PWD",NA
"61","LM_0396",2,"E10aNVX","UNI:E64","UNI",NA,"SCHUNT",NA
"62","LM_0397",2,"E10aERX","UNI:E64","UNI",NA,"PWD",NA
"63","LM_0398",2,"E10aLUW","UNI:E88","UNI",NA,"SCHUNT",NA
"64","LM_0399",2,"E10aRVA","UNI:E88","UNI",NA,"PWD",NA
"65","LM_0368",3,"E10aYQD","E64:E64","E64",NA,"SCHUNT",NA
"66","LM_0369",3,"E10aZXG","E64:E64","E64",NA,"SCHUNT",NA
"67","LM_0370",3,"E10aZAD","E64:E64","E64",NA,"PWD",NA
"68","LM_0371",3,"E10aTIK","E64:E64","E64",NA,"PWD",NA
"69","LM_0372",3,"E10aDMH","E64:E88","E64",NA,"SCHUNT",NA
"70","LM_0373",3,"E10aIVO","E64:E88","E64",NA,"SCHUNT",NA
"71","LM_0374",3,"E10aYRA","E64:E88","E64",NA,"PWD",NA
"72","LM_0375",3,"E10aKZX","E64:E88","E64",NA,"PWD",NA
"73","LM_0376",3,"E10aUTC","E64:UNI","E64",NA,"SCHUNT",NA
"74","LM_0377",3,"E10aQPC","E64:UNI","E64",NA,"SCHUNT",NA
"75","LM_0378",3,"E10aOAS","E64:UNI","E64",NA,"PWD",NA
"76","LM_0379",3,"E10aJNY","E64:UNI","E64",NA,"PWD",NA
"77","LM_0380",3,"E10aKGF","E88:E88","E88",NA,"SCHUNT",NA
"78","LM_0381",3,"E10aOXT","E88:E88","E88",NA,"SCHUNT",NA
"79","LM_0382",3,"E10aIFB","E88:E88","E88",NA,"PWD",NA
"80","LM_0383",3,"E10aHGR","E88:E88","E88",NA,"PWD",NA
"81","LM_0384",3,"E10aUOP","E88:E64","E88",NA,"SCHUNT",NA
"82","LM_0385",3,"E10aMHK","E88:E64","E88",NA,"SCHUNT",NA
"83","LM_0386",3,"E10aKVQ","E88:E64","E88",NA,"PWD",NA
"84","LM_0387",3,"E10aSUW","E88:E64","E88",NA,"PWD",NA
"85","LM_0388",3,"E10aSIS","E88:UNI","E88",NA,"SCHUNT",NA
"86","LM_0389",3,"E10aFDU","E88:UNI","E88",NA,"SCHUNT",NA
"87","LM_0390",3,"E10aLGU","E88:UNI","E88",NA,"PWD",NA
"88","LM_0391",3,"E10aCXG","E88:UNI","E88",NA,"PWD",NA
"89","LM_0392",3,"E10aWDE.1","UNI:UNI","UNI",NA,"SCHUNT",NA
"90","LM_0393",3,"E10aOVS","UNI:UNI","UNI",NA,"SCHUNT",NA
"91","LM_0394",3,"E10aJTJ","UNI:UNI","UNI",NA,"PWD",NA
"92","LM_0395",3,"E10aETD","UNI:UNI","UNI",NA,"PWD",NA
"93","LM_0396",3,"E10aYXX","UNI:E64","UNI",NA,"SCHUNT",NA
"94","LM_0397",3,"E10aLYR","UNI:E64","UNI",NA,"PWD",NA
"95","LM_0398",3,"E10aGMH","UNI:E88","UNI",NA,"SCHUNT",NA
"96","LM_0399",3,"E10aQFC","UNI:E88","UNI",NA,"PWD",NA
"97","LM_0368",4,"E10aOZK","E64:E64","E64",NA,"SCHUNT",NA
"98","LM_0369",4,"E10aEDH","E64:E64","E64",NA,"SCHUNT",NA
"99","LM_0370",4,"E10aAEM","E64:E64","E64",NA,"PWD",NA
"100","LM_0371",4,"E10aGNT","E64:E64","E64",NA,"PWD",NA
"101","LM_0372",4,"E10aBKA","E64:E88","E64",NA,"SCHUNT",NA
"102","LM_0373",4,"E10aQUT","E64:E88","E64",NA,"SCHUNT",NA
"103","LM_0374",4,"E10aVXQ","E64:E88","E64",NA,"PWD",NA
"104","LM_0375",4,"E10aFHY","E64:E88","E64",NA,"PWD",NA
"105","LM_0376",4,"E10aQSC","E64:UNI","E64",NA,"SCHUNT",NA
"106","LM_0377",4,"E10aVMF","E64:UNI","E64",NA,"SCHUNT",NA
"107","LM_0378",4,"E10aZKY","E64:UNI","E64",NA,"PWD",NA
"108","LM_0379",4,"E10aQYU","E64:UNI","E64",NA,"PWD",NA
"109","LM_0380",4,"E10aWFI","E88:E88","E88",NA,"SCHUNT",NA
"110","LM_0381",4,"E10aIKU","E88:E88","E88",NA,"SCHUNT",NA
"111","LM_0382",4,"E10aYYC","E88:E88","E88",NA,"PWD",NA
"112","LM_0383",4,"E10aAWA","E88:E88","E88",NA,"PWD",NA
"113","LM_0384",4,"E10aRPZ","E88:E64","E88",NA,"SCHUNT",NA
"114","LM_0385",4,"E10aVSN","E88:E64","E88",NA,"SCHUNT",NA
"115","LM_0386",4,"E10aOIN","E88:E64","E88",NA,"PWD",NA
"116","LM_0387",4,"E10aBBQ","E88:E64","E88",NA,"PWD",NA
"117","LM_0388",4,"E10aRHN","E88:UNI","E88",NA,"SCHUNT",NA
"118","LM_0389",4,"E10aCTL","E88:UNI","E88",NA,"SCHUNT",NA
"119","LM_0390",4,"E10aYKI","E88:UNI","E88",NA,"PWD",NA
"120","LM_0391",4,"E10aHBZ","E88:UNI","E88",NA,"PWD",NA
"121","LM_0392",4,"E10aCBB","UNI:UNI","UNI",NA,"SCHUNT",NA
"122","LM_0393",4,"E10aVKD.1","UNI:UNI","UNI",NA,"SCHUNT",NA
"123","LM_0394",4,"E10aDFU","UNI:UNI","UNI",NA,"PWD",NA
"124","LM_0395",4,"E10aLQF","UNI:UNI","UNI",NA,"PWD",NA
