EH_ID,dpi,labels,primary
LM_0348,0,MTY,E139
LM_0349,0,FNW,E139
LM_0350,0,DFW,E139
LM_0351,0,EZC,E139
LM_0352,0,RPB,E64
LM_0353,0,GDW,E64
LM_0354,0,FQG,E64
LM_0355,0,TYQ,E64
LM_0356,0,ODF,E88
LM_0357,0,JDE,E88
LM_0358,0,NRK,E88
LM_0359,0,LSH,E88
LM_0360,0,OBV,Eflab
LM_0361,0,XJK,Eflab
LM_0362,0,MOX,Eflab
LM_0363,0,IUQ,Eflab
LM_0364,0,EVZ,UNI
LM_0365,0,WTF,UNI
LM_0366,0,WGN,UNI
LM_0367,0,NLQ,UNI
LM_0348,1,OJF,E139
LM_0349,1,FST,E139
LM_0350,1,UCA,E139
LM_0351,1,QMT,E139
LM_0352,1,HUH,E64
LM_0353,1,BPY,E64
LM_0354,1,YED,E64
LM_0355,1,IGA,E64
LM_0356,1,UGP,E88
LM_0357,1,ETM,E88
LM_0358,1,XKE,E88
LM_0359,1,MFY,E88
LM_0360,1,QPN,Eflab
LM_0361,1,QVI,Eflab
LM_0362,1,VQC,Eflab
LM_0363,1,PQW,Eflab
LM_0364,1,FFH,UNI
LM_0365,1,CXA,UNI
LM_0366,1,KHJ,UNI
LM_0367,1,YAM,UNI
LM_0348,2,TQA,E139
LM_0349,2,HBW,E139
LM_0350,2,TDW,E139
LM_0351,2,LNT,E139
LM_0352,2,UDZ,E64
LM_0353,2,LLW,E64
LM_0354,2,UGT,E64
LM_0355,2,CRR,E64
LM_0356,2,QKW,E88
LM_0357,2,QYZ,E88
LM_0358,2,NJI,E88
LM_0359,2,EJC,E88
LM_0360,2,ZFS,Eflab
LM_0361,2,KBV,Eflab
LM_0362,2,ZCH,Eflab
LM_0363,2,VMI,Eflab
LM_0364,2,AXB,UNI
LM_0365,2,DAP,UNI
LM_0366,2,QBT,UNI
LM_0367,2,CLB,UNI
LM_0348,3,OAW,E139
LM_0349,3,NGT,E139
LM_0350,3,PPC,E139
LM_0351,3,WPM,E139
LM_0352,3,PXS,E64
LM_0353,3,OBO,E64
LM_0354,3,JKC,E64
LM_0355,3,ERQ,E64
LM_0356,3,SOS,E88
LM_0357,3,AMK,E88
LM_0358,3,XBA,E88
LM_0359,3,GAQ,E88
LM_0360,3,ILN,Eflab
LM_0361,3,JLK,Eflab
LM_0362,3,IAF,Eflab
LM_0363,3,SHF,Eflab
LM_0364,3,GSL,UNI
LM_0365,3,EER,UNI
LM_0366,3,XEZ,UNI
LM_0367,3,WDD,UNI
LM_0348,4,ZFI,E139
LM_0349,4,EOW,E139
LM_0350,4,NZF,E139
LM_0351,4,UGV,E139
LM_0352,4,JGW,E64
LM_0353,4,FFO,E64
LM_0354,4,HIS,E64
LM_0355,4,XLA,E64
LM_0356,4,SBT,E88
LM_0357,4,OUM,E88
LM_0358,4,NDF,E88
LM_0359,4,GTB,E88
LM_0360,4,VPK,Eflab
LM_0361,4,JQX,Eflab
LM_0362,4,CLL,Eflab
LM_0363,4,OEA,Eflab
LM_0364,4,AKA,UNI
LM_0365,4,SRU,UNI
LM_0366,4,NGR,UNI
LM_0367,4,CFB,UNI
LM_0348,5,IUD,E139
LM_0349,5,CNZ,E139
LM_0350,5,MDE,E139
LM_0351,5,SWD,E139
LM_0352,5,JTL,E64
LM_0353,5,BIO,E64
LM_0354,5,BRM,E64
LM_0355,5,LBB,E64
LM_0356,5,HQE,E88
LM_0357,5,RKJ,E88
LM_0358,5,MDM,E88
LM_0359,5,BID,E88
LM_0360,5,CUI,Eflab
LM_0361,5,ZBG,Eflab
LM_0362,5,UAQ,Eflab
LM_0363,5,FCS,Eflab
LM_0364,5,BBE,UNI
LM_0365,5,LDK,UNI
LM_0366,5,IYI,UNI
LM_0367,5,ARF,UNI
LM_0348,6,GAU,E139
LM_0349,6,HPG,E139
LM_0350,6,JKL,E139
LM_0351,6,VCF,E139
LM_0352,6,BPT,E64
LM_0353,6,MGT,E64
LM_0354,6,OWQ,E64
LM_0355,6,DHR,E64
LM_0356,6,EWQ,E88
LM_0357,6,ZZO,E88
LM_0358,6,TUY,E88
LM_0359,6,EVI,E88
LM_0360,6,EAQ,Eflab
LM_0361,6,FOM,Eflab
LM_0362,6,PSG,Eflab
LM_0363,6,AQN,Eflab
LM_0364,6,NXU,UNI
LM_0365,6,URG,UNI
LM_0366,6,QAO,UNI
LM_0367,6,QYP,UNI
LM_0348,7,MRT,E139
LM_0349,7,MRP,E139
LM_0350,7,AKJ,E139
LM_0351,7,CZD,E139
LM_0352,7,PBV,E64
LM_0353,7,ULK,E64
LM_0354,7,EWR,E64
LM_0355,7,AAA,E64
LM_0356,7,DYE,E88
LM_0357,7,LGU,E88
LM_0358,7,SWK,E88
LM_0359,7,OZG,E88
LM_0360,7,RBY,Eflab
LM_0361,7,VCP,Eflab
LM_0362,7,KCF,Eflab
LM_0363,7,ETW,Eflab
LM_0364,7,GEH,UNI
LM_0365,7,GAV,UNI
LM_0366,7,EOB,UNI
LM_0367,7,CXE,UNI
LM_0348,8,GCN,E139
LM_0349,8,HEA,E139
LM_0350,8,GUJ,E139
LM_0351,8,KXK,E139
LM_0352,8,FDT,E64
LM_0353,8,CNF,E64
LM_0354,8,FGV,E64
LM_0355,8,LWB,E64
LM_0356,8,YSI,E88
LM_0357,8,BWK,E88
LM_0358,8,IVI,E88
LM_0359,8,FXB,E88
LM_0360,8,IQD,Eflab
LM_0361,8,BFV,Eflab
LM_0362,8,DTP,Eflab
LM_0363,8,CPI,Eflab
LM_0364,8,NOU,UNI
LM_0365,8,ONQ,UNI
LM_0366,8,UAE,UNI
LM_0367,8,HQG,UNI
LM_0348,9,JKY,E139
LM_0349,9,HTT,E139
LM_0350,9,DUE,E139
LM_0351,9,PRH,E139
LM_0352,9,PBX,E64
LM_0353,9,NWE,E64
LM_0354,9,ENX,E64
LM_0355,9,NJL,E64
LM_0356,9,EXA,E88
LM_0357,9,WYZ,E88
LM_0358,9,SNC,E88
LM_0359,9,ULF,E88
LM_0360,9,SYQ,Eflab
LM_0361,9,FTM,Eflab
LM_0362,9,PUM,Eflab
LM_0363,9,RDV,Eflab
LM_0364,9,IJK,UNI
LM_0365,9,EDT,UNI
LM_0366,9,OWI,UNI
LM_0367,9,KBE,UNI
LM_0348,10,OWL,E139
LM_0349,10,DIW,E139
LM_0350,10,GWH,E139
LM_0351,10,HDF,E139
LM_0352,10,XIJ,E64
LM_0353,10,EBU,E64
LM_0354,10,DYG,E64
LM_0355,10,CPK,E64
LM_0356,10,MMF,E88
LM_0357,10,YSZ,E88
LM_0358,10,RHX,E88
LM_0359,10,XYX,E88
LM_0360,10,ECQ,Eflab
LM_0361,10,ZRL,Eflab
LM_0362,10,BGC,Eflab
LM_0363,10,DAQ,Eflab
LM_0364,10,RFT,UNI
LM_0365,10,JRE,UNI
LM_0366,10,VLF,UNI
LM_0367,10,IJQ,UNI
LM_0348,11,LSL,E139
LM_0349,11,UYW,E139
LM_0350,11,BDZ,E139
LM_0351,11,MHC,E139
LM_0352,11,KUB,E64
LM_0353,11,HRY,E64
LM_0354,11,GZU,E64
LM_0355,11,GFH,E64
LM_0356,11,NDH,E88
LM_0357,11,QMF,E88
LM_0358,11,ZCB,E88
LM_0359,11,EER,E88
LM_0360,11,HGF,Eflab
LM_0361,11,IJW,Eflab
LM_0362,11,EUW,Eflab
LM_0363,11,PVF,Eflab
LM_0364,11,PWL,UNI
LM_0365,11,KPL,UNI
LM_0366,11,XTX,UNI
LM_0367,11,KFE,UNI
