,EH_ID,dpi,labels,challenge
92,LM_0359,4,BUU,UNI
93,LM_0360,4,FPJ,E88
94,LM_0361,4,TXK,E88
95,LM_0362,4,ISV,E64
96,LM_0363,4,LHZ,UNI
97,LM_0364,4,VDY,E88
98,LM_0365,4,OSQ,E88
99,LM_0366,4,STL,E64
100,LM_0367,4,ICV,UNI
101,LM_0348,5,GBX,E88
102,LM_0349,5,HXN,E88
103,LM_0350,5,CUJ,E64
104,LM_0351,5,ISP,UNI
105,LM_0352,5,VYO,E88
106,LM_0353,5,LUN,E88
107,LM_0354,5,UMZ,E64
108,LM_0355,5,YFR,UNI
109,LM_0356,5,UNW,E88
110,LM_0357,5,EWJ,E88
111,LM_0358,5,DGJ,E64
112,LM_0359,5,WAH,UNI
113,LM_0360,5,OQR,E88
114,LM_0361,5,IOZ,E88
115,LM_0362,5,QNU,E64
116,LM_0363,5,IYG,UNI
117,LM_0364,5,EES,E88
118,LM_0365,5,ZCF,E88
119,LM_0366,5,PBN,E64
120,LM_0367,5,KDS,UNI
121,LM_0348,6,IKC,E88
122,LM_0349,6,FPG,E88
123,LM_0350,6,BAT,E64
124,LM_0351,6,VSE,UNI
125,LM_0352,6,NRH,E88
126,LM_0353,6,KBF,E88
127,LM_0354,6,SLQ,E64
128,LM_0355,6,KAB,UNI
129,LM_0356,6,SLR,E88
130,LM_0357,6,XFH,E88
131,LM_0358,6,NZN,E64
132,LM_0359,6,YNV,UNI
133,LM_0360,6,IBH,E88
134,LM_0361,6,OOO,E88
135,LM_0362,6,ZJC,E64
136,LM_0363,6,RAP,UNI
137,LM_0364,6,YPF,E88
138,LM_0365,6,OKV,E88
139,LM_0366,6,UCC,E64
140,LM_0367,6,WKZ,UNI
141,LM_0348,7,SQT,E88
142,LM_0349,7,URQ,E88
143,LM_0350,7,SJG,E64
144,LM_0351,7,SQN,UNI
145,LM_0352,7,JEY,E88
146,LM_0353,7,JIL,E88
147,LM_0354,7,LVS,E64
148,LM_0355,7,WWU,UNI
149,LM_0356,7,VUW,E88
150,LM_0357,7,VVV,E88
151,LM_0358,7,OIR,E64
152,LM_0359,7,IAM,UNI
153,LM_0360,7,DXI,E88
154,LM_0361,7,HHA,E88
155,LM_0362,7,FUA,E64
156,LM_0363,7,KGL,UNI
157,LM_0364,7,EJB,E88
158,LM_0365,7,YNP,E88
159,LM_0366,7,TEV,E64
160,LM_0367,7,POY,UNI
161,LM_0348,8,BZP,E88
162,LM_0349,8,HVW,E88
163,LM_0350,8,XUZ,E64
164,LM_0351,8,JQG,UNI
165,LM_0352,8,RXD,E88
166,LM_0353,8,IFU,E88
167,LM_0354,8,MOP,E64
168,LM_0355,8,KJY,UNI
169,LM_0356,8,QSH,E88
170,LM_0357,8,XUM,E88
171,LM_0358,8,GAB,E64
172,LM_0359,8,YNV,UNI
173,LM_0360,8,VPL,E88
174,LM_0361,8,RLM,E88
175,LM_0362,8,DAR,E64
176,LM_0363,8,PQS,UNI
177,LM_0364,8,SMQ,E88
178,LM_0365,8,GXY,E88
179,LM_0366,8,DXC,E64
180,LM_0367,8,XOQ,UNI
181,LM_0348,9,CVJ,E88
182,LM_0349,9,GJW,E88
183,LM_0350,9,SBI,E64
184,LM_0351,9,DTC,UNI
185,LM_0352,9,BHF,E88
186,LM_0353,9,ZNP,E88
187,LM_0354,9,FXN,E64
188,LM_0355,9,CUX,UNI
189,LM_0356,9,UKD,E88
190,LM_0357,9,PYW,E88
191,LM_0358,9,FHK,E64
192,LM_0359,9,UHQ,UNI
193,LM_0360,9,NLB,E88
194,LM_0361,9,HKQ,E88
195,LM_0362,9,DFZ,E64
196,LM_0363,9,FMA,UNI
197,LM_0364,9,OQY,E88
198,LM_0365,9,XTB,E88
199,LM_0366,9,GZB,E64
200,LM_0367,9,QMH,UNI
201,LM_0348,10,MYE,E88
202,LM_0349,10,XYK,E88
203,LM_0350,10,MCA,E64
204,LM_0351,10,WZS,UNI
205,LM_0352,10,YWH,E88
206,LM_0353,10,JUR,E88
207,LM_0354,10,AQL,E64
208,LM_0355,10,SQR,UNI
209,LM_0356,10,XFE,E88
210,LM_0357,10,JXE,E88
211,LM_0358,10,HVE,E64
212,LM_0359,10,RNO,UNI
213,LM_0360,10,ASR,E88
214,LM_0361,10,YJD,E88
215,LM_0362,10,LKT,E64
216,LM_0363,10,POW,UNI
217,LM_0364,10,SHS,E88
218,LM_0365,10,VNL,E88
219,LM_0366,10,JAU,E64
220,LM_0367,10,GNI,UNI
221,LM_0348,11,TIB,E88
222,LM_0349,11,FRM,E88
223,LM_0350,11,BVF,E64
224,LM_0351,11,KUR,UNI
225,LM_0352,11,NZF,E88
226,LM_0353,11,LMR,E88
227,LM_0354,11,BSN,E64
228,LM_0355,11,XVK,UNI
229,LM_0356,11,HXC,E88
230,LM_0357,11,YCP,E88
231,LM_0358,11,JIX,E64
232,LM_0359,11,QHS,UNI
233,LM_0360,11,SOB,E88
234,LM_0361,11,SWS,E88
235,LM_0362,11,BKJ,E64
236,LM_0363,11,AMC,UNI
237,LM_0364,11,JDD,E88
238,LM_0365,11,IRJ,E88
239,LM_0366,11,ODH,E64
240,LM_0367,11,NQH,UNI
