"","EH_ID","dpi","labels","infection_history","primary","challenge","strain","sex","dpi.diss"
"63","LM_0370",4,"E10bAEM","E64:E64",NA,"E64","PWD",NA,8
"64","LM_0372",4,"E10bBKA","E64:E88",NA,"E88","SCHUNT",NA,8
"65","LM_0373",4,"E10bQUT","E64:E88",NA,"E88","SCHUNT",NA,8
"66","LM_0375",4,"E10bFHY","E64:E88",NA,"E88","PWD",NA,8
"67","LM_0376",4,"E10bQSC","E64:UNI",NA,"UNI","SCHUNT",NA,8
"68","LM_0377",4,"E10bVMF","E64:UNI",NA,"UNI","SCHUNT",NA,8
"69","LM_0379",4,"E10bQYU","E64:UNI",NA,"UNI","PWD",NA,8
"70","LM_0380",4,"E10bWFI","E88:E88",NA,"E88","SCHUNT",NA,8
"71","LM_0385",4,"E10bVSN","E88:E64",NA,"E64","SCHUNT",NA,8
"72","LM_0389",4,"E10bCTL","E88:UNI",NA,"UNI","SCHUNT",NA,8
"73","LM_0392",4,"E10bCBB","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"74","LM_0393",4,"E10bVKD.1","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"75","LM_0394",4,"E10bDFU","UNI:UNI",NA,"UNI","PWD",NA,8
"76","LM_0395",4,"E10bLQF","UNI:UNI",NA,"UNI","PWD",NA,8
"77","LM_0396",4,"E10bCQF","UNI:E64",NA,"E64","SCHUNT",NA,8
"78","LM_0397",4,"E10bEVY","UNI:E64",NA,"E64","PWD",NA,8
"79","LM_0398",4,"E10bZJS","UNI:E88",NA,"E88","SCHUNT",NA,8
"80","LM_0399",4,"E10bSBP","UNI:E88",NA,"E88","PWD",NA,8
"81","LM_0368",5,"E10bZGP","E64:E64",NA,"E64","SCHUNT",NA,8
"82","LM_0369",5,"E10bKSO","E64:E64",NA,"E64","SCHUNT",NA,8
"83","LM_0370",5,"E10bCNW","E64:E64",NA,"E64","PWD",NA,8
"84","LM_0372",5,"E10bFZA","E64:E88",NA,"E88","SCHUNT",NA,8
"85","LM_0373",5,"E10bBXR","E64:E88",NA,"E88","SCHUNT",NA,8
"86","LM_0375",5,"E10bLEJ","E64:E88",NA,"E88","PWD",NA,8
"87","LM_0376",5,"E10bGCI","E64:UNI",NA,"UNI","SCHUNT",NA,8
"88","LM_0377",5,"E10bVVZ","E64:UNI",NA,"UNI","SCHUNT",NA,8
"89","LM_0379",5,"E10bBRI","E64:UNI",NA,"UNI","PWD",NA,8
"90","LM_0380",5,"E10bAOU","E88:E88",NA,"E88","SCHUNT",NA,8
"91","LM_0385",5,"E10bTJP","E88:E64",NA,"E64","SCHUNT",NA,8
"92","LM_0389",5,"E10bLQI","E88:UNI",NA,"UNI","SCHUNT",NA,8
"93","LM_0392",5,"E10bVWS","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"94","LM_0393",5,"E10bYSJ","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"95","LM_0394",5,"E10bMSM","UNI:UNI",NA,"UNI","PWD",NA,8
"96","LM_0395",5,"E10bDGV","UNI:UNI",NA,"UNI","PWD",NA,8
"97","LM_0396",5,"E10bSLN","UNI:E64",NA,"E64","SCHUNT",NA,8
"98","LM_0397",5,"E10bAHK","UNI:E64",NA,"E64","PWD",NA,8
"99","LM_0398",5,"E10bUZZ","UNI:E88",NA,"E88","SCHUNT",NA,8
"100","LM_0399",5,"E10bIXJ","UNI:E88",NA,"E88","PWD",NA,8
"101","LM_0368",6,"E10bDFW","E64:E64",NA,"E64","SCHUNT",NA,8
"102","LM_0369",6,"E10bBAM","E64:E64",NA,"E64","SCHUNT",NA,8
"103","LM_0370",6,"E10bGSN","E64:E64",NA,"E64","PWD",NA,8
"104","LM_0372",6,"E10bCBO","E64:E88",NA,"E88","SCHUNT",NA,8
"105","LM_0373",6,"E10bGYP","E64:E88",NA,"E88","SCHUNT",NA,8
"106","LM_0375",6,"E10bZQX","E64:E88",NA,"E88","PWD",NA,8
"107","LM_0376",6,"E10bGFV","E64:UNI",NA,"UNI","SCHUNT",NA,8
"108","LM_0377",6,"E10bUZY","E64:UNI",NA,"UNI","SCHUNT",NA,8
"109","LM_0379",6,"E10bCYC","E64:UNI",NA,"UNI","PWD",NA,8
"110","LM_0380",6,"E10bSDV","E88:E88",NA,"E88","SCHUNT",NA,8
"111","LM_0385",6,"E10bXOY","E88:E64",NA,"E64","SCHUNT",NA,8
"112","LM_0389",6,"E10bNPL","E88:UNI",NA,"UNI","SCHUNT",NA,8
"113","LM_0392",6,"E10bZNH","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"114","LM_0393",6,"E10bQTG","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"115","LM_0394",6,"E10bGDN","UNI:UNI",NA,"UNI","PWD",NA,8
"116","LM_0395",6,"E10bRFH","UNI:UNI",NA,"UNI","PWD",NA,8
"117","LM_0396",6,"E10bUQM","UNI:E64",NA,"E64","SCHUNT",NA,8
"118","LM_0397",6,"E10bWQO","UNI:E64",NA,"E64","PWD",NA,8
"119","LM_0398",6,"E10bSOB","UNI:E88",NA,"E88","SCHUNT",NA,8
"120","LM_0399",6,"E10bJFX","UNI:E88",NA,"E88","PWD",NA,8
"121","LM_0368",7,"E10bYFC","E64:E64",NA,"E64","SCHUNT",NA,8
"122","LM_0369",7,"E10bVLS","E64:E64",NA,"E64","SCHUNT",NA,8
"123","LM_0370",7,"E10bRMO","E64:E64",NA,"E64","PWD",NA,8
"124","LM_0372",7,"E10bWMB","E64:E88",NA,"E88","SCHUNT",NA,8
"125","LM_0373",7,"E10bIMN","E64:E88",NA,"E88","SCHUNT",NA,8
"126","LM_0375",7,"E10bFTF","E64:E88",NA,"E88","PWD",NA,8
"127","LM_0376",7,"E10bXZZ","E64:UNI",NA,"UNI","SCHUNT",NA,8
"128","LM_0377",7,"E10bJLF","E64:UNI",NA,"UNI","SCHUNT",NA,8
"129","LM_0379",7,"E10bDEM","E64:UNI",NA,"UNI","PWD",NA,8
"130","LM_0380",7,"E10bJVK","E88:E88",NA,"E88","SCHUNT",NA,8
"131","LM_0385",7,"E10bMTZ","E88:E64",NA,"E64","SCHUNT",NA,8
"132","LM_0389",7,"E10bPZH","E88:UNI",NA,"UNI","SCHUNT",NA,8
"133","LM_0392",7,"E10bOKS","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"134","LM_0393",7,"E10bEEB","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"135","LM_0394",7,"E10bCQA","UNI:UNI",NA,"UNI","PWD",NA,8
"136","LM_0395",7,"E10bYFN","UNI:UNI",NA,"UNI","PWD",NA,8
"137","LM_0396",7,"E10bKJN","UNI:E64",NA,"E64","SCHUNT",NA,8
"138","LM_0397",7,"E10bXES","UNI:E64",NA,"E64","PWD",NA,8
"139","LM_0398",7,"E10bRJY","UNI:E88",NA,"E88","SCHUNT",NA,8
"140","LM_0399",7,"E10bZAK","UNI:E88",NA,"E88","PWD",NA,8
"141","LM_0368",8,"E10bBWZ","E64:E64",NA,"E64","SCHUNT",NA,8
"142","LM_0369",8,"E10bQBG","E64:E64",NA,"E64","SCHUNT",NA,8
"143","LM_0370",8,"E10bVIV","E64:E64",NA,"E64","PWD",NA,8
"144","LM_0372",8,"E10bAHH","E64:E88",NA,"E88","SCHUNT",NA,8
"145","LM_0373",8,"E10bEJZ","E64:E88",NA,"E88","SCHUNT",NA,8
"146","LM_0375",8,"E10bLFS","E64:E88",NA,"E88","PWD",NA,8
"147","LM_0376",8,"E10bMVN","E64:UNI",NA,"UNI","SCHUNT",NA,8
"148","LM_0377",8,"E10bLQS","E64:UNI",NA,"UNI","SCHUNT",NA,8
"149","LM_0379",8,"E10bTSD","E64:UNI",NA,"UNI","PWD",NA,8
"150","LM_0380",8,"E10bVKF","E88:E88",NA,"E88","SCHUNT",NA,8
"151","LM_0385",8,"E10bPNK","E88:E64",NA,"E64","SCHUNT",NA,8
"152","LM_0389",8,"E10bVXW","E88:UNI",NA,"UNI","SCHUNT",NA,8
"153","LM_0392",8,"E10bYZU","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"154","LM_0393",8,"E10bOET","UNI:UNI",NA,"UNI","SCHUNT",NA,8
"155","LM_0394",8,"E10bXCZ","UNI:UNI",NA,"UNI","PWD",NA,8
"156","LM_0395",8,"E10bPON","UNI:UNI",NA,"UNI","PWD",NA,8
"157","LM_0396",8,"E10bLCS","UNI:E64",NA,"E64","SCHUNT",NA,8
"158","LM_0397",8,"E10bIFF","UNI:E64",NA,"E64","PWD",NA,8
"159","LM_0398",8,"E10bQSC.1","UNI:E88",NA,"E88","SCHUNT",NA,8
"160","LM_0399",8,"E10bPSW","UNI:E88",NA,"E88","PWD",NA,8
