"","EH_ID","deltaCt_MminusE","primary","challenge","contamination","InfectionHistory","InfectionHistoryTotal","HybridStatus","Strain","Genome"
"1","LM0227",-5.79,"E88","E64","u.c.","E88 E64","u.c. E88 E64","inter subsp. hybrids","BUSNA-STRA","mus x dom"
"2","LM0228",-5.91,"E88","E64","u.c.","E88 E64","u.c. E88 E64","inter subsp. hybrids","BUSNA-STRA","dom x mus"
"3","LM0229",-7.12,"E88","E88",NA,"E88 E88","NA E88 E88","parental strains","SCHUNT-SCHUNT","dom"
"4","LM0231",-5.16,"E88","E64",NA,"E88 E64","NA E88 E64","inter subsp. hybrids","PWD-SCHUNT","mus x dom"
"5","LM0232",-6.22,"E88","E88",NA,"E88 E88","NA E88 E88","inter subsp. hybrids","BUSNA-STRA","mus x dom"
"6","LM0233",-5.97,"E88","E88",NA,"E88 E88","NA E88 E88","parental strains","STRA-STRA","dom"
"7","LM0234",-7.89,"E88","E64",NA,"E88 E64","NA E88 E64","parental strains","STRA-STRA","dom"
"8","LM0235",-5.84,"E88","E64","E64","E88 E64","E64 E88 E64","outbred hybrids","SCHUNT-STRA","dom"
"9","LM0236",-6.02,"E88","E64",NA,"E88 E64","NA E88 E64","parental strains","STRA-STRA","dom"
"10","LM0238",-4.42,"E88","E64","u.c.","E88 E64","u.c. E88 E64","outbred hybrids","BUSNA-PWD","mus x mus"
"11","LM0239",-6.76,"E88","E88","u.c.","E88 E88","u.c. E88 E88","parental strains","SCHUNT-SCHUNT","dom"
"12","LM0240",-6.65,"E88","E64","u.c.","E88 E64","u.c. E88 E64","inter subsp. hybrids","PWD-SCHUNT","dom x mus"
"13","LM0247",-4.68,"E88","E88","u.c.","E88 E88","u.c. E88 E88","outbred hybrids","SCHUNT-STRA","dom"
"14","LM0248",-6.92,"E88","E64","E64","E88 E64","E64 E88 E64","outbred hybrids","SCHUNT-STRA","dom"
"15","LM0249",-5.96,"E88","E64","u.c.","E88 E64","u.c. E88 E64","outbred hybrids","SCHUNT-STRA","dom"
"16","LM0251",-4.73,"E88","E88",NA,"E88 E88","NA E88 E88","inter subsp. hybrids","BUSNA-STRA","dom x mus"
"17","LM0254",-8.48,"E88","E88",NA,"E88 E88","NA E88 E88","inter subsp. hybrids","PWD-SCHUNT","dom x mus"
"18","LM0255",-2.73,"E88","E64",NA,"E88 E64","NA E88 E64","parental strains","BUSNA-BUSNA","mus"
"19","LM0256",-8.9,"E88","E88",NA,"E88 E88","NA E88 E88","parental strains","STRA-STRA","dom"
"20","LM0257",-6.93,"E88","E64",NA,"E88 E64","NA E88 E64","parental strains","SCHUNT-SCHUNT","dom"
"21","LM0258",-5.75,"E64","E64","E64","E64 E64","E64 E64 E64","outbred hybrids","BUSNA-PWD","mus x mus"
"22","LM0259",-8,"E64","E64","u.c.","E64 E64","u.c. E64 E64","inter subsp. hybrids","BUSNA-STRA","dom x mus"
"23","LM0260",-11.9,"E64","E64","E64","E64 E64","E64 E64 E64","parental strains","SCHUNT-SCHUNT","dom"
"24","LM0261",-5.9,"E64","E88",NA,"E64 E88","NA E64 E88","inter subsp. hybrids","PWD-SCHUNT","mus x dom"
"25","LM0262",-10.06,"E64","E64","E64","E64 E64","E64 E64 E64","parental strains","BUSNA-BUSNA","mus"
"26","LM0263",-8.38,"E64","E64","u.c.","E64 E64","u.c. E64 E64","inter subsp. hybrids","PWD-SCHUNT","mus x dom"
"27","LM0264",-10.02,"E64","E88",NA,"E64 E88","NA E64 E88","parental strains","PWD-PWD","mus"
"28","LM0265",-11.42,"E64","E64",NA,"E64 E64","NA E64 E64","inter subsp. hybrids","BUSNA-STRA","mus x dom"
"29","LM0266",-8.25,"E64","E88","u.c.","E64 E88","u.c. E64 E88","outbred hybrids","SCHUNT-STRA","dom"
"30","LM0268",-8.15,"E64","E88","E64","E64 E88","E64 E64 E88","parental strains","SCHUNT-SCHUNT","dom"
"31","LM0269",-7.91,"E64","E64","E64","E64 E64","E64 E64 E64","outbred hybrids","SCHUNT-STRA","dom"
"32","LM0270",-9.75,"E64","E64","E64","E64 E64","E64 E64 E64","outbred hybrids","SCHUNT-STRA","dom"
"33","LM0271",-9.2,"E64","E88",NA,"E64 E88","NA E64 E88","inter subsp. hybrids","BUSNA-STRA","dom x mus"
"34","LM0272",-10.55,"E64","E88",NA,"E64 E88","NA E64 E88","inter subsp. hybrids","BUSNA-STRA","mus x dom"
"35","LM0273",-10.42,"E64","E88","u.c.","E64 E88","u.c. E64 E88","outbred hybrids","SCHUNT-STRA","dom"
"36","LM0275",4.14,"E64","E88",NA,"E64 E88","NA E64 E88","inter subsp. hybrids","PWD-SCHUNT","dom x mus"
"37","LM0276",-10.61,"E64","E88",NA,"E64 E88","NA E64 E88","parental strains","STRA-STRA","dom"
"38","LM0277",-10.39,"E64","E88",NA,"E64 E88","NA E64 E88","inter subsp. hybrids","BUSNA-STRA","mus x dom"
"39","LM0278",-10.99,"E64","E88",NA,"E64 E88","NA E64 E88","inter subsp. hybrids","PWD-SCHUNT","dom x mus"
"40","LM0279",-9.18,"E64","E64",NA,"E64 E64","NA E64 E64","parental strains","BUSNA-BUSNA","mus"
"41","LM0280",-7.12,"E64","E64",NA,"E64 E64","NA E64 E64","parental strains","SCHUNT-SCHUNT","dom"
"42","LM0282",-12.69,"E64","E88",NA,"E64 E88","NA E64 E88","parental strains","STRA-STRA","dom"
"43","LM0283",-10.57,"E64","E88","E64","E64 E88","E64 E64 E88","parental strains","PWD-PWD","mus"
"44","LM0284",-6.19,"E64","E64","u.c.","E64 E64","u.c. E64 E64","inter subsp. hybrids","BUSNA-STRA","dom x mus"
"45","LM0285",-3.11,"E64","E64",NA,"E64 E64","NA E64 E64","parental strains","PWD-PWD","mus"
"46","LM0286",-9.21,"E64","E88",NA,"E64 E88","NA E64 E88","outbred hybrids","BUSNA-PWD","mus x mus"
"47","LM0287",-6.34,"E64","E64",NA,"E64 E64","NA E64 E64","outbred hybrids","BUSNA-PWD","mus x mus"
"48","LM0288",-8.79,"E64","E88","u.c.","E64 E88","u.c. E64 E88","outbred hybrids","BUSNA-PWD","mus x mus"
"49","LM0289",-9.18,"E64","E88",NA,"E64 E88","NA E64 E88","parental strains","SCHUNT-SCHUNT","dom"
"50","LM0291",1.21,"E64","E64","E64","E64 E64","E64 E64 E64","outbred hybrids","BUSNA-PWD","mus x mus"
"51","LM0292",-7.97,"E64","E88",NA,"E64 E88","NA E64 E88","outbred hybrids","BUSNA-PWD","mus x mus"
"52","LM0293",-5.02,"E64","E88",NA,"E64 E88","NA E64 E88","parental strains","BUSNA-BUSNA","mus"
"53","LM0294",11.61,"E64","E64","E64","E64 E64","E64 E64 E64","parental strains","PWD-PWD","mus"
