EH_ID,infection_isolate,Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,X,NOTE,ageAtInfection
LM0146,E139,Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,18-02-08,3,9,6,3,SY,8480,F,37,1F,5.38,8.46,L2,04/20/2018,,,16.7142857142857
LM0147,E64,Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,18-03-06,6,6,2,3,SY,9618,F,60,1F,4.98,9.33,L4,04/20/2018,,,13
LM0148,E64,Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,18-03-06,6,6,2,3,SY,9616,M,60,1M,5.11,9.77,L2,04/20/2018,,,13
LM0149,E64,Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,18-02-08,3,9,6,3,SY,8476,M,37,1M,5.05,8.39,P2,04/20/2018,,,16.7142857142857
LM0150,E139,Buskovice,mus,BUSNA,SY,7196,60,BUSNA,SY,7192,60,18-02-14,1,3,2,0,SY,8612,M,61,1M,5.75,7.89,P2,04/20/2018,,,15.8571428571429
LM0151,E64,Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,18-01-29,4,6,2,4,EX,526,F,55,1M,7.21,11.33,P2,04/20/2018,,,18.1428571428571
LM0152,E64,Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,18-02-08,3,9,6,3,SY,8481,F,37,1F,5.32,8.65,L3,04/20/2018,,,16.7142857142857
LM0153,E139,Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,18-02-10,1,6,2,4,SY,8514,F,43,1F,2.8,4.35,P2,04/20/2018,isolation 12. 3. 18,,16.4285714285714
LM0154,E139,Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,18-02-10,1,6,2,4,SY,8513,F,43,1F,2.74,4.32,L5,04/20/2018,isolation 12. 3. 18,,16.4285714285714
LM0155,E139,Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,18-02-10,1,6,2,4,SY,8512,F,43,1F,2.75,4.12,L4,04/20/2018,isolation 12. 3. 18,,16.4285714285714
LM0156,E139,Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,18-03-06,6,6,2,3,SY,9620,F,60,1F,5.5,9.36,P3,04/20/2018,isolation 7.3.18,,13
LM0157,E139,Straas2,dom,STRA,SY,6347,55,STRA,SY,6343,55,18-02-23,1,9,4,5,SY,9339,M,56,1M,6.35,10.99,L2,04/20/2018,,,14.5714285714286
LM0158,E64,Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,18-01-29,4,6,2,4,EX,524,M,55,1M,6.84,11.33,L2,04/20/2018,,,18.1428571428571
LM0159,E139,Buskovice,mus,BUSNA,SY,8280,62,BUSNA,SY,8281,62,18-03-26,1,4,0,4,SX,145,F,63,1F,5.14,7.63,L4,04/20/2018,,"was SY143, is SX145",10.1428571428571
LM0160,E64,Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,18-02-10,1,6,2,4,SY,8515,F,43,1F,2.52,3.83,P3,04/20/2018,isolation 12. 3. 18,,16.4285714285714
LM0161,E64,Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,18-01-29,4,6,2,4,EX,525,M,55,1M,6.88,10.93,L3,04/20/2018,,,18.1428571428571
LM0162,E64,Schweben 2,dom,SCHUNT,SY,6901,37,SCHUNT,SY,6900,37,18-02-08,1,5,3,2,SY,8486,F,38,1F,6.2,8.77,P5,04/20/2018,,,16.7142857142857
LM0163,E64,Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,18-02-08,3,9,6,3,SY,8479,F,37,1F,5.13,8.31,P5,04/20/2018,,,16.7142857142857
LM0164,E139,Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,18-02-08,3,9,6,3,SY,8478,M,37,1M,5.03,8.2,P4,04/20/2018,,,16.7142857142857
LM0165,E139,Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,18-02-08,3,9,6,3,SY,8477,M,37,1M,5.17,8.62,P3,04/20/2018,,,16.7142857142857
LM0166,E139,Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,18-01-29,4,6,2,4,EX,528,F,55,1F,6.87,11.67,P4,04/20/2018,,,18.1428571428571
LM0167,E64,Prague,mus,PWD,SY,5675,42,PWD,SY,5674,42,18-02-10,2,6,3,1,SY,8505,M,43,1M,3.61,5.04,P2,04/20/2018,,was SY male 8595,16.4285714285714
LM0168,E139,Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,18-01-29,4,6,2,4,EX,529,F,55,1F,6.22,10.85,P5,04/20/2018,,,18.1428571428571
LM0169,E64,Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,18-02-10,1,6,2,4,SY,8511,M,43,1M,2.6,3.72,L3,04/20/2018,isolation 12. 3. 18,,16.4285714285714
LM0170,E139,Schweben 2,dom,SCHUNT,SY,6901,37,SCHUNT,SY,6900,37,18-02-08,1,5,3,2,SY,8483,M,38,1M,6.45,9.59,L3,04/20/2018,,,16.7142857142857
LM0171,E64,Prague,mus,PWD,SY,4994,41,PWD,SY,4990,41,18-02-08,4,5,2,0,SY,8487,M,42,1M,3.31,5.12,L2,04/20/2018,,,16.7142857142857
LM0172,E139,Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,18-03-06,6,6,2,3,SY,9619,F,60,1F,4.89,8.85,P2,04/20/2018,isolation 7.3.18,,13
LM0173,E64,Buskovice,mus,BUSNA,SY,8280,62,BUSNA,SY,8281,62,18-03-26,1,4,0,4,SX,144,F,63,1F,5.11,7.83,L3,04/20/2018,,"was SY144, is SX144",10.1428571428571
LM0174,E64,Buskovice,mus,BUSNA,SY,7196,60,BUSNA,SY,7192,60,18-02-14,1,3,2,0,SY,8613,M,61,1M,5.98,8.12,P3,04/20/2018,,,15.8571428571429
LM0175,E64,Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,18-01-29,4,6,2,4,EX,527,F,55,1F,7.32,11.47,P3,04/20/2018,,,18.1428571428571
LM0176,E139,Schweben 2,dom,SCHUNT,SY,6901,37,SCHUNT,SY,6900,37,18-02-08,1,5,3,2,SY,8482,M,38,1M,6.37,9.26,L2,04/20/2018,,,16.7142857142857
LM0177,E139,Prague,mus,PWD,SY,7076,42,PWD,SY,7073,42,18-02-10,1,6,2,4,SY,8510,M,43,1M,2.89,4.16,L2,04/20/2018,isolation 12. 3. 18,,16.4285714285714
LM0178,E64,Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,18-03-06,6,6,2,3,SY,9617,M,60,1M,5.32,9.22,L3,04/20/2018,,,13
