EH_ID,dpi,labels,primary,,,,,,,,,,
LM_0368,0,,,,,,,,,,,,
LM_0369,0,,,,,,,,,,,,
LM_0370,0,,,,,,,,,,,,
LM_0371,0,,,,,,,,,,,,
LM_0372,0,,,,,,,,,,,,
LM_0373,0,,,,,,,,,,,,
LM_0374,0,,,,,,,,,,,,
LM_0375,0,,,,,,,,,,,,
LM_0376,0,,,,,,,,,,,,
LM_0377,0,,,,,,,,,,,,
LM_0378,0,,,,,,,,,,,,
LM_0379,0,,,,,,,,,,E64,E88,UNI
LM_0380,0,,,,,,,,,SHUNT,5,5,5
LM_0381,0,,,,,,,,,PWD,5,5,5
LM_0382,0,,,,,,,,,,,,
LM_0383,0,,,,,,,,,,,,
LM_0384,0,,,,,,,,,,,,
LM_0385,0,,,,,,,,,,,,2
LM_0386,0,,,,,,,,,,,,
LM_0387,0,,,,,,,,,,,,
LM_0388,0,,,,,,,,,,,,
LM_0389,0,,,,,,,,,,,,
LM_0390,0,,,,,,,,,,,,
LM_0391,0,,,,,,,,,,,,
LM_0392,0,,,,,,,,,,,,
LM_0393,0,,,,,,,,,,,,
LM_0394,0,,,,,,,,,,,,
LM_0395,0,,,,,,,,,,,,
LM_0396,0,,,,,,,,,,,,
LM_0397,0,,,,,,,,,,,,
LM_0398,0,,,,,,,,,,,,
LM_0399,0,,,,,,,,,,,,
LM_0368,1,,,,,,,,,,,,
LM_0369,1,,,,,,,,,,,,
LM_0370,1,,,,,,,,,,,,
LM_0371,1,,,,,,,,,,,,
LM_0372,1,,,,,,,,,,,,
LM_0373,1,,,,,,,,,,,,
LM_0374,1,,,,,,,,,,,,
LM_0375,1,,,,,,,,,,,,
LM_0376,1,,,,,,,,,,,,
LM_0377,1,,,,,,,,,,,,
LM_0378,1,,,,,,,,,,,,
LM_0379,1,,,,,,,,,,,,
LM_0380,1,,,,,,,,,,,,
LM_0381,1,,,,,,,,,,,,
LM_0382,1,,,,,,,,,,,,
LM_0383,1,,,,,,,,,,,,
LM_0384,1,,,,,,,,,,,,
LM_0385,1,,,,,,,,,,,,
LM_0386,1,,,,,,,,,,,,
LM_0387,1,,,,,,,,,,,,
LM_0388,1,,,,,,,,,,,,
LM_0389,1,,,,,,,,,,,,
LM_0390,1,,,,,,,,,,,,
LM_0391,1,,,,,,,,,,,,
LM_0392,1,,,,,,,,,,,,
LM_0393,1,,,,,,,,,,,,
LM_0394,1,,,,,,,,,,,,
LM_0395,1,,,,,,,,,,,,
LM_0396,1,,,,,,,,,,,,
LM_0397,1,,,,,,,,,,,,
LM_0398,1,,,,,,,,,,,,
LM_0399,1,,,,,,,,,,,,
LM_0368,2,,,,,,,,,,,,
LM_0369,2,,,,,,,,,,,,
LM_0370,2,,,,,,,,,,,,
LM_0371,2,,,,,,,,,,,,
LM_0372,2,,,,,,,,,,,,
LM_0373,2,,,,,,,,,,,,
LM_0374,2,,,,,,,,,,,,
LM_0375,2,,,,,,,,,,,,
LM_0376,2,,,,,,,,,,,,
LM_0377,2,,,,,,,,,,,,
LM_0378,2,,,,,,,,,,,,
LM_0379,2,,,,,,,,,,,,
LM_0380,2,,,,,,,,,,,,
LM_0381,2,,,,,,,,,,,,
LM_0382,2,,,,,,,,,,,,
LM_0383,2,,,,,,,,,,,,
LM_0384,2,,,,,,,,,,,,
LM_0385,2,,,,,,,,,,,,
LM_0386,2,,,,,,,,,,,,
LM_0387,2,,,,,,,,,,,,
LM_0388,2,,,,,,,,,,,,
LM_0389,2,,,,,,,,,,,,
LM_0390,2,,,,,,,,,,,,
LM_0391,2,,,,,,,,,,,,
LM_0392,2,,,,,,,,,,,,
LM_0393,2,,,,,,,,,,,,
LM_0394,2,,,,,,,,,,,,
LM_0395,2,,,,,,,,,,,,
LM_0396,2,,,,,,,,,,,,
LM_0397,2,,,,,,,,,,,,
LM_0398,2,,,,,,,,,,,,
LM_0399,2,,,,,,,,,,,,
LM_0368,3,,,,,,,,,,,,
LM_0369,3,,,,,,,,,,,,
LM_0370,3,,,,,,,,,,,,
LM_0371,3,,,,,,,,,,,,
LM_0372,3,,,,,,,,,,,,
LM_0373,3,,,,,,,,,,,,
LM_0374,3,,,,,,,,,,,,
LM_0375,3,,,,,,,,,,,,
LM_0376,3,,,,,,,,,,,,
LM_0377,3,,,,,,,,,,,,
LM_0378,3,,,,,,,,,,,,
LM_0379,3,,,,,,,,,,,,
LM_0380,3,,,,,,,,,,,,
LM_0381,3,,,,,,,,,,,,
LM_0382,3,,,,,,,,,,,,
LM_0383,3,,,,,,,,,,,,
LM_0384,3,,,,,,,,,,,,
LM_0385,3,,,,,,,,,,,,
LM_0386,3,,,,,,,,,,,,
LM_0387,3,,,,,,,,,,,,
LM_0388,3,,,,,,,,,,,,
LM_0389,3,,,,,,,,,,,,
LM_0390,3,,,,,,,,,,,,
LM_0391,3,,,,,,,,,,,,
LM_0392,3,,,,,,,,,,,,
LM_0393,3,,,,,,,,,,,,
LM_0394,3,,,,,,,,,,,,
LM_0395,3,,,,,,,,,,,,
LM_0396,3,,,,,,,,,,,,
LM_0397,3,,,,,,,,,,,,
LM_0398,3,,,,,,,,,,,,
