;True;Target;Sample;Normalized Expression
;True;CXCL9;MouseCaecum1;0,126533166830631
;True;CXCL9;MouseCaecum2;0,000975923149053962
;True;CXCL9;MouseCaecum3;0,378027610902997
;True;CXCL9;MouseCaecum4;0,218568124252931
;True;IFN-g;MouseCaecum1;0,169333085655554
;True;IFN-g;MouseCaecum2;0,00118916000737529
;True;IFN-g;MouseCaecum3;0,0528081693436387
;True;IFN-g;MouseCaecum4;0,0780971878498132
;True;IL-10;MouseCaecum1;0,00178675235187869
;True;IL-10;MouseCaecum2;0,000666028050034634
;True;IL-10;MouseCaecum3;0,00110137405608745
;True;IL-10;MouseCaecum4;0,00276036127358022
;True;IL-12;MouseCaecum1;0,000688492916418321
;True;IL-12;MouseCaecum2;0,000407293764870944
;True;IL-12;MouseCaecum3;0,00160930525991547
;True;IL-12;MouseCaecum4;0,00272100936011204
;True;IL-6;MouseCaecum1;0,0117765495703577
;True;IL-6;MouseCaecum2;0,00397790575581214
;True;IL-6;MouseCaecum3;0,0167947846033645
;True;IL-6;MouseCaecum4;0,0256064042640533
;True;STAT6;MouseCaecum1;0,0180654396209732
;True;STAT6;MouseCaecum2;0,0356500694825511
;True;STAT6;MouseCaecum3;0,0296617452064242
;True;STAT6;MouseCaecum4;0,0355062031233753
;True;TGF-b;MouseCaecum1;0,0262108597080055
;True;TGF-b;MouseCaecum2;0,0254840139910099
;True;TGF-b;MouseCaecum3;0,0410563296416971
;True;TGF-b;MouseCaecum4;0,0374319540052515
