"EH_id","dpi","mouse_id","name","ear","sex","born","age","age_weeks","strain","line","room.rack","cage","comment","Inf_strain","num.inf","Infection_date","weight","rel.weight","oocysts.per.g"
"LM0096","0",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",17.45,98.3652762119504,0
"LM0096","1",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",17.74,100,0
"LM0096","2",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",17.3,97.5197294250282,0
"LM0096","3",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",17.28,97.4069898534386,0
"LM0096","4",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",16.7,94.1375422773393,0
"LM0096","5",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",17.25,97.2378804960541,0
"LM0096","6",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",16.5,93.0101465614431,0
"LM0096","7",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",16.49,92.9537767756483,34965.034965035
"LM0096","8",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",14.52,81.8489289740699,1114583.33333333
"LM0096","9",50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9,"11_May_17",13.49,76.0428410372041,125000
"LM0097","0",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",NA,NA,0
"LM0097","1",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",17.61,100,0
"LM0097","10",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",17.46,99.1482112436116,0
"LM0097","11",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",17.45,99.091425326519,0
"LM0097","2",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",16.94,96.1953435547984,0
"LM0097","3",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",17.17,97.5014196479273,0
"LM0097","4",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",17.37,98.6371379897786,0
"LM0097","5",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",17.05,96.8199886428166,1189166.66666667
"LM0097","6",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",16.34,92.7881885292447,846878.98089172
"LM0097","7",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",16.32,92.6746166950596,918367.346938776
"LM0097","8",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",17.5,99.3753549119818,216535.433070866
"LM0097","9",50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5,"8_May_17",16.85,95.6842703009654,28409.0909090909
"LM0098","0",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",18.62,104.548006737788,0
"LM0098","1",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",17.81,100,0
"LM0098","10",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",14.32,80.4042672655811,804687.5
"LM0098","2",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",18.42,103.425042111174,0
"LM0098","3",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",18.19,102.133632790567,0
"LM0098","4",50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16,"11_May_17",17.45,97.9786636720943,0
