"","EH_id","dpi","oocysts.per.g","Inf_strain","strain"
"1","LM0096",6,0,"Eflab","PWD"
"2","LM0096",5,0,"Eflab","PWD"
"3","LM0096",7,34965.034965035,"Eflab","PWD"
"4","LM0096",0,0,"Eflab","PWD"
"5","LM0096",1,0,"Eflab","PWD"
"6","LM0096",4,0,"Eflab","PWD"
"7","LM0096",2,0,"Eflab","PWD"
"8","LM0096",8,1114583.33333333,"Eflab","PWD"
"9","LM0096",9,125000,"Eflab","PWD"
"10","LM0096",3,0,"Eflab","PWD"
"11","LM0097",11,0,"EI64","PWD"
"12","LM0097",7,918367.346938776,"EI64","PWD"
"13","LM0097",10,0,"EI64","PWD"
"14","LM0097",2,0,"EI64","PWD"
"15","LM0097",9,28409.0909090909,"EI64","PWD"
"16","LM0097",4,0,"EI64","PWD"
"17","LM0097",8,216535.433070866,"EI64","PWD"
"18","LM0097",3,0,"EI64","PWD"
"19","LM0097",0,0,"EI64","PWD"
"20","LM0097",1,0,"EI64","PWD"
"21","LM0097",6,846878.98089172,"EI64","PWD"
"22","LM0097",5,1189166.66666667,"EI64","PWD"
"23","LM0098",4,0,"Eflab","PWD"
"24","LM0098",6,0,"Eflab","PWD"
"25","LM0098",2,0,"Eflab","PWD"
"26","LM0098",8,1875000,"Eflab","PWD"
"27","LM0098",7,28571.4285714286,"Eflab","PWD"
"28","LM0098",9,1215909.09090909,"Eflab","PWD"
"29","LM0098",0,0,"Eflab","PWD"
"30","LM0098",3,0,"Eflab","PWD"
"31","LM0098",5,0,"Eflab","PWD"
"32","LM0098",1,0,"Eflab","PWD"
"33","LM0098",10,804687.5,"Eflab","PWD"
"34","LM0099",9,8536.58536585366,"EI64","WP"
"35","LM0099",3,0,"EI64","WP"
"36","LM0099",7,385365.853658537,"EI64","WP"
"37","LM0099",0,0,"EI64","WP"
"38","LM0099",1,0,"EI64","WP"
"39","LM0099",6,2002777.77777778,"EI64","WP"
"40","LM0099",10,0,"EI64","WP"
"41","LM0099",11,0,"EI64","WP"
"42","LM0099",2,0,"EI64","WP"
"43","LM0099",5,1770833.33333333,"EI64","WP"
"44","LM0099",4,0,"EI64","WP"
"45","LM0099",8,43774.3190661479,"EI64","WP"
"46","LM0100",3,0,"EI64","WSB"
"47","LM0100",6,3045833.33333333,"EI64","WSB"
"48","LM0100",5,94339.6226415094,"EI64","WSB"
"49","LM0100",1,0,"EI64","WSB"
"50","LM0100",2,0,"EI64","WSB"
"51","LM0100",0,0,"EI64","WSB"
"52","LM0100",4,0,"EI64","WSB"
"53","LM0101",1,0,"EI64","WP"
"54","LM0101",2,0,"EI64","WP"
"55","LM0101",4,0,"EI64","WP"
"56","LM0101",8,14705.8823529412,"EI64","WP"
"57","LM0101",11,0,"EI64","WP"
"58","LM0101",3,0,"EI64","WP"
"59","LM0101",0,0,"EI64","WP"
"60","LM0101",5,171323.076923077,"EI64","WP"
"61","LM0101",10,0,"EI64","WP"
"62","LM0101",7,70322.5806451613,"EI64","WP"
"63","LM0101",9,0,"EI64","WP"
"64","LM0101",6,703366.336633664,"EI64","WP"
"65","LM0102",5,226851.851851852,"EI64","WP"
"66","LM0102",11,0,"EI64","WP"
"67","LM0102",3,0,"EI64","WP"
"68","LM0102",0,0,"EI64","WP"
"69","LM0102",10,10964.9122807018,"EI64","WP"
"70","LM0102",1,0,"EI64","WP"
"71","LM0102",4,0,"EI64","WP"
"72","LM0102",2,0,"EI64","WP"
"73","LM0102",7,920655.737704918,"EI64","WP"
"74","LM0102",9,13888.8888888889,"EI64","WP"
"75","LM0102",8,168831.168831169,"EI64","WP"
"76","LM0102",6,1037983.19327731,"EI64","WP"
"77","LM0103",6,0,"Eflab","PWD"
"78","LM0103",1,0,"Eflab","PWD"
"79","LM0103",5,0,"Eflab","PWD"
"80","LM0103",3,0,"Eflab","PWD"
"81","LM0103",0,0,"Eflab","PWD"
"82","LM0103",8,937500,"Eflab","PWD"
