"","LM_id","dpi","Infection_date","weight","rel.weight","mouse_id","name","ear","sex","born","age","age_weeks","strain","line","room.rack","cage","comment","Inf_strain","num.inf"
"1","LM0096","dpi0","11_May_17",17.45,98.3652762119504,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"2","LM0096","dpi1","11_May_17",17.74,100,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"3","LM0096","dpi10","11_May_17",NA,NA,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"4","LM0096","dpi11","11_May_17",NA,NA,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"5","LM0096","dpi2","11_May_17",17.3,97.5197294250282,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"6","LM0096","dpi3","11_May_17",17.28,97.4069898534386,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"7","LM0096","dpi4","11_May_17",16.7,94.1375422773393,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"8","LM0096","dpi5","11_May_17",17.25,97.2378804960541,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"9","LM0096","dpi6","11_May_17",16.5,93.0101465614431,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"10","LM0096","dpi7","11_May_17",16.49,92.9537767756483,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"11","LM0096","dpi8","11_May_17",14.52,81.8489289740699,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"12","LM0096","dpi9","11_May_17",13.49,76.0428410372041,50035522,"PWD158.1.D.2F",0,"f","16.04.2016",353,50,"PWD","PWD","WM1.12/5.1",2164,"","Eflab",9
"13","LM0097","dpi0","8_May_17",NA,NA,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"14","LM0097","dpi1","8_May_17",17.61,100,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"15","LM0097","dpi10","8_May_17",17.46,99.1482112436116,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"16","LM0097","dpi11","8_May_17",17.45,99.091425326519,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"17","LM0097","dpi2","8_May_17",16.94,96.1953435547984,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"18","LM0097","dpi3","8_May_17",17.17,97.5014196479273,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"19","LM0097","dpi4","8_May_17",17.37,98.6371379897786,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"20","LM0097","dpi5","8_May_17",17.05,96.8199886428166,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"21","LM0097","dpi6","8_May_17",16.34,92.7881885292447,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"22","LM0097","dpi7","8_May_17",16.32,92.6746166950596,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"23","LM0097","dpi8","8_May_17",17.5,99.3753549119818,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"24","LM0097","dpi9","8_May_17",16.85,95.6842703009654,50032958,"PWD157.1.A.3M",0,"m","11.02.2016",418,60,"PWD","PWD","WM1.12/8.5",24,"(in mating 6837)","EI64",5
"25","LM0098","dpi0","11_May_17",18.62,104.548006737788,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
"26","LM0098","dpi1","11_May_17",17.81,100,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
"27","LM0098","dpi10","11_May_17",14.32,80.4042672655811,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
"28","LM0098","dpi11","11_May_17",NA,NA,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
"29","LM0098","dpi2","11_May_17",18.42,103.425042111174,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
"30","LM0098","dpi3","11_May_17",18.19,102.133632790567,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
"31","LM0098","dpi4","11_May_17",17.45,97.9786636720943,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
"32","LM0098","dpi5","11_May_17",18.27,102.582818641213,50035518,"PWD158.1.D.1M",0,"m","16.04.2016",353,50,"PWD","PWD","WM1.12/8.5",31,"(in mating 6838)","Eflab",16
