"","EH_id","dpi","oocysts.per.g","Inf_strain","strain","label"
"16","LM0097",4,0,"EI64","PWD","AS"
"18","LM0097",3,0,"EI64","PWD","IM"
"35","LM0099",3,0,"EI64","WP","BF"
"44","LM0099",4,0,"EI64","WP","VY"
"46","LM0100",3,0,"EI64","WSB","UX"
"52","LM0100",4,0,"EI64","WSB","JK"
"55","LM0101",4,0,"EI64","WP","EG"
"58","LM0101",3,0,"EI64","WP","NZ"
"67","LM0102",3,0,"EI64","WP","NU"
"71","LM0102",4,0,"EI64","WP","BS"
"87","LM0105",4,80000,"EI64","PWD","KS"
"94","LM0105",3,0,"EI64","PWD","EX"
"114","LM0107",3,0,"EI64","WSB","MT"
"117","LM0107",4,5813.95348837209,"EI64","WSB","ET"
"130","LM0109",4,165031.44654088,"EI64","PWD","CE"
"133","LM0109",3,0,"EI64","PWD","CN"
"162","LM0112",4,82580.6451612903,"EI64","PWD","IJ"
"169","LM0112",3,0,"EI64","PWD","GK"
"179","LM0113",4,641.025641025641,"EI64","WSB","AG"
"181","LM0113",3,0,"EI64","WSB","IL"
"199","LM0115",3,0,"EI64","PWD","AX"
"205","LM0115",4,66950.3546099291,"EI64","PWD","WY"
"223","LM0117",3,0,"EI64","WP","EP"
"227","LM0117",4,0,"EI64","WP","MO"
"229","LM0118",4,1344.08602150538,"EI64","PWD","AD"
"238","LM0118",3,0,"EI64","PWD","LP"
"242","LM0119",3,0,"EI64","WP","VX"
"251","LM0119",4,5642.45810055866,"EI64","WP","AI"
"1","LM0096",6,0,"Eflab","PWD","VZ"
"3","LM0096",7,34965.034965035,"Eflab","PWD","PQ"
"24","LM0098",6,0,"Eflab","PWD","AF"
"27","LM0098",7,28571.4285714286,"Eflab","PWD","GM"
"77","LM0103",6,0,"Eflab","PWD","NO"
"85","LM0103",7,1445.08670520231,"Eflab","PWD","HV"
"103","LM0106",6,0,"Eflab","PWD","DK"
"106","LM0106",7,31250,"Eflab","PWD","BR"
"118","LM0108",6,0,"Eflab","WP","HW"
"120","LM0108",7,438.59649122807,"Eflab","WP","HL"
"143","LM0110",6,0,"Eflab","WP","FQ"
"149","LM0110",7,1893.93939393939,"Eflab","WP","EK"
"152","LM0111",7,0,"Eflab","WP","BP"
"153","LM0111",6,0,"Eflab","WP","FY"
"190","LM0114",7,498.00796812749,"Eflab","WSB","FU"
"194","LM0114",6,0,"Eflab","WSB","WX"
"207","LM0116",6,0,"Eflab","PWD","KV"
"210","LM0116",7,0,"Eflab","PWD","GV"
"258","LM0120",7,3597.12230215827,"Eflab","WP","FT"
"262","LM0120",6,0,"Eflab","WP","IZ"
"265","LM0121",7,19480.5194805195,"Eflab","WP","IX"
"266","LM0121",6,0,"Eflab","WP","FK"
