"","Mouse_ID","Target","RT.Ct",".drop","HI","EXP"
"1","AA_0524","beta-Actin",26.59,FALSE,0.8,"HZ18"
"2","AA_0525","beta-Actin",23.1066666666667,FALSE,0.578947368,"HZ18"
"3","AA_0526","beta-Actin",21.98,FALSE,0.789473684,"HZ18"
"4","AA_0527","beta-Actin",26.2233333333333,FALSE,0.8,"HZ18"
"5","AA_0528","beta-Actin",23.35,FALSE,0,"HZ18"
"6","AA_0529","beta-Actin",22.9433333333333,FALSE,0.05,"HZ18"
"7","AA_0530","beta-Actin",16.8933333333333,FALSE,0.4,"HZ18"
"8","AA_0531","beta-Actin",21.96,FALSE,0,"HZ18"
"9","AA_0532","beta-Actin",22.6866666666667,FALSE,0.1,"HZ18"
"10","AA_0533","beta-Actin",24.6266666666667,FALSE,0,"HZ18"
"11","AA_0534","beta-Actin",24.1566666666667,FALSE,0.1,"HZ18"
"12","AA_0535","beta-Actin",22.7166666666667,FALSE,0.15,"HZ18"
"13","AA_0536","beta-Actin",22.1,FALSE,0.1,"HZ18"
"14","AA_0537","beta-Actin",25.0233333333333,FALSE,0.05,"HZ18"
"15","AA_0538","beta-Actin",25.1733333333333,FALSE,0,"HZ18"
"16","AA_0539","beta-Actin",24.3366666666667,FALSE,0.111111111,"HZ18"
"17","AA_0540","beta-Actin",22.9033333333333,FALSE,0,"HZ18"
"18","AA_0542","beta-Actin",25.48,FALSE,0.882352941,"HZ18"
"19","AA_0543","beta-Actin",23.3966666666667,FALSE,0,"HZ18"
"20","AA_0544","beta-Actin",24.9233333333333,FALSE,0.894736842,"HZ18"
"21","AA_0546","beta-Actin",22.7033333333333,FALSE,0.1,"HZ18"
"22","AA_0547","beta-Actin",21.3166666666667,FALSE,0.043478261,"HZ18"
"23","AA_0548","beta-Actin",22.7833333333333,FALSE,0.086956522,"HZ18"
"24","AA_0549","beta-Actin",22.28,FALSE,0.04,"HZ18"
"25","AA_0550","beta-Actin",22.1866666666667,FALSE,0.05,"HZ18"
"26","AA_0551","beta-Actin",25.27,FALSE,0,"HZ18"
"27","AA_0552","beta-Actin",22.9333333333333,FALSE,0,"HZ18"
"28","AA_0553","beta-Actin",25.0266666666667,FALSE,0.894736842,"HZ18"
"29","AA_0554","beta-Actin",24.4833333333333,FALSE,0.88,"HZ18"
"30","AA_0555","beta-Actin",24.23,FALSE,0.88,"HZ18"
"31","AA_0556","beta-Actin",20.54,FALSE,0.65,"HZ18"
"32","AA_0559","beta-Actin",23.5633333333333,FALSE,0.857142857,"HZ18"
"33","AA_0561","beta-Actin",25.0033333333333,FALSE,0.869565217,"HZ18"
"34","AA_0569","beta-Actin",21.57,FALSE,0,"HZ18"
"35","AA_0572","beta-Actin",21.4733333333333,FALSE,0.04,"HZ18"
"36","AA_0579","beta-Actin",31.3433333333333,FALSE,0.95,"HZ18"
"37","AA_0591","beta-Actin",28.0133333333333,FALSE,0.611111111,"HZ18"
"38","AA_0620","beta-Actin",22.4833333333333,FALSE,0.16,"HZ18"
"39","AA_0623","beta-Actin",19.93,FALSE,0,"HZ18"
"40","AA_0631","beta-Actin",21.3233333333333,FALSE,0.777777778,"HZ18"
"41","AA_0635","beta-Actin",21.2333333333333,FALSE,0.736842105,"HZ18"
"42","AA_0636","beta-Actin",21.66,FALSE,0.8,"HZ18"
"43","AA_0643","beta-Actin",25.9533333333333,FALSE,0.84,"HZ18"
"44","AA_0646","beta-Actin",22.2666666666667,FALSE,0.842105263,"HZ18"
"45","AA_0650","beta-Actin",25.9766666666667,FALSE,0.8,"HZ18"
"46","AA_0661","beta-Actin",19.6766666666667,FALSE,0.88,"HZ18"
"47","AA_0662","beta-Actin",21.64,FALSE,0.95,"HZ18"
"48","AA_0666","beta-Actin",24.4166666666667,FALSE,0.84,"HZ18"
"49","AA_0524","GAPDH",22.5333333333333,FALSE,0.8,"HZ18"
"50","AA_0525","GAPDH",21.6666666666667,FALSE,0.578947368,"HZ18"
"51","AA_0526","GAPDH",19.1033333333333,FALSE,0.789473684,"HZ18"
"52","AA_0527","GAPDH",21.9133333333333,FALSE,0.8,"HZ18"
"53","AA_0528","GAPDH",19.37,FALSE,0,"HZ18"
"54","AA_0529","GAPDH",18.5966666666667,FALSE,0.05,"HZ18"
"55","AA_0530","GAPDH",16.9733333333333,FALSE,0.4,"HZ18"
"56","AA_0531","GAPDH",18.8433333333333,FALSE,0,"HZ18"
"57","AA_0532","GAPDH",18.2166666666667,FALSE,0.1,"HZ18"
"58","AA_0533","GAPDH",22.0666666666667,FALSE,0,"HZ18"
"59","AA_0534","GAPDH",20.89,FALSE,0.1,"HZ18"
"60","AA_0535","GAPDH",20.06,FALSE,0.15,"HZ18"
"61","AA_0536","GAPDH",17.9766666666667,FALSE,0.1,"HZ18"
"62","AA_0537","GAPDH",20.84,FALSE,0.05,"HZ18"
"63","AA_0538","GAPDH",22.2833333333333,FALSE,0,"HZ18"
"64","AA_0539","GAPDH",20.5266666666667,FALSE,0.111111111,"HZ18"
"65","AA_0540","GAPDH",19.57,FALSE,0,"HZ18"
"66","AA_0542","GAPDH",24.58,FALSE,0.882352941,"HZ18"
"67","AA_0543","GAPDH",19.7933333333333,FALSE,0,"HZ18"
"68","AA_0544","GAPDH",21.3533333333333,FALSE,0.894736842,"HZ18"
"69","AA_0546","GAPDH",19.0033333333333,FALSE,0.1,"HZ18"
"70","AA_0547","GAPDH",19.35,FALSE,0.043478261,"HZ18"
"71","AA_0548","GAPDH",20.99,FALSE,0.086956522,"HZ18"
"72","AA_0549","GAPDH",18.3566666666667,FALSE,0.04,"HZ18"
"73","AA_0550","GAPDH",18.21,FALSE,0.05,"HZ18"
"74","AA_0551","GAPDH",21.4233333333333,FALSE,0,"HZ18"
"75","AA_0552","GAPDH",19.1466666666667,FALSE,0,"HZ18"
"76","AA_0553","GAPDH",21.4133333333333,FALSE,0.894736842,"HZ18"
"77","AA_0554","GAPDH",21.87,FALSE,0.88,"HZ18"
"78","AA_0555","GAPDH",22.43,FALSE,0.88,"HZ18"
"79","AA_0556","GAPDH",19.7733333333333,FALSE,0.65,"HZ18"
"80","AA_0559","GAPDH",19.5166666666667,FALSE,0.857142857,"HZ18"
"81","AA_0561","GAPDH",27.45,FALSE,0.869565217,"HZ18"
"82","AA_0569","GAPDH",23.0933333333333,FALSE,0,"HZ18"
"83","AA_0572","GAPDH",20.47,FALSE,0.04,"HZ18"
"84","AA_0579","GAPDH",30.5166666666667,FALSE,0.95,"HZ18"
"85","AA_0591","GAPDH",29,FALSE,0.611111111,"HZ18"
"86","AA_0620","GAPDH",20.43,FALSE,0.16,"HZ18"
"87","AA_0623","GAPDH",19.2633333333333,FALSE,0,"HZ18"
"88","AA_0631","GAPDH",21.0133333333333,FALSE,0.777777778,"HZ18"
"89","AA_0635","GAPDH",21.3066666666667,FALSE,0.736842105,"HZ18"
"90","AA_0636","GAPDH",21.77,FALSE,0.8,"HZ18"
"91","AA_0643","GAPDH",23.02,FALSE,0.84,"HZ18"
"92","AA_0646","GAPDH",22.5366666666667,FALSE,0.842105263,"HZ18"
"93","AA_0650","GAPDH",23.35,FALSE,0.8,"HZ18"
"94","AA_0661","GAPDH",19.6933333333333,FALSE,0.88,"HZ18"
"95","AA_0662","GAPDH",20.8733333333333,FALSE,0.95,"HZ18"
"96","AA_0666","GAPDH",22.0633333333333,FALSE,0.84,"HZ18"
