Exp_ID,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
Exp_003,GY,NA,NA,NA,NA,NA,NA,NA
Exp_003,GK,NA,NA,NA,NA,NA,NA,NA
Exp_003,LU,NA,NA,NA,NA,NA,NA,NA
Exp_003,AS,NA,NA,NA,NA,NA,NA,NA
Exp_003,TV,NA,NA,NA,NA,NA,NA,NA
Exp_003,LO,NA,NA,NA,NA,NA,NA,NA
Exp_003,HY,NA,NA,NA,NA,NA,NA,NA
Exp_003,RW,NA,NA,NA,NA,NA,NA,NA
Exp_003,EI,NA,NA,NA,NA,NA,NA,NA
Exp_003,SX,NA,NA,NA,NA,NA,NA,NA
Exp_003,VX,NA,NA,NA,NA,NA,NA,NA
Exp_003,OT,NA,NA,NA,NA,NA,NA,NA
Exp_003,UZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,IU,NA,NA,NA,NA,NA,NA,NA
Exp_003,SZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,EL,NA,NA,NA,NA,NA,NA,NA
Exp_003,HW,NA,NA,NA,NA,NA,NA,NA
Exp_003,NW,NA,NA,NA,NA,NA,NA,NA
Exp_003,JW,NA,NA,NA,NA,NA,NA,NA
Exp_003,IX,NA,NA,NA,NA,NA,NA,NA
Exp_003,JK,NA,NA,NA,NA,NA,NA,NA
Exp_003,AM,NA,NA,NA,NA,NA,NA,NA
Exp_003,CH,NA,NA,NA,NA,NA,NA,NA
Exp_003,IL,NA,NA,NA,NA,NA,NA,NA
Exp_003,BW,NA,NA,NA,NA,NA,NA,NA
Exp_003,DK,NA,NA,NA,NA,NA,NA,NA
Exp_003,FP,NA,NA,NA,NA,NA,NA,NA
Exp_003,JP,NA,NA,NA,NA,NA,NA,NA
Exp_003,DJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,QT,NA,NA,NA,NA,NA,NA,NA
Exp_003,RZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,BC,NA,NA,NA,NA,NA,NA,NA
Exp_003,DH,NA,NA,NA,NA,NA,NA,NA
Exp_003,KR,NA,NA,NA,NA,NA,NA,NA
Exp_003,EZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,UX,NA,NA,NA,NA,NA,NA,NA
Exp_003,BD,NA,NA,NA,NA,NA,NA,NA
Exp_003,HT,NA,NA,NA,NA,NA,NA,NA
Exp_003,LT,NA,NA,NA,NA,NA,NA,NA
Exp_003,GQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,FJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,JR,NA,NA,NA,NA,NA,NA,NA
Exp_003,IO,NA,NA,NA,NA,NA,NA,NA
Exp_003,KZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,PV,NA,NA,NA,NA,NA,NA,NA
Exp_003,ST,NA,NA,NA,NA,NA,NA,NA
Exp_003,JV,NA,NA,NA,NA,NA,NA,NA
Exp_003,ER,NA,NA,NA,NA,NA,NA,NA
Exp_003,CE,NA,NA,NA,NA,NA,NA,NA
Exp_003,SW,NA,NA,NA,NA,NA,NA,NA
Exp_003,BF,NA,NA,NA,NA,NA,NA,NA
Exp_003,QZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,HK,NA,NA,NA,NA,NA,NA,NA
Exp_003,OU,NA,NA,NA,NA,NA,NA,NA
Exp_003,AY,NA,NA,NA,NA,NA,NA,NA
Exp_003,TZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,NT,NA,NA,NA,NA,NA,NA,NA
Exp_003,DZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,TW,NA,NA,NA,NA,NA,NA,NA
Exp_003,LX,NA,NA,NA,NA,NA,NA,NA
Exp_003,TU,NA,NA,NA,NA,NA,NA,NA
Exp_003,BJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,AK,NA,NA,NA,NA,NA,NA,NA
Exp_003,AR,NA,NA,NA,NA,NA,NA,NA
Exp_003,TY,NA,NA,NA,NA,NA,NA,NA
Exp_003,PY,NA,NA,NA,NA,NA,NA,NA
Exp_003,QR,NA,NA,NA,NA,NA,NA,NA
Exp_003,BO,NA,NA,NA,NA,NA,NA,NA
Exp_003,GL,NA,NA,NA,NA,NA,NA,NA
Exp_003,BI,NA,NA,NA,NA,NA,NA,NA
Exp_003,HI,NA,NA,NA,NA,NA,NA,NA
Exp_003,QY,NA,NA,NA,NA,NA,NA,NA
Exp_003,WZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,FZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,DS,NA,NA,NA,NA,NA,NA,NA
Exp_003,LR,NA,NA,NA,NA,NA,NA,NA
Exp_003,HO,NA,NA,NA,NA,NA,NA,NA
Exp_003,AF,NA,NA,NA,NA,NA,NA,NA
