"","labels","EH_ID","infHistory","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","IFNy_FEC","IFNy_CEWE","delta","CXCR3","IL.12","IRG6","Caecum","Eim_MC"
"1","E7aABG","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",1,18.38,19.06,96.43,1.63,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"2","E7aABO","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",6,26.18,27.13,96.5,2.61,0,0,0,0,0,0,NA,1,0,4.72077067076603,NA,NA,NA,NA,NA,NA,NA
"3","E7aACO","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",3,23.33,24.25,96.21,1.8,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"4","E7aACZ","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",2,21.09,20.45,103.13,1.56,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"5","E7aADG","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",3,27.45,26.25,104.57,2.11,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"6","E7aADL","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",8,17.81,17.88,99.61,1.01,0,0,0,0,0,0,NA,1,0,15.6812526580593,12.6543617317481,-10.02,-7.4725,-4.9125,-1.0475,"neg","neg"
"7","E7aADV","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",5,23.42,23.16,101.12,1.34,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","E7aAEJ","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",5,32.15,32.76,98.14,2.29,82,91,98,102,93.25,407205.240174673,NA,1,932500,NA,NA,NA,NA,NA,NA,NA,NA
"9","E7aAEQ","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",4,19.42,19.74,98.38,1.24,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"10","E7aAFN","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",1,23.14,23.46,98.64,0.92,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"11","E7aAFV","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",2,29.25,28.89,101.25,1.14,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"12","E7aAFY","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",0,23.46,23.46,100,0.67,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"13","E7aAGI","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",4,22.8,24.25,94.02,4.02,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"14","E7aAGN","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",0,26.25,26.25,100,1.21,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"15","E7aAGP","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",2,27.32,26.37,103.6,1.21,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"16","E7aAGS","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",1,29.26,29.15,100.38,1.74,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"17","E7aAGX","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",6,32.61,32.76,99.54,1.35,90,111,114,108,105.75,783333.333333333,NA,1,1057500,76.3038260324638,NA,NA,NA,NA,NA,NA,NA
"18","E7aAHU","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",7,33.04,32.76,100.85,1.71,64,68,72,67,67.75,396198.830409357,NA,1,677500,6.31105921837141,NA,NA,NA,NA,NA,NA,NA
"19","E7aAIO","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",3,18.85,19.06,98.9,2.07,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"20","E7aAIR","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",1,18.44,18.26,100.99,1.41,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"21","E7aAJT","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",1,18.3,17.88,102.35,0.82,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"22","E7aALR","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",0,28.89,28.89,100,1.64,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"23","E7aALV","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",2,23.75,23.86,99.54,1.09,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"24","E7aAMS","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",4,23.05,23.16,99.53,2.01,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"25","E7aAMX","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",5,22.23,23.46,94.76,2.06,64,58,60,62,61,296116.504854369,NA,1,610000,NA,NA,NA,NA,NA,NA,NA,NA
"26","E7aANS","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",2,22.57,20.69,109.09,1.4,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"27","E7aANV","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",6,23.77,26.1,91.07,1.3,27,39,39,43,37,284615.384615385,NA,1,370000,NA,NA,NA,NA,NA,NA,NA,NA
"28","E7aAOX","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",5,30.71,29.15,105.35,2.27,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"29","E7aAPS","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",8,20.58,23.46,87.72,2.5,0,2,0,2,1,4000,NA,1,10000,4.43651968737429,31.9834136276131,-6.92,NA,NA,NA,"pos","pos"
"30","E7aAQW","LM_0248","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",4,21.73,23.46,92.63,2.33,1,2,0,2,1.25,5364.80686695279,NA,1,12500,NA,NA,NA,NA,NA,NA,NA,NA
"31","E7aAQY","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",7,19.43,19.58,99.23,1.16,12,28,23,20,20.75,178879.310344828,NA,1,207500,8.68133585129729,NA,NA,NA,NA,NA,NA,NA
"32","E7aASZ","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",0,26.1,26.1,100,0.74,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"33","E7aAUZ","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",7,23.24,23.86,97.4,1.68,21,32,19,26,24.5,145833.333333333,NA,1,245000,8.75517711765294,NA,NA,NA,NA,NA,NA,NA
"34","E7aAVW","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",7,22.16,20.45,108.36,1.04,7,3,11,6,6.75,64903.8461538461,NA,1,67500,7.77838821324282,NA,NA,NA,NA,NA,NA,NA
"35","E7aAWZ","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",3,19.66,20.84,94.34,1.27,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"36","E7aAYZ","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",7,19.2,20.84,92.13,1.58,0,0,0,0,0,0,NA,1,0,2.08448327372888,NA,NA,NA,NA,NA,NA,NA
"37","E7aBCD","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",8,21.04,22.32,94.27,3.97,0,0,0,0,0,0,NA,1,0,6.3485357460407,23.1158022243411,-8.48,NA,NA,NA,"neg","neg"
"38","E7aBCE","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",4,21.45,20.69,103.67,2.39,2,3,3,6,3.5,14644.3514644351,NA,1,35000,NA,NA,NA,NA,NA,NA,NA,NA
"39","E7aBCP","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",0,22.32,22.32,100,3.26,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"40","E7aBDI","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",1,20.89,20.45,102.15,2.3,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"41","E7aBEF","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",1,22.37,22.75,98.33,1.53,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"42","E7aBEV","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",6,18.08,17.88,101.12,0.95,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"43","E7aBEW","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",2,23.76,24.25,97.98,2.44,1,0,0,0,0.25,1024.59016393443,NA,1,2500,NA,NA,NA,NA,NA,NA,NA,NA
"44","E7aBFJ","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",4,26.65,26.37,101.06,1.92,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"45","E7aBGY","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",8,23.5,21.23,110.69,1.13,13,6,11,6,9,79646.0176991151,NA,1,90000,4.99875306588759,84.9852124920339,-5.91,-8.9125,-6.9325,-4.3925,"pos","pos"
"46","E7aBHI","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",4,26.94,26.25,102.63,2.32,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"47","E7aBIO","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",2,18.88,19.06,99.06,1.23,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"48","E7aBJR","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",4,24.01,21.23,113.09,1.96,0,0,0,2,0.5,2551.02040816327,NA,1,5000,NA,NA,NA,NA,NA,NA,NA,NA
"49","E7aBKM","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",3,26.04,27.13,95.98,2.77,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"50","E7aBLW","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",8,32.64,32.76,99.63,1.63,4,10,7,6,6.75,41411.0429447853,NA,1,67500,5.98219397547729,112.055644071278,-7.89,NA,NA,NA,"pos","pos"
"51","E7aBMW","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",3,22,20.69,106.33,2.09,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"52","E7aBMX","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",7,30.58,29.15,104.91,1.59,0,0,0,0,0,0,NA,1,0,7.36674062568875,NA,NA,NA,NA,NA,NA,NA
"53","E7aBOY","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",0,20.69,20.69,100,2.11,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"54","E7aBQR","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",2,22.48,22.32,100.72,2.33,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"55","E7aBQY","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",7,18.4,17.88,102.91,1.08,0,0,0,0,0,0,NA,1,0,6.22517272521993,NA,NA,NA,NA,NA,NA,NA
"56","E7aBSU","LM_0256","E88:E88","STRA_STRA","parental strains","E88","E88",2,29.91,29.15,102.61,1.12,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"57","E7aBVZ","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",0,27.13,27.13,100,3.22,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"58","E7aBWZ","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",5,17.24,18.26,94.41,0.68,24,39,37,23,30.75,452205.882352941,NA,1,307500,NA,NA,NA,NA,NA,NA,NA,NA
"59","E7aCEK","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",8,20.43,20.69,98.74,2.81,13,15,16,16,15,53380.7829181495,NA,1,150000,0.887669072138454,37.5056012557841,-5.16,-9.3825,-6.8575,-4.3125,"pos","pos"
"60","E7aCEO","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",6,19.5,19.58,99.59,0.95,5,3,6,6,5,52631.5789473684,NA,1,50000,29.159559843424,NA,NA,NA,NA,NA,NA,NA
"61","E7aCET","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",4,33.03,32.76,100.82,2.3,0,1,0,0,0.25,1086.95652173913,NA,1,2500,NA,NA,NA,NA,NA,NA,NA,NA
"62","E7aCFZ","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",4,19.01,20.09,94.62,2.52,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"63","E7aCGS","LM_0258","E64:E64","BUSNA_PWD","outbred hybrids","E64","E64",2,19.47,19.74,98.63,1.3,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"64","E7aCGT","LM_0247","E88:E88","STRA_SCHUNT","outbred hybrids","E88","E88",5,26.78,27.13,98.71,2.86,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"65","E7aCHI","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",3,22.35,22.32,100.13,2.15,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"66","E7aCHX","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",4,17.69,18.26,96.88,1.74,0,0,1,2,0.75,4310.34482758621,NA,1,7500,NA,NA,NA,NA,NA,NA,NA,NA
"67","E7aCIK","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",1,21.41,20.69,103.48,1.13,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"68","E7aCIW","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",8,20.45,20.45,100,1.39,0,0,0,1,0.25,1798.56115107914,NA,1,2500,5.61738807203253,43.3808823861458,-6.65,-8.47,-5.66,-2.455,"pos","pos"
"69","E7aCJP","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",0,22.75,22.75,100,2.32,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"70","E7aCKO","LM_0271","E64:E88","STRA_BUSNA","inter subsp. hybrids","E64","E88",0,24.25,24.25,100,1.39,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"71","E7aCLS","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",5,28.55,28.89,98.82,1.5,33,42,29,31,33.75,225000,NA,1,337500,NA,NA,NA,NA,NA,NA,NA,NA
"72","E7aCLV","LM_0249","E88:E64","SCHUNT_STRA","outbred hybrids","E88","E64",7,24.55,26.1,94.06,1.12,8,10,6,5,7.25,64732.1428571428,NA,1,72500,3.93032929896081,NA,NA,NA,NA,NA,NA,NA
"73","E7aCLZ","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",1,19.81,20.09,98.61,1.16,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"74","E7aCNO","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",5,19.34,20.09,96.27,1.09,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"75","E7aCNT","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",5,19.88,19.06,104.3,3.34,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"76","E7aCOV","LM_0231","E88:E64","PWD_SCHUNT","inter subsp. hybrids","E88","E64",5,20.95,20.69,101.26,1.53,144,134,117,108,125.75,821895.424836601,NA,1,1257500,NA,NA,NA,NA,NA,NA,NA,NA
"77","E7aCOW","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",7,20.44,23.94,85.38,2.17,0,0,0,0,0,0,NA,1,0,3.00032865371102,NA,NA,NA,NA,NA,NA,NA
"78","E7aCPW","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",1,19.76,20.84,94.82,1.96,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"79","E7aCRZ","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",2,24.14,21.23,113.71,1.2,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"80","E7aCUY","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",8,26.98,26.37,102.31,2.15,0,0,0,0,0,0,NA,1,0,1.77673412685823,21.8877741271661,-6.22,-10.55,-5.435,-3.01,"pos","pos"
"81","E7aCWZ","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",3,24.85,21.23,117.05,1.69,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"82","E7aDFU","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",3,17.98,18.26,98.47,1.49,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"83","E7aDGZ","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",4,19.79,20.84,94.96,2.21,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"84","E7aDHL","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",4,19.17,19.58,97.91,1.9,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"85","E7aDHX","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",4,22.35,22.75,98.24,3.66,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"86","E7aDIJ","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",5,17.65,17.88,98.71,1.05,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"87","E7aDIW","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",0,26.37,26.37,100,1.1,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"88","E7aDJP","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",0,23.94,23.94,100,1.67,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"89","E7aDKO","LM_0266","E64:E88","SCHUNT_STRA","outbred hybrids","E64","E88",5,21.39,23.94,89.35,2.18,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"90","E7aDKR","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",0,19.06,19.06,100,1.4,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"91","E7aDKW","LM_0259","E64:E64","STRA_BUSNA","inter subsp. hybrids","E64","E64",4,28.54,28.89,98.79,1.86,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"92","E7aDLN","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",0,20.09,20.09,100,0.77,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"93","E7aDMN","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",2,19.79,20.09,98.51,0.95,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"94","E7aDMP","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",4,22.36,22.32,100.18,3.93,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"95","E7aDOT","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",2,21.89,23.16,94.52,1.18,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"96","E7aDPW","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",0,18.26,18.26,100,1.07,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"97","E7aDQW","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",2,30.76,29.77,103.33,1.21,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"98","E7aDTU","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",8,19.51,19.58,99.64,0.95,1,0,1,0,0.5,5263.15789473684,NA,1,5000,2.12034089731856,53.5403908319353,-5.84,-8.6925,-5.5975,-3.0275,"pos","pos"
