"labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG"
"EPT",NA,NA,NA,NA,NA,NA,NA
"EHR",NA,NA,NA,NA,NA,NA,NA
"IMX",NA,NA,NA,NA,NA,NA,NA
"AHT",NA,NA,NA,NA,NA,NA,NA
"PVX",NA,NA,NA,NA,NA,NA,NA
"IKQ",NA,NA,NA,NA,NA,NA,NA
"FNQ",NA,NA,NA,NA,NA,NA,NA
"OQV",NA,NA,NA,NA,NA,NA,NA
"CRY",NA,NA,NA,NA,NA,NA,NA
"PVY",NA,NA,NA,NA,NA,NA,NA
"CRX",NA,NA,NA,NA,NA,NA,NA
"LOR",NA,NA,NA,NA,NA,NA,NA
"CTU",NA,NA,NA,NA,NA,NA,NA
"GKT",NA,NA,NA,NA,NA,NA,NA
"RSY",NA,NA,NA,NA,NA,NA,NA
"DEO",NA,NA,NA,NA,NA,NA,NA
"FPR",NA,NA,NA,NA,NA,NA,NA
"KWY",NA,NA,NA,NA,NA,NA,NA
"HMS",NA,NA,NA,NA,NA,NA,NA
"GOU",NA,NA,NA,NA,NA,NA,NA
"GRV",NA,NA,NA,NA,NA,NA,NA
"AFO",NA,NA,NA,NA,NA,NA,NA
"BKN",NA,NA,NA,NA,NA,NA,NA
"GIQ",NA,NA,NA,NA,NA,NA,NA
"BGN",NA,NA,NA,NA,NA,NA,NA
"CHV",NA,NA,NA,NA,NA,NA,NA
"EFQ",NA,NA,NA,NA,NA,NA,NA
"HLN",NA,NA,NA,NA,NA,NA,NA
"CHR",NA,NA,NA,NA,NA,NA,NA
"PST",NA,NA,NA,NA,NA,NA,NA
"CIL",NA,NA,NA,NA,NA,NA,NA
"ANR",NA,NA,NA,NA,NA,NA,NA
"CHI",NA,NA,NA,NA,NA,NA,NA
"IOW",NA,NA,NA,NA,NA,NA,NA
"DPX",NA,NA,NA,NA,NA,NA,NA
"DFR",NA,NA,NA,NA,NA,NA,NA
"AOQ",NA,NA,NA,NA,NA,NA,NA
"GHY",NA,NA,NA,NA,NA,NA,NA
"JUZ",NA,NA,NA,NA,NA,NA,NA
"FHR",NA,NA,NA,NA,NA,NA,NA
"EFO",NA,NA,NA,NA,NA,NA,NA
"HUW",NA,NA,NA,NA,NA,NA,NA
"GSW",NA,NA,NA,NA,NA,NA,NA
"JPR",NA,NA,NA,NA,NA,NA,NA
"QVY",NA,NA,NA,NA,NA,NA,NA
"HVW",NA,NA,NA,NA,NA,NA,NA
"IMQ",NA,NA,NA,NA,NA,NA,NA
"DMU",NA,NA,NA,NA,NA,NA,NA
"BKS",NA,NA,NA,NA,NA,NA,NA
"BHY",NA,NA,NA,NA,NA,NA,NA
"ARS",NA,NA,NA,NA,NA,NA,NA
"APV",NA,NA,NA,NA,NA,NA,NA
"FYZ",NA,NA,NA,NA,NA,NA,NA
"PWX",NA,NA,NA,NA,NA,NA,NA
"ANP",NA,NA,NA,NA,NA,NA,NA
"DKP",NA,NA,NA,NA,NA,NA,NA
"OPT",NA,NA,NA,NA,NA,NA,NA
"DHK",NA,NA,NA,NA,NA,NA,NA
"JKM",NA,NA,NA,NA,NA,NA,NA
"LSZ",NA,NA,NA,NA,NA,NA,NA
"ILM",NA,NA,NA,NA,NA,NA,NA
"BCP",NA,NA,NA,NA,NA,NA,NA
"AFM",NA,NA,NA,NA,NA,NA,NA
"AIQ",NA,NA,NA,NA,NA,NA,NA
"HIR",NA,NA,NA,NA,NA,NA,NA
"JMX",NA,NA,NA,NA,NA,NA,NA
"BJK",NA,NA,NA,NA,NA,NA,NA
"BEX",NA,NA,NA,NA,NA,NA,NA
"FMO",NA,NA,NA,NA,NA,NA,NA
"BCK",NA,NA,NA,NA,NA,NA,NA
"GLU",NA,NA,NA,NA,NA,NA,NA
"HJL",NA,NA,NA,NA,NA,NA,NA
"AJX",NA,NA,NA,NA,NA,NA,NA
"FKX",NA,NA,NA,NA,NA,NA,NA
"DFW",NA,NA,NA,NA,NA,NA,NA
"MQU",NA,NA,NA,NA,NA,NA,NA
"GVX",NA,NA,NA,NA,NA,NA,NA
"ADG",NA,NA,NA,NA,NA,NA,NA
"MWX",NA,NA,NA,NA,NA,NA,NA
"BEZ",NA,NA,NA,NA,NA,NA,NA
"IJS",NA,NA,NA,NA,NA,NA,NA
"DGM",NA,NA,NA,NA,NA,NA,NA
"DKO",NA,NA,NA,NA,NA,NA,NA
"GHL",NA,NA,NA,NA,NA,NA,NA
"ILO",NA,NA,NA,NA,NA,NA,NA
"GMO",NA,NA,NA,NA,NA,NA,NA
"CEL",NA,NA,NA,NA,NA,NA,NA
"LRU",NA,NA,NA,NA,NA,NA,NA
"OSZ",NA,NA,NA,NA,NA,NA,NA
"KRX",NA,NA,NA,NA,NA,NA,NA
"FOZ",NA,NA,NA,NA,NA,NA,NA
"JWZ",NA,NA,NA,NA,NA,NA,NA
"FTV",NA,NA,NA,NA,NA,NA,NA
"BJP",NA,NA,NA,NA,NA,NA,NA
"FRZ",NA,NA,NA,NA,NA,NA,NA
"NUZ",NA,NA,NA,NA,NA,NA,NA
"RST",NA,NA,NA,NA,NA,NA,NA
"HJZ",NA,NA,NA,NA,NA,NA,NA
"LXY",NA,NA,NA,NA,NA,NA,NA
"IKN",NA,NA,NA,NA,NA,NA,NA
"ORY",NA,NA,NA,NA,NA,NA,NA
"JYZ",NA,NA,NA,NA,NA,NA,NA
"ELO",NA,NA,NA,NA,NA,NA,NA
"DFM",NA,NA,NA,NA,NA,NA,NA
