original.label,Exp_ID,prelim_labels,date,comment,weight,weightloss,weightRelativeToInfection,fecweight,dayFollowWeight,PIN,weightAtStart,weightlossBeforeInf,weightRelativeToStart,EH_id
8480,Exp004,20,31-05-18,1g seeds mix in petri dish,18.9,NA,NA,NA,24,SY F 8480 G37 L2,19.7,0.800000000000001,95.9390862944162,LM0146
527,Exp004,21,31-05-18,1g seeds mix in petri dish,25.3,NA,NA,NA,24,EX F 527 G55 P3,24,-1.3,105.416666666667,LM0175
528,Exp004,22,31-05-18,1g seeds mix in petri dish,27.8,NA,NA,NA,24,EX F 528 G55 P4,25.1,-2.7,110.756972111554,LM0166
529,Exp004,23,31-05-18,1g seeds mix in petri dish,25.1,NA,NA,NA,24,EX F 529 G55 P5,23.8,-1.3,105.46218487395,LM0168
8476,Exp004,24,31-05-18,1g seeds mix in petri dish,19.8,NA,NA,NA,24,SY M 8476 G37 P2,22.4,2.6,88.3928571428572,LM0149
145,Exp004,25,31-05-18,1g seeds mix in petri dish,14.3,NA,NA,NA,24,SX F 145 G63 L4,13.5,-0.800000000000001,105.925925925926,LM0159
8515,Exp004,26,31-05-18,1g seeds mix in petri dish,11.9,NA,NA,NA,24,SY F 8515 G43 P3,10.9,-1,109.174311926605,LM0160
8511,Exp004,27,31-05-18,1g seeds mix in petri dish,14,NA,NA,NA,24,SY M 8511 G43 L3,14.9,0.9,93.9597315436242,LM0169
8613,Exp004,28,31-05-18,1g seeds mix in petri dish,16.8,NA,NA,NA,24,SY M 8613 G61 P3,15.7,-1.1,107.006369426752,LM0174
8477,Exp004,29,31-05-18,1g seeds mix in petri dish,19.3,NA,NA,NA,24,SY M 8477 G37 P3,20.1,0.800000000000001,96.0199004975124,LM0165
8612,Exp004,30,31-05-18,1g seeds mix in petri dish,19.6,NA,NA,NA,24,SY M 8612 G61 P2,19.2,-0.400000000000002,102.083333333333,LM0150
8482,Exp004,31,31-05-18,1g seeds mix in petri dish,24.1,NA,NA,NA,24,SY M 8482 G38 L2,25.3,1.2,95.2569169960474,LM0176
