labels,EH_ID,dpi,comment,weight,weightloss,weightRelativeToInfection,fecweight
IY,LM0135,7,,,,,
CD,LM0136,7,,,,,
MR,LM0137,7,,,,,
AO,LM0138,7,,,,,
CJ,LM0139,7,,,,,
FH,LM0140,7,,,,,
DG,LM0141,7,,,,,
AB,LM0142,7,,,,,
CT,LM0143,7,,,,,
KM,LM0144,7,,,,,
MQ,LM0123,8,,,,,
CN,LM0124,8,,,,,
HZ,LM0125,8,,,,,
JZ,LM0126,8,,,,,
JS,LM0127,8,,,,,
LN,LM0128,8,,,,,
GJ,LM0129,8,,,,,
BU,LM0130,8,,,,,
DO,LM0131,8,,,,,
BG,LM0132,8,,,,,
JY,LM0133,8,,,,,
IR,LM0134,8,,,,,
LP,LM0135,8,,,,,
WX,LM0136,8,,,,,
RV,LM0137,8,,,,,
MZ,LM0138,8,,,,,
MT,LM0139,8,,,,,
IP,LM0140,8,,,,,
OS,LM0141,8,,,,,
GV,LM0142,8,,,,,
IN,LM0143,8,,,,,
GI,LM0144,8,,,,,
EM,LM0123,9,,,,,
RU,LM0124,9,,,,,
HS,LM0125,9,,,,,
FK,LM0126,9,,,,,
AJ,LM0127,9,,,,,
MP,LM0128,9,,,,,
DY,LM0129,9,,,,,
FG,LM0130,9,,,,,
HV,LM0131,9,,,,,
EH,LM0132,9,,,,,
SV,LM0133,9,,,,,
KL,LM0134,9,,,,,
IV,LM0135,9,,,,,
IZ,LM0136,9,,,,,
GR,LM0137,9,,,,,
HM,LM0138,9,,,,,
OX,LM0139,9,,,,,
NY,LM0140,9,,,,,
PU,LM0141,9,,,,,
KU,LM0142,9,,,,,
AN,LM0143,9,,,,,
MY,LM0144,9,,,,,
RS,LM0123,10,,,,,
AX,LM0124,10,,,,,
CS,LM0125,10,,,,,
DN,LM0126,10,,,,,
BL,LM0127,10,,,,,
KN,LM0128,10,,,,,
GP,LM0129,10,,,,,
HX,LM0130,10,,,,,
CY,LM0131,10,,,,,
OZ,LM0132,10,,,,,
CR,LM0133,10,,,,,
FT,LM0134,10,,,,,
EJ,LM0135,10,,,,,
EX,LM0136,10,,,,,
DU,LM0137,10,,,,,
RT,LM0138,10,,,,,
HN,LM0139,10,,,,,
XY,LM0140,10,,,,,
KV,LM0141,10,,,,,
PT,LM0142,10,,,,,
KP,LM0143,10,,,,,
QS,LM0144,10,,,,,
PX,LM0123,11,,,,,
EN,LM0124,11,,,,,
IJ,LM0125,11,,,,,
FO,LM0126,11,,,,,
HJ,LM0127,11,,,,,
NS,LM0128,11,,,,,
EU,LM0129,11,,,,,
FN,LM0130,11,,,,,
EO,LM0131,11,,,,,
JM,LM0132,11,,,,,
FM,LM0133,11,,,,,
JU,LM0134,11,,,,,
HP,LM0135,11,,,,,
AT,LM0136,11,,,,,
AC,LM0137,11,,,,,
DM,LM0138,11,,,,,
AE,LM0139,11,,,,,
MO,LM0140,11,,,,,
PW,LM0141,11,,,,,
IM,LM0142,11,,,,,
CO,LM0143,11,,,,,
OR,LM0144,11,,,,,
