Sample ID,dpi,used in flotation (g),Count (8 Neubauer squares),Diluted in (ml),Total oocysts/g
LM0036,3,1,0,2,0
LM0038,3,1,0,2,0
LM0060,3,1,0,2,0
LM0034,3,1,0,2,0
LM0087,3,1,0,2,0
LM0058,3,1,0,2,0
LM0056,3,1,0,2,0
LM0035,3,1,0,2,0
LM0066,3,1,0,2,0
LM0072,3,1,0,2,0
LM0078,3,1,0,2,0
LM0071,3,1,0,2,0
LM0028,3,1,0,2,0
LM0030,3,1,0,2,0
LM0045,3,1,0,2,0
LM0054,3,1,0,2,0
LM0027,3,1,0,2,0
LM0048,3,1,0,2,0
LM0033,3,1,0,2,0
LM0073,3,1,0,2,0
LM0080,3,1,0,2,0
LM0021,3,1,0,2,0
LM0031,3,1,0,2,0
LM0025,3,1,0,2,0
LM0036,4,5,0,2,0
LM0038,4,5,0,2,0
LM0060,4,5,0,2,0
LM0034,4,5,0,2,0
LM0087,4,5,0,2,0
LM0058,4,5,0,2,0
LM0056,4,5,10.5,2,5250
LM0035,4,5,10.5,2,5250
LM0066,4,5,10.5,2,5250
LM0072,4,5,4.5,2,2250
LM0078,4,5,7.5,2,3750
LM0071,4,5,7.5,2,3750
LM0028,4,3,0,2,0
LM0030,4,3,0,2,0
LM0045,4,3,0,2,0
LM0054,4,3,0,2,0
LM0027,4,3,0,2,0
LM0048,4,3,0,2,0
LM0033,4,3,0,2,0
LM0073,4,3,0,2,0
LM0080,4,3,0,2,0
LM0021,4,NA,NA,2,#VALUE!
LM0031,4,3,0,2,0
LM0025,4,3,0,2,0
LM0036,5,4,59,2,36875
LM0038,5,4,70,2,43750
LM0060,5,4,48,2,30000
LM0034,5,4,47,2,29375
LM0087,5,4,35,2,21875
LM0058,5,4,56,2,35000
LM0056,5,3.2,83,2,64843.75
LM0035,5,2.6,60,2,57692.3076923077
LM0066,5,3,79,2,65833.3333333333
LM0072,5,3,100,2,83333.3333333333
LM0078,5,3,124,2,103333.333333333
LM0071,5,3,119,2,99166.6666666667
LM0028,5,8,0,2,0
LM0030,5,5.5,0,2,0
LM0045,5,10,0,2,0
LM0054,5,5.5,0,2,0
LM0027,5,8,0,2,0
LM0048,5,6,0,2,0
LM0033,5,5.5,0,2,0
LM0073,5,7.5,0,2,0
LM0080,5,8.3,0,2,0
LM0021,5,6,0,2,0
LM0031,5,4.5,0,2,0
LM0025,5,7,0,2,0
LM0036,6,3,100,2,83333.3333333333
LM0038,6,3,80,2,66666.6666666667
LM0060,6,3,79,2,65833.3333333333
LM0034,6,3,100,2,83333.3333333333
LM0087,6,3,121,2,100833.333333333
LM0058,6,3,100,2,83333.3333333333
LM0056,6,3,119,2,99166.6666666667
LM0035,6,3,104,2,86666.6666666667
LM0066,6,3,212,2,176666.666666667
LM0072,6,3,179,2,149166.666666667
LM0078,6,3,159,2,132500
LM0071,6,3,200,2,166666.666666667
LM0028,6,3,0,2,0
LM0030,6,3,0,2,0
LM0045,6,3,0,2,0
LM0054,6,3,0,2,0
LM0027,6,3,0,2,0
LM0048,6,3,0,2,0
LM0033,6,3,0,2,0
LM0073,6,3,0,2,0
LM0080,6,3,0,2,0
LM0021,6,3,0,2,0
LM0031,6,3,0,2,0
LM0025,6,3,0,2,0
LM0036,7,3,19,2,15833.3333333333
LM0038,7,3,24,2,20000
LM0060,7,3,40,2,33333.3333333333
LM0034,7,3,47,2,39166.6666666667
LM0087,7,3,20,2,16666.6666666667
LM0058,7,3,32,2,26666.6666666667
LM0056,7,3,19,2,15833.3333333333
LM0035,7,3,20,2,16666.6666666667
LM0066,7,3,31,2,25833.3333333333
LM0072,7,3,60,2,50000
LM0078,7,3,20,2,16666.6666666667
LM0071,7,3,47,2,39166.6666666667
LM0028,7,3,0,2,0
LM0030,7,3,0,2,0
LM0045,7,3,0,2,0
LM0054,7,3,0,2,0
LM0027,7,3,0,2,0
LM0048,7,3,0,2,0
LM0033,7,3,9,2,7500
LM0073,7,3,10,2,8333.33333333333
LM0080,7,3,5,2,4166.66666666667
LM0021,7,3,19,2,15833.3333333333
LM0031,7,3,19,2,15833.3333333333
LM0025,7,3,15,2,12500
LM0036,8,3,400,2,333333.333333333
LM0038,8,1,49,2,122500
LM0060,8,7,421,2,150357.142857143
LM0034,8,3,200,2,166666.666666667
LM0087,8,1,100,2,250000
LM0058,8,3,239,2,199166.666666667
LM0056,8,7.5,48,2,16000
LM0035,8,7.8,0,2,0
LM0066,8,6,9,2,3750
LM0072,8,5.5,23,2,10454.5454545455
LM0078,8,8,0,2,0
LM0071,8,8,0,2,0
LM0028,8,3,119,2,99166.6666666667
LM0030,8,3,79,2,65833.3333333333
LM0045,8,3,199,2,165833.333333333
LM0054,8,3,199,2,165833.333333333
LM0027,8,3,239,2,199166.666666667
LM0048,8,3,199,2,165833.333333333
LM0033,8,3,200,2,166666.666666667
LM0073,8,3,480,2,400000
LM0080,8,3,530,2,441666.666666667
LM0021,8,3,121,2,100833.333333333
LM0031,8,3,79,2,65833.3333333333
LM0025,8,3,519,2,432500
LM0036,9,1,443,2,1107500
LM0038,9,1,0,2,0
LM0060,9,1,240,2,600000
LM0034,9,1,47,2,117500
LM0087,9,1,48,2,120000
LM0058,9,1,120,2,300000
LM0056,9,4,7,2,4375
LM0035,9,4,0,2,0
LM0066,9,5,0,2,0
LM0072,9,4,7.5,2,4687.5
LM0078,9,5,0,2,0
LM0071,9,4,0,2,0
LM0028,9,1,31,2,77500
LM0030,9,1,48,2,120000
LM0045,9,1,340,2,850000
LM0054,9,1,159,2,397500
LM0027,9,1,79,2,197500
LM0048,9,1,31,2,77500
LM0033,9,1,124,2,310000
LM0073,9,1,140,2,350000
LM0080,9,1,76,2,190000
LM0021,9,1,80,2,200000
LM0031,9,1,29,2,72500
LM0025,9,1,32,2,80000
LM0036,10,NA,NA,2,#VALUE!
LM0038,10,NA,NA,2,#VALUE!
LM0060,10,NA,NA,2,#VALUE!
LM0034,10,1.5,40,2,66666.6666666667
LM0087,10,1.5,24,2,40000
LM0058,10,1.5,15,2,25000
LM0056,10,NA,NA,2,#VALUE!
LM0035,10,NA,NA,2,#VALUE!
LM0066,10,NA,NA,2,#VALUE!
LM0072,10,1,0,2,0
LM0078,10,1,0,2,0
LM0071,10,1,0,2,0
LM0028,10,NA,NA,2,#VALUE!
LM0030,10,NA,NA,2,#VALUE!
LM0045,10,NA,NA,2,#VALUE!
LM0054,10,NA,NA,2,#VALUE!
LM0027,10,1,32,2,80000
LM0048,10,1.5,47,2,78333.3333333333
LM0033,10,NA,NA,2,#VALUE!
LM0073,10,NA,NA,2,#VALUE!
LM0080,10,NA,NA,2,#VALUE!
LM0021,10,1,24,2,60000
LM0031,10,1,16,2,40000
LM0025,10,1,32,2,80000
LM0036,11,NA,NA,2,#VALUE!
LM0038,11,NA,NA,2,#VALUE!
LM0060,11,NA,NA,2,#VALUE!
LM0034,11,1,0,2,0
LM0087,11,1,0,2,0
LM0058,11,1,0,2,0
LM0056,11,NA,NA,2,#VALUE!
LM0035,11,NA,NA,2,#VALUE!
LM0066,11,NA,NA,2,#VALUE!
LM0072,11,1,0,2,0
LM0078,11,1,0,2,0
LM0071,11,1,0,2,0
LM0028,11,NA,NA,2,#VALUE!
LM0030,11,NA,NA,2,#VALUE!
LM0045,11,NA,NA,2,#VALUE!
LM0054,11,NA,NA,2,#VALUE!
LM0027,11,1,6,2,15000
LM0048,11,1,20,2,50000
LM0033,11,NA,NA,2,#VALUE!
LM0073,11,NA,NA,2,#VALUE!
LM0080,11,NA,NA,2,#VALUE!
LM0021,11,NA,NA,2,#VALUE!
LM0031,11,1.5,8,2,13333.3333333333
LM0025,11,1.9,10,2,13157.8947368421
