,EH_ID,Strain,HybridStatus,primary,challenge,labels,dpi,weight,weight_dpi0,Wchange,fecweight,average,volume_PBS_mL,totalOocysts,OPG,infHistory
347,LM0278,SCHUNT_PWD,inter subsp. hybrids,E64,E88,2MQS,7,22.31,20.88,106.848659,1.26,0,1,0,0,E64:E88
348,LM0278,SCHUNT_PWD,inter subsp. hybrids,E64,E88,2GVY,4,22.15,20.88,106.0823755,1.12,0,1,0,0,E64:E88
349,LM0278,SCHUNT_PWD,inter subsp. hybrids,E64,E88,2DTU,8,22.24,20.88,106.51341,1.17,0,1,0,0,E64:E88
350,LM0278,SCHUNT_PWD,inter subsp. hybrids,E64,E88,2ILR,0,20.88,20.88,100,2,0,1,0,0,E64:E88
351,LM0278,SCHUNT_PWD,inter subsp. hybrids,E64,E88,2DHY,6,22.59,20.88,108.1896552,1.77,0,1,0,0,E64:E88
352,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2FPV,8,21.27,21.35,99.62529274,1.1,0.5,1,5000,4545.45454545455,E64:E64
353,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2BHX,4,21.64,21.35,101.3583138,0.68,0,1,0,0,E64:E64
354,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2BMS,5,20.86,21.35,97.70491803,1.32,5.25,1,52500,39772.7272727273,E64:E64
355,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2NOY,6,21.42,21.35,100.3278689,1.89,20.5,1,205000,108465.608465608,E64:E64
356,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2LNT,7,20.41,21.35,95.5971897,1.7,18,1,180000,105882.352941176,E64:E64
357,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2QSV,3,21.12,21.35,98.92271663,1.4,0,1,0,0,E64:E64
358,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2HIY,1,20.86,21.35,97.70491803,1.46,0,2,0,0,E64:E64
359,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2BNQ,0,21.35,21.35,100,1.09,0,1,0,0,E64:E64
360,LM0279,BUSNA_BUSNA,parental strains,E64,E64,2STZ,2,21.49,21.35,100.6557377,1.67,0,2,0,0,E64:E64
361,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2FJY,2,19.16,17.57,109.0495162,3.1,0,1,0,0,E64:E64
362,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2DVW,7,18.64,17.57,106.089926,1.17,2.75,1,27500,23504.2735042735,E64:E64
363,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2OSY,1,17.68,17.57,100.6260672,2.67,0,1,0,0,E64:E64
364,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2AVW,6,18.55,17.57,105.5776892,2.72,24.25,1,242500,89154.4117647059,E64:E64
365,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2NXY,3,18.57,17.57,105.6915196,1.18,0,1,0,0,E64:E64
