Exp_ID,labels,prelim_labels,date,EH_ID,dpi,comment,weight,weightloss,weightRelativeToInfection,fecweight
,,1,07/05/18,,,4g sunflower seed day 0,25.4,,,
,,2,07/05/18,,,4g sunflower seed day 0,18,,,
,,3,07/05/18,,,4g sunflower seed day 0,12.1,,,
,,4,07/05/18,,,4g sunflower seed day 0,16.5,,,
,,5,07/05/18,,,4g sunflower seed day 0,16.6,,,
,,6,07/05/18,,,4g sunflower seed day 0,17.4,,,
,,7,07/05/18,,,4g sunflower seed day 0,31.8,,,
,,8,07/05/18,,,4g sunflower seed day 0,16.1,,,
,,9,07/05/18,,,4g sunflower seed day 0,17.3,,,
,,10,07/05/18,,,4g sunflower seed day 0,12.4,,,
,,11,07/05/18,,,4g sunflower seed day 0,23.2,,,
,,12,07/05/18,,,4g sunflower seed day 0,14.5,,,
,,13,07/05/18,,,4g sunflower seed day 0,16.2,,,
,,14,07/05/18,,,4g sunflower seed day 0,17.8,,,
,,15,07/05/18,,,4g sunflower seed day 0,25.4,,,
,,16,07/05/18,,,4g sunflower seed day 0,22.9,,,
,,17,07/05/18,,,4g sunflower seed day 0,26.3,,,
,,18,07/05/18,,,4g sunflower seed day 0,12.8,,,
,,19,07/05/18,,,4g sunflower seed day 0,14.9,,,
,,20,07/05/18,,,4g sunflower seed day 0,19.7,,,
,,21,07/05/18,,,4g sunflower seed day 0,24,,,
,,22,07/05/18,,,4g sunflower seed day 0,25.1,,,
,,23,07/05/18,,,4g sunflower seed day 0,23.8,,,
,,24,07/05/18,,,4g sunflower seed day 0,22.4,,,
,,25,07/05/18,,,4g sunflower seed day 0,13.5,,,
,,26,07/05/18,,,4g sunflower seed day 0,10.9,,,
,,27,07/05/18,,,4g sunflower seed day 0,14.9,,,
,,28,07/05/18,,,4g sunflower seed day 0,15.7,,,
,,29,07/05/18,,,4g sunflower seed day 0,20.1,,,
,,30,07/05/18,,,4g sunflower seed day 0,19.2,,,
,,31,07/05/18,,,4g sunflower seed day 0,25.3,,,
,,32,07/05/18,,,4g sunflower seed day 0,14.5,,,
,,1,10/05/18,,,change litter,27.3,,,
,,2,10/05/18,,,change litter,17.8,,,
,,3,10/05/18,,,change litter,13,,,
,,4,10/05/18,,,change litter,17.5,,,
,,5,10/05/18,,,change litter,16.9,,,
,,6,10/05/18,,,change litter,17.3,,,
,,7,10/05/18,,,change litter,33.3,,,
,,8,10/05/18,,,change litter,17.5,,,
,,9,10/05/18,,,change litter,17,,,
,,10,10/05/18,,,change litter,13.2,,,
,,11,10/05/18,,,change litter,23.1,,,
,,12,10/05/18,,,change litter,15.1,,,
,,13,10/05/18,,,change litter,16.9,,,
,,14,10/05/18,,,change litter,17.5,,,
,,15,10/05/18,,,change litter,25.9,,,
,,16,10/05/18,,,change litter,22.3,,,
,,17,10/05/18,,,change litter,26.9,,,
,,18,10/05/18,,,change litter,14,,,
,,19,10/05/18,,,change litter,15.6,,,
,,20,10/05/18,,,change litter,19.4,,,
,,21,10/05/18,,,change litter,25.3,,,
,,22,10/05/18,,,change litter,27,,,
,,23,10/05/18,,,change litter,23.7,,,
,,24,10/05/18,,,change litter,22,,,
,,25,10/05/18,,,change litter,14.8,,,
,,26,10/05/18,,,change litter,12,,,
,,27,10/05/18,,,change litter,14.9,,,
,,28,10/05/18,,,change litter,15.6,,,
,,29,10/05/18,,,change litter,19.5,,,
,,30,10/05/18,,,change litter,19.7,,,
,,31,10/05/18,,,change litter,24.4,,,
,,32,10/05/18,,,change litter,14.1,,,
