"","EH_ID","labels","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","Sample","cell.counting.x106.","cell_counts","ThCD4p","TcCD8p","Th1IFNgp_in_CD4p","Th17IL17Ap_in_CD4p","Tc1IFNgp_in_CD8p","Treg_Foxp3_in_CD4p","Dividing_Ki67p_in_Foxp3p","RORgtp_in_Foxp3p","Th1Tbetp_in_CD4pFoxp3n","Dividing_Ki67p_in_Tbetp","Th17RORgp_in_CD4pFoxp3n","Dividing_Ki67p_in_RORgtp","Position","ThCD4p.cells","TcCD8p.cells","Th1IFNgp_in_CD4p.cells","Th17IL17Ap_in_CD4p.cells","Treg_Foxp3_in_CD4p.cells","Tc1IFNgp_in_CD8p.cells","RORgtp_in_Foxp3p.cells","Dividing_Ki67p_in_Foxp3p.cells","Dividing_Ki67p_in_RORgtp.cells","ThCD4p_Foxp3n","ThCD4p_Foxp3n.cells","Th1Tbetp_in_CD4pFoxp3n.cells","Th17RORgp_in_CD4pFoxp3n.cells","Dividing_Ki67p_in_Tbetp.cells"
"1","LM_0227","E7aMNW","BUSNA_STRA","inter subsp. hybrids","E88","E64",8,23.81,23.86,99.79,2.73,3,5,8,1,4.25,15567.7655677656,NA,1,42500,"E88:E64",7.02526117343341,537.333333333333,"pos",-5.79,-10.535,-4.425,-9.13,"36: Posterior LN_27_001.fcs",13.6,13600000,69.02,16.16,2.41,0.59,19.98,3.47,16.08,16.83,1.6,12.74,1.65,20.01,"Posterior",9386720,2197760,226219.952,55381.648,325719.184,439112.448,54818.5386672,8814.82101768576,10969.1895873067,93.53,9386716.53,150187.46448,154880.822745,19133.882974752
"2","LM_0227","E7aMNW","BUSNA_STRA","inter subsp. hybrids","E88","E64",8,23.81,23.86,99.79,2.73,3,5,8,1,4.25,15567.7655677656,NA,1,42500,"E88:E64",7.02526117343341,537.333333333333,"pos",-5.79,-10.535,-4.425,-9.13,"1: Anterior LN_27_028.fcs",7.1,7100000,54.62,17.48,0.33,1.16,6.75,7.13,18.74,8.88,1.24,34.13,1.03,15.37,"Anterior",3878020,1241080,12797.466,44985.032,276502.826,83772.9,24553.4509488,4601.31670780512,3773.86541083056,91.38,3878012.87,48087.359588,39943.532561,16412.2158273844
"3","LM_0228","E7aBGY","STRA_BUSNA","inter subsp. hybrids","E88","E64",8,23.5,21.23,110.69,1.13,13,6,11,6,9,79646.0176991151,NA,1,90000,"E88:E64",4.99875306588759,841.333333333333,"pos",-5.91,-8.9125,-4.3925,-6.9325,"2: Anterior LN_28_029.fcs",8,8000000,48.15,29.76,2.31,3.46,14.33,10.95,29.45,4.72,3.94,49.24,0.56,34.26,"Anterior",3852000,2380800,88981.2,133279.2,421794,341168.64,19908.6768,5863.1053176,6820.71267168,83.28,3851989.05,151768.36857,21571.13868,74730.744683868
"4","LM_0228","E7aBGY","STRA_BUSNA","inter subsp. hybrids","E88","E64",8,23.5,21.23,110.69,1.13,13,6,11,6,9,79646.0176991151,NA,1,90000,"E88:E64",4.99875306588759,841.333333333333,"pos",-5.91,-8.9125,-4.3925,-6.9325,"37: Posterior LN_28_002.fcs",10,10000000,43.65,22.21,1.51,0.37,6.69,7.91,9.51,17.1,1.41,33.65,1.24,64.73,"Posterior",4365000,2221000,65911.5,16150.5,345271.5,148584.9,59041.4265,5614.83966015,38217.51537345,90.21,4364992.09,61546.388469,54125.901916,20710.3597198185
"5","LM_0229","E7aEMW","SCHUNT_SCHUNT","parental strains","E88","E88",8,19.01,19.06,99.74,2.36,0,0,0,0,0,0,NA,1,0,"E88:E88",1.65664455658793,113.833333333333,"neg",-7.12,-7.4325,-3.1225,-4.6475,"38: Posterior LN_29_015.fcs",5.2,5200000,48.01,12.42,4.06,0.86,23.48,6.61,48.35,14.52,8.53,66.93,1.3,42.22,"Posterior",2496520,645840,101358.712,21470.072,165019.972,151643.232,23960.8999344,11585.0951182824,10116.2919523037,88.47,2496513.39,212952.592167,32454.67407,142529.169937373
"6","LM_0229","E7aEMW","SCHUNT_SCHUNT","parental strains","E88","E88",8,19.01,19.06,99.74,2.36,0,0,0,0,0,0,NA,1,0,"E88:E88",1.65664455658793,113.833333333333,"neg",-7.12,-7.4325,-3.1225,-4.6475,"3: Anterior LN_29_042.fcs",1,1000000,39.34,13.6,6.46,0.48,22.59,6.08,18.67,17.74,8.8,77.5,0.99,49.42,"Anterior",393400,136000,25413.64,1888.32,23918.72,30722.4,4243.180928,792.2018792576,2096.9800146176,86.98,393393.92,34618.66496,3894.599808,26829.465344
"7","LM_0231","E7aCEK","PWD_SCHUNT","inter subsp. hybrids","E88","E64",8,20.43,20.69,98.74,2.81,13,15,16,16,15,53380.7829181495,NA,1,150000,"E88:E64",0.887669072138454,363.666666666667,"pos",-5.16,-9.3825,-4.3125,-6.8575,"39: Posterior LN_31_003.fcs",12.3,12300000,27.35,33.78,4.02,0.26,20.12,46.07,41.47,8.73,6.37,63.87,1.6,47.73,"Posterior",3364050,4154940,135234.81,8746.53,1549817.835,835973.928,135299.0969955,56108.5355240339,64578.2589959522,49.65,3364003.93,214287.050341,53824.06288,136865.139052797
"8","LM_0231","E7aCEK","PWD_SCHUNT","inter subsp. hybrids","E88","E64",8,20.43,20.69,98.74,2.81,13,15,16,16,15,53380.7829181495,NA,1,150000,"E88:E64",0.887669072138454,363.666666666667,"pos",-5.16,-9.3825,-4.3125,-6.8575,"4: Anterior LN_31_030.fcs",5.6,5600000,44.17,14.29,13.04,0.49,32.81,5.87,24.76,16.09,13.4,78.77,0.99,44.82,"Anterior",2473520,800240,322547.008,12120.248,145195.624,262558.744,23361.9759016,5784.42523323616,10470.8375990971,80.6,2473514.13,331450.89342,24487.789887,261083.868746934
"9","LM_0232","E7aCUY","BUSNA_STRA","inter subsp. hybrids","E88","E88",8,26.98,26.37,102.31,2.15,0,0,0,0,0,0,NA,1,0,"E88:E88",1.77673412685823,206.666666666667,"pos",-6.22,-10.55,-3.01,-5.435,"40: Posterior LN_32_016.fcs",2.8,2800000,53.4,18.28,4.17,0.91,26.33,5.06,33.4,11.24,4.56,66.92,2.04,26.45,"Posterior",1495200,511840,62349.84,13606.32,75657.12,134767.472,8503.860288,2840.289336192,2249.271046176,89.86,1495194.94,68180.889264,30501.976776,45626.6510954688
"10","LM_0232","E7aCUY","BUSNA_STRA","inter subsp. hybrids","E88","E88",8,26.98,26.37,102.31,2.15,0,0,0,0,0,0,NA,1,0,"E88:E88",1.77673412685823,206.666666666667,"pos",-6.22,-10.55,-3.01,-5.435,"5: Anterior LN_32_043.fcs",8.6,8600000,64.75,4.07,3.39,0.56,43.82,5.18,13.66,13.39,2.86,14.44,2.38,33.77,"Anterior",5568500,350020,188772.15,31183.6,288448.3,153378.764,38623.22737,5275.932858742,13043.063882849,90.87,5568494.82,159258.951852,132530.176716,22996.9926474288
