labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
IX,LM0313,16,,,,,,,,,,,,
OX,LM0314,16,,,,,,,,,,,,
JL,LM0315,16,,,,,,,,,,,,
EI,LM0316,16,,,,,,,,,,,,
CK,LM0317,16,,,,,,,,,,,,
CE,LM0318,16,,,,,,,,,,,,
EK,LM0319,16,,,,,,,,,,,,
WZ,LM0304,18,,,,,,,,,,,,
LO,LM0305,18,,,,,,,,,,,,
IY,LM0306,18,,,,,,,,,,,,
FO,LM0307,18,,,,,,,,,,,,
QW,LM0308,18,,,,,,,,,,,,
DN,LM0309,18,,,,,,,,,,,,
IL,LM0310,18,,,,,,,,,,,,
QT,LM0311,18,,,,,,,,,,,,
UY,LM0312,18,,,,,,,,,,,,
EX,LM0313,18,,,,,,,,,,,,
FJ,LM0314,18,,,,,,,,,,,,
HP,LM0315,18,,,,,,,,,,,,
MR,LM0316,18,,,,,,,,,,,,
IR,LM0317,18,,,,,,,,,,,,
CN,LM0318,18,,,,,,,,,,,,
DT,LM0319,18,,,,,,,,,,,,
CS,LM0304,21,,,,,,,,,,,,
JP,LM0305,21,,,,,,,,,,,,
OY,LM0306,21,,,,,,,,,,,,
EL,LM0307,21,,,,,,,,,,,,
IK,LM0308,21,,,,,,,,,,,,
EM,LM0309,21,,,,,,,,,,,,
DI,LM0310,21,,,,,,,,,,,,
MN,LM0311,21,,,,,,,,,,,,
AP,LM0312,21,,,,,,,,,,,,
GS,LM0313,21,,,,,,,,,,,,
BR,LM0314,21,,,,,,,,,,,,
OV,LM0315,21,,,,,,,,,,,,
QS,LM0316,21,,,,,,,,,,,,
HX,LM0317,21,,,,,,,,,,,,
ST,LM0318,21,,,,,,,,,,,,
QR,LM0319,21,,,,,,,,,,,,
MX,LM0304,23,,,,,,,,,,,,
KW,LM0305,23,,,,,,,,,,,,
KL,LM0306,23,,,,,,,,,,,,
YZ,LM0307,23,,,,,,,,,,,,
NX,LM0308,23,,,,,,,,,,,,
