"","labels","AVG","totalOocysts","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","batch","primary","challenge","infHistory","oocyst_1","oocyst_2","oocyst_3","oocyst_4","OPG"
"43","P3aOSC",68,1360000,"LM_0347",9,65.2,71.5,4.15,91.1888111888112,"a","E88","E88","E88:E88",78,63,64,67,327710.843373494
"44","P3aPEE",0,0,"LM_0345",8,57.6,60.7,2.72,94.8929159802306,"a","UNI","E64","UNI:E64",0,0,0,0,0
"45","P3aPFK",3.25,65000,"LM_0333",9,45.8,52.7,0.85,86.9070208728653,"a","Eflab","E64","Eflab:E64",3,2,3,5,76470.5882352941
"46","P3aPLG",9.75,195000,"LM_0333",7,51,52.7,3.46,96.7741935483871,"a","Eflab","E64","Eflab:E64",7,7,11,14,56358.3815028902
"47","P3aQBP",0,0,"LM_0339",4,47,49.6,3.03,94.758064516129,"a","E64","E64","E64:E64",0,0,0,0,0
"48","P3aQEC",1,20000,"LM_0337",10,39.3,44.7,1.81,87.9194630872483,"a","E88","UNI","E88:UNI",1,0,2,1,11049.7237569061
"49","P3aQEO",0,0,"LM_0344",8,50,51.4,1.14,97.2762645914397,"a","UNI","E88","UNI:E88",0,0,0,0,0
"50","P3aREI",14.75,295000,"LM_0340",6,49,54.5,1.14,89.908256880734,"a","E64","UNI","E64:UNI",16,15,14,14,258771.929824561
"51","P3aRJA",0,0,"LM_0345",7,56.7,60.7,4.4,93.4102141680395,"a","UNI","E64","UNI:E64",0,0,0,0,0
"52","P3aRRF",13.75,275000,"LM_0332",8,53.8,61.2,0.76,87.9084967320261,"a","Eflab","E88","Eflab:E88",14,15,12,14,361842.105263158
"53","P3aSBV",0,0,"LM_0346",9,52.5,53.9,3.81,97.4025974025974,"a","UNI","UNI","UNI:UNI",0,0,0,0,0
"54","P3aSMX",1,20000,"LM_0336",11,44.6,51.9,2.91,85.9344894026975,"a","E88","E64","E88:E64",1,2,0,1,6872.85223367698
"55","P3aSQC",95,1900000,"LM_0339",6,44.2,49.6,1.17,89.1129032258064,"a","E64","E64","E64:E64",100,70,102,108,1623931.62393162
"56","P3aSRE",46.25,925000,"LM_0340",5,48.8,54.5,1.45,89.5412844036697,"a","E64","UNI","E64:UNI",42,47,51,45,637931.034482759
"57","P3aSVD",2.75,55000,"LM_0336",10,43.6,51.9,0.81,84.0077071290944,"a","E88","E64","E88:E64",5,2,2,2,67901.2345679012
"58","P3aSVZ",0,0,"LM_0341",4,53.7,59.1,1.68,90.8629441624366,"a","E139","E88","E139:E88",0,0,0,0,0
"59","P3aSWK",0,0,"LM_0346",5,52.3,53.9,4.04,97.0315398886828,"a","UNI","UNI","UNI:UNI",0,0,0,0,0
"60","P3aTOW",0,0,"LM_0344",6,50.2,51.4,1.4,97.6653696498055,"a","UNI","E88","UNI:E88",0,0,0,0,0
"61","P3aTQH",0,0,"LM_0332",7,57.4,61.2,1.46,93.7908496732026,"a","Eflab","E88","Eflab:E88",0,0,0,0,0
