"labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG","Expe"
"CTX","","","","","","","","Expe005_2a"
"GKN","","","","","","","","Expe005_2a"
"ISX","","","","","","","","Expe005_2a"
"BTZ","","","","","","","","Expe005_2a"
"DFM","","","","","","","","Expe005_2a"
"DSZ","","","","","","","","Expe005_2a"
"FOY","","","","","","","","Expe005_2a"
"ACU","","","","","","","","Expe005_2a"
"ISW","","","","","","","","Expe005_2a"
"HMU","","","","","","","","Expe005_2a"
"WYZ","","","","","","","","Expe005_2a"
"LQX","","","","","","","","Expe005_2a"
"CSY","","","","","","","","Expe005_2a"
"CMZ","","","","","","","","Expe005_2a"
"QRS","","","","","","","","Expe005_2a"
"EIM","","","","","","","","Expe005_2a"
"DHR","","","","","","","","Expe005_2a"
"HMY","","","","","","","","Expe005_2a"
"DIS","","","","","","","","Expe005_2a"
"HTZ","","","","","","","","Expe005_2a"
"ALU","","","","","","","","Expe005_2a"
"HJZ","","","","","","","","Expe005_2a"
"GJY","","","","","","","","Expe005_2a"
"EMP","","","","","","","","Expe005_2a"
"BFI","","","","","","","","Expe005_2a"
"FTV","","","","","","","","Expe005_2a"
"BLN","","","","","","","","Expe005_2a"
"HLY","","","","","","","","Expe005_2a"
"AUZ","","","","","","","","Expe005_2a"
"KRZ","","","","","","","","Expe005_2a"
"PVY","","","","","","","","Expe005_2a"
"DIM","","","","","","","","Expe005_2a"
"BHR","","","","","","","","Expe005_2a"
"EUZ","","","","","","","","Expe005_2a"
"FLV","","","","","","","","Expe005_2a"
"JWY","","","","","","","","Expe005_2a"
"FTY","","","","","","","","Expe005_2a"
"DIN","","","","","","","","Expe005_2a"
"PTU","","","","","","","","Expe005_2a"
"BMX","","","","","","","","Expe005_2a"
"HKV","","","","","","","","Expe005_2a"
"HPX","","","","","","","","Expe005_2a"
"SXZ","","","","","","","","Expe005_2a"
"ANW","","","","","","","","Expe005_2a"
"OPV","","","","","","","","Expe005_2a"
"NUV","","","","","","","","Expe005_2a"
"FHL","","","","","","","","Expe005_2a"
"AOX","","","","","","","","Expe005_2a"
"FLZ","","","","","","","","Expe005_2a"
"ETZ","","","","","","","","Expe005_2a"
"AEQ","","","","","","","","Expe005_2a"
"UWY","","","","","","","","Expe005_2a"
"PRS","","","","","","","","Expe005_2a"
"MOX","","","","","","","","Expe005_2a"
"JLT","","","","","","","","Expe005_2a"
"HJW","","","","","","","","Expe005_2a"
"ARV","","","","","","","","Expe005_2a"
"RTV","","","","","","","","Expe005_2a"
"KUX","","","","","","","","Expe005_2a"
"HJM","","","","","","","","Expe005_2a"
"AES","","","","","","","","Expe005_2a"
"JOV","","","","","","","","Expe005_2a"
"BPR","","","","","","","","Expe005_2a"
"HPY","","","","","","","","Expe005_2a"
"CIY","","","","","","","","Expe005_2a"
"JKL","","","","","","","","Expe005_2a"
"CMS","","","","","","","","Expe005_2a"
"KLZ","","","","","","","","Expe005_2a"
"ELP","","","","","","","","Expe005_2a"
"NXY","","","","","","","","Expe005_2a"
"CEH","","","","","","","","Expe005_2a"
"MNT","","","","","","","","Expe005_2a"
"FJN","","","","","","","","Expe005_2a"
"BUY","","","","","","","","Expe005_2a"
"EMO","","","","","","","","Expe005_2a"
"HKX","","","","","","","","Expe005_2a"
"FJY","","","","","","","","Expe005_2a"
"AGI","","","","","","","","Expe005_2a"
"GOT","","","","","","","","Expe005_2a"
"EHK","","","","","","","","Expe005_2a"
"ENR","","","","","","","","Expe005_2a"
"LRX","","","","","","","","Expe005_2a"
"HJR","","","","","","","","Expe005_2a"
"DFX","","","","","","","","Expe005_2a"
"OQV","","","","","","","","Expe005_2a"
"IPR","","","","","","","","Expe005_2a"
"MXZ","","","","","","","","Expe005_2a"
"HIK","","","","","","","","Expe005_2a"
"IKZ","","","","","","","","Expe005_2a"
"HOY","","","","","","","","Expe005_2a"
"DOU","","","","","","","","Expe005_2a"
"DOS","","","","","","","","Expe005_2a"
"DLM","","","","","","","","Expe005_2a"
"CJN","","","","","","","","Expe005_2a"
"HIR","","","","","","","","Expe005_2a"
"INS","","","","","","","","Expe005_2a"
"BNX","","","","","","","","Expe005_2a"
"IMX","","","","","","","","Expe005_2a"
"BKQ","","","","","","","","Expe005_2a"
"JOQ","","","","","","","","Expe005_2a"
"BEH","","","","","","","","Expe005_2a"
"EIY","","","","","","","","Expe005_2a"
"KOU","","","","","","","","Expe005_2a"
"GJS","","","","","","","","Expe005_2a"
"FMT","","","","","","","","Expe005_2a"
"EGZ","","","","","","","","Expe005_2a"
"DVW","","","","","","","","Expe005_2a"
"LNY","","","","","","","","Expe005_2a"
"EMZ","","","","","","","","Expe005_2a"
"KNZ","","","","","","","","Expe005_2a"
"BFL","","","","","","","","Expe005_2a"
"IOY","","","","","","","","Expe005_2a"
"QVY","","","","","","","","Expe005_2a"
"CKZ","","","","","","","","Expe005_2a"
"EOZ","","","","","","","","Expe005_2a"
"KTX","","","","","","","","Expe005_2a"
"MPY","","","","","","","","Expe005_2a"
"VWY","","","","","","","","Expe005_2a"
"JOP","","","","","","","","Expe005_2a"
"TUY","","","","","","","","Expe005_2a"
"MNR","","","","","","","","Expe005_2a"
"EFG","","","","","","","","Expe005_2a"
"HLW","","","","","","","","Expe005_2a"
"KOS","","","","","","","","Expe005_2a"
"ADS","","","","","","","","Expe005_2a"
"DQY","","","","","","","","Expe005_2a"
"KWZ","","","","","","","","Expe005_2a"
"GMQ","","","","","","","","Expe005_2a"
"BNV","","","","","","","","Expe005_2a"
"LPS","","","","","","","","Expe005_2a"
"BKN","","","","","","","","Expe005_2a"
"FKN","","","","","","","","Expe005_2a"
"FIY","","","","","","","","Expe005_2a"
"HIO","","","","","","","","Expe005_2a"
"JTV","","","","","","","","Expe005_2a"
"BGQ","","","","","","","","Expe005_2a"
"HKN","","","","","","","","Expe005_2a"
"COR","","","","","","","","Expe005_2a"
"BIS","","","","","","","","Expe005_2a"
"AJU","","","","","","","","Expe005_2a"
"DOP","","","","","","","","Expe005_2a"
"CKV","","","","","","","","Expe005_2a"
"CJQ","","","","","","","","Expe005_2a"
"GNZ","","","","","","","","Expe005_2a"
"KMX","","","","","","","","Expe005_2a"
"ADE","","","","","","","","Expe005_2a"
"AKX","","","","","","","","Expe005_2a"
"QUW","","","","","","","","Expe005_2a"
"LNX","","","","","","","","Expe005_2a"
"OST","","","","","","","","Expe005_2a"
"BOY","","","","","","","","Expe005_2a"
"AIK","","","","","","","","Expe005_2a"
"JLX","","","","","","","","Expe005_2a"
"MRS","","","","","","","","Expe005_2a"
"AKN","","","","","","","","Expe005_2a"
"BDH","","","","","","","","Expe005_2a"
"MNY","","","","","","","","Expe005_2a"
"BEW","","","","","","","","Expe005_2a"
"BKZ","","","","","","","","Expe005_2a"
"EIR","","","","","","","","Expe005_2a"
"LRU","","","","","","","","Expe005_2a"
"DIW","","","","","","","","Expe005_2a"
"KQR","","","","","","","","Expe005_2a"
"ATY","","","","","","","","Expe005_2a"
"BHK","","","","","","","","Expe005_2a"
"SUV","","","","","","","","Expe005_2a"
"NSW","","","","","","","","Expe005_2a"
"BDG","","","","","","","","Expe005_2a"
"NSY","","","","","","","","Expe005_2a"
"EQW","","","","","","","","Expe005_2a"
"DQZ","","","","","","","","Expe005_2a"
"JTW","","","","","","","","Expe005_2a"
"GMS","","","","","","","","Expe005_2a"
"NQW","","","","","","","","Expe005_2a"
"MPT","","","","","","","","Expe005_2a"
"AGU","","","","","","","","Expe005_2a"
"IUZ","","","","","","","","Expe005_2a"
"IMS","","","","","","","","Expe005_2a"
"ABH","","","","","","","","Expe005_2a"
"JSU","","","","","","","","Expe005_2a"
"DLX","","","","","","","","Expe005_2a"
"AMS","","","","","","","","Expe005_2a"
"GQS","","","","","","","","Expe005_2a"
"AIV","","","","","","","","Expe005_2a"
"SVX","","","","","","","","Expe005_2a"
"EKP","","","","","","","","Expe005_2a"
"ISU","","","","","","","","Expe005_2a"
"FHO","","","","","","","","Expe005_2a"
"DKS","","","","","","","","Expe005_2a"
"EFT","","","","","","","","Expe005_2a"
"GXY","","","","","","","","Expe005_2a"
"ABE","","","","","","","","Expe005_2a"
"JKN","","","","","","","","Expe005_2a"
"BIR","","","","","","","","Expe005_2a"
"IQU","","","","","","","","Expe005_2a"
"LRZ","","","","","","","","Expe005_2a"
"FMP","","","","","","","","Expe005_2a"
"IWY","","","","","","","","Expe005_2a"
"NOT","","","","","","","","Expe005_2a"
"NPY","","","","","","","","Expe005_2a"
"HLX","","","","","","","","Expe005_2a"
"BFG","","","","","","","","Expe005_2a"
"GPS","","","","","","","","Expe005_2a"
"LOT","","","","","","","","Expe005_2a"
"HOU","","","","","","","","Expe005_2a"
"CFW","","","","","","","","Expe005_2a"
"HJT","","","","","","","","Expe005_2a"
"ADF","","","","","","","","Expe005_2a"
"ALN","","","","","","","","Expe005_2a"
"HUZ","","","","","","","","Expe005_2a"
"BGL","","","","","","","","Expe005_2a"
"BOV","","","","","","","","Expe005_2a"
"ACY","","","","","","","","Expe005_2a"
"COW","","","","","","","","Expe005_2a"
"DEW","","","","","","","","Expe005_2a"
"RSX","","","","","","","","Expe005_2a"
"CMV","","","","","","","","Expe005_2a"
"BQU","","","","","","","","Expe005_2a"
"GQW","","","","","","","","Expe005_2a"
"DFZ","","","","","","","","Expe005_2a"
"MNW","","","","","","","","Expe005_2a"
"OQS","","","","","","","","Expe005_2a"
"EFY","","","","","","","","Expe005_2a"
"LNW","","","","","","","","Expe005_2a"
"GPR","","","","","","","","Expe005_2a"
"ANO","","","","","","","","Expe005_2a"
"ORU","","","","","","","","Expe005_2a"
"CKO","","","","","","","","Expe005_2a"
"AOR","","","","","","","","Expe005_2a"
"KRU","","","","","","","","Expe005_2a"
"OTX","","","","","","","","Expe005_2a"
"CNW","","","","","","","","Expe005_2a"
"FJX","","","","","","","","Expe005_2a"
"DKN","","","","","","","","Expe005_2a"
"CJT","","","","","","","","Expe005_2a"
"IOX","","","","","","","","Expe005_2a"
"AJT","","","","","","","","Expe005_2a"
"ENX","","","","","","","","Expe005_2a"
"JNU","","","","","","","","Expe005_2a"
"JLO","","","","","","","","Expe005_2a"
"DQW","","","","","","","","Expe005_2a"
"BFV","","","","","","","","Expe005_2a"
"AOT","","","","","","","","Expe005_2a"
"KUY","","","","","","","","Expe005_2a"
"OQY","","","","","","","","Expe005_2a"
"CJO","","","","","","","","Expe005_2a"
"MPW","","","","","","","","Expe005_2a"
"GNV","","","","","","","","Expe005_2a"
"BEX","","","","","","","","Expe005_2a"
"CDX","","","","","","","","Expe005_2a"
"NUW","","","","","","","","Expe005_2a"
"BCM","","","","","","","","Expe005_2a"
"DGJ","","","","","","","","Expe005_2a"
"HIU","","","","","","","","Expe005_2a"
"FHI","","","","","","","","Expe005_2a"
"KMO","","","","","","","","Expe005_2a"
"AIN","","","","","","","","Expe005_2a"
"HJK","","","","","","","","Expe005_2a"
"SUY","","","","","","","","Expe005_2a"
"FLR","","","","","","","","Expe005_2a"
"BDY","","","","","","","","Expe005_2a"
"DHI","","","","","","","","Expe005_2a"
"DNO","","","","","","","","Expe005_2a"
"GMV","","","","","","","","Expe005_2a"
"BKL","","","","","","","","Expe005_2a"
"DKQ","","","","","","","","Expe005_2a"
"DMT","","","","","","","","Expe005_2a"
"IJS","","","","","","","","Expe005_2a"
"ABL","","","","","","","","Expe005_2a"
"DHW","","","","","","","","Expe005_2a"
"AHM","","","","","","","","Expe005_2a"
"PUY","","","","","","","","Expe005_2a"
"BNO","","","","","","","","Expe005_2a"
"BLT","","","","","","","","Expe005_2a"
"BGU","","","","","","","","Expe005_2a"
"LRS","","","","","","","","Expe005_2a"
"AHV","","","","","","","","Expe005_2a"
"AIP","","","","","","","","Expe005_2a"
"GOY","","","","","","","","Expe005_2a"
"BMS","","","","","","","","Expe005_2a"
"CDQ","","","","","","","","Expe005_2a"
"BFS","","","","","","","","Expe005_2a"
"ADG","","","","","","","","Expe005_2a"
"HXY","","","","","","","","Expe005_2a"
"ILS","","","","","","","","Expe005_2a"
"IOU","","","","","","","","Expe005_2a"
"BMV","","","","","","","","Expe005_2b"
"EGM","","","","","","","","Expe005_2b"
"AEY","","","","","","","","Expe005_2b"
"CNO","","","","","","","","Expe005_2b"
"CTU","","","","","","","","Expe005_2b"
"FGS","","","","","","","","Expe005_2b"
"AQZ","","","","","","","","Expe005_2b"
"MPQ","","","","","","","","Expe005_2b"
"CTY","","","","","","","","Expe005_2b"
"APV","","","","","","","","Expe005_2b"
"BNZ","","","","","","","","Expe005_2b"
"AFM","","","","","","","","Expe005_2b"
"BDO","","","","","","","","Expe005_2b"
"BDE","","","","","","","","Expe005_2b"
"CPX","","","","","","","","Expe005_2b"
"HVY","","","","","","","","Expe005_2b"
"BRY","","","","","","","","Expe005_2b"
"IOR","","","","","","","","Expe005_2b"
"NTZ","","","","","","","","Expe005_2b"
"DMX","","","","","","","","Expe005_2b"
"CPQ","","","","","","","","Expe005_2b"
"NPZ","","","","","","","","Expe005_2b"
"CJR","","","","","","","","Expe005_2b"
"HLS","","","","","","","","Expe005_2b"
"BCF","","","","","","","","Expe005_2b"
"BDR","","","","","","","","Expe005_2b"
"BGH","","","","","","","","Expe005_2b"
"BDK","","","","","","","","Expe005_2b"
"MOR","","","","","","","","Expe005_2b"
"BET","","","","","","","","Expe005_2b"
"BHU","","","","","","","","Expe005_2b"
"FPX","","","","","","","","Expe005_2b"
"BGW","","","","","","","","Expe005_2b"
"FMN","","","","","","","","Expe005_2b"
"EMW","","","","","","","","Expe005_2b"
"QXZ","","","","","","","","Expe005_2b"
"ADX","","","","","","","","Expe005_2b"
"GLU","","","","","","","","Expe005_2b"
"CRU","","","","","","","","Expe005_2b"
"LUX","","","","","","","","Expe005_2b"
"CHT","","","","","","","","Expe005_2b"
"KTV","","","","","","","","Expe005_2b"
"TVZ","","","","","","","","Expe005_2b"
"NSX","","","","","","","","Expe005_2b"
"GPZ","","","","","","","","Expe005_2b"
"DPQ","","","","","","","","Expe005_2b"
"ITZ","","","","","","","","Expe005_2b"
"EJR","","","","","","","","Expe005_2b"
"BCU","","","","","","","","Expe005_2b"
"JTZ","","","","","","","","Expe005_2b"
"CEU","","","","","","","","Expe005_2b"
"CNY","","","","","","","","Expe005_2b"
"EMU","","","","","","","","Expe005_2b"
"TUZ","","","","","","","","Expe005_2b"
"FKX","","","","","","","","Expe005_2b"
"CRZ","","","","","","","","Expe005_2b"
"EXY","","","","","","","","Expe005_2b"
"IKU","","","","","","","","Expe005_2b"
"JOR","","","","","","","","Expe005_2b"
"HKQ","","","","","","","","Expe005_2b"
"JMN","","","","","","","","Expe005_2b"
"EOS","","","","","","","","Expe005_2b"
"DLY","","","","","","","","Expe005_2b"
"AEK","","","","","","","","Expe005_2b"
"BMQ","","","","","","","","Expe005_2b"
"EVX","","","","","","","","Expe005_2b"
"HSX","","","","","","","","Expe005_2b"
"HRX","","","","","","","","Expe005_2b"
"GKW","","","","","","","","Expe005_2b"
"OUZ","","","","","","","","Expe005_2b"
"NTW","","","","","","","","Expe005_2b"
"JRU","","","","","","","","Expe005_2b"
"CLY","","","","","","","","Expe005_2b"
"BJL","","","","","","","","Expe005_2b"
"QTU","","","","","","","","Expe005_2b"
"KQT","","","","","","","","Expe005_2b"
"HKM","","","","","","","","Expe005_2b"
"DMP","","","","","","","","Expe005_2b"
"EUX","","","","","","","","Expe005_2b"
"DEL","","","","","","","","Expe005_2b"
"COY","","","","","","","","Expe005_2b"
"BJT","","","","","","","","Expe005_2b"
"DGL","","","","","","","","Expe005_2b"
"NQZ","","","","","","","","Expe005_2b"
"OPX","","","","","","","","Expe005_2b"
"DJO","","","","","","","","Expe005_2b"
"EFQ","","","","","","","","Expe005_2b"
"ADU","","","","","","","","Expe005_2b"
"MST","","","","","","","","Expe005_2b"
"LNQ","","","","","","","","Expe005_2b"
"PSZ","","","","","","","","Expe005_2b"
"KPQ","","","","","","","","Expe005_2b"
"ELO","","","","","","","","Expe005_2b"
"BIZ","","","","","","","","Expe005_2b"
"GJK","","","","","","","","Expe005_2b"
"KPR","","","","","","","","Expe005_2b"
"LNS","","","","","","","","Expe005_2b"
"HSY","","","","","","","","Expe005_2b"
"LST","","","","","","","","Expe005_2b"
"DHX","","","","","","","","Expe005_2b"
"DEX","","","","","","","","Expe005_2b"
"BEI","","","","","","","","Expe005_2b"
"ITY","","","","","","","","Expe005_2b"
"DJR","","","","","","","","Expe005_2b"
"BJW","","","","","","","","Expe005_2b"
"JQX","","","","","","","","Expe005_2b"
"CRT","","","","","","","","Expe005_2b"
"DJS","","","","","","","","Expe005_2b"
"GNW","","","","","","","","Expe005_2b"
"JNQ","","","","","","","","Expe005_2b"
"BIJ","","","","","","","","Expe005_2b"
"CEF","","","","","","","","Expe005_2b"
"KMU","","","","","","","","Expe005_2b"
"ENS","","","","","","","","Expe005_2b"
"IUV","","","","","","","","Expe005_2b"
"ANV","","","","","","","","Expe005_2b"
"HSW","","","","","","","","Expe005_2b"
"FGM","","","","","","","","Expe005_2b"
"FTU","","","","","","","","Expe005_2b"
"PQS","","","","","","","","Expe005_2b"
"BPY","","","","","","","","Expe005_2b"
"FIV","","","","","","","","Expe005_2b"
"GTV","","","","","","","","Expe005_2b"
"AEI","","","","","","","","Expe005_2b"
"KYZ","","","","","","","","Expe005_2b"
"DKY","","","","","","","","Expe005_2b"
"FYZ","","","","","","","","Expe005_2b"
"RWX","","","","","","","","Expe005_2b"
"KUW","","","","","","","","Expe005_2b"
"FHS","","","","","","","","Expe005_2b"
"LPY","","","","","","","","Expe005_2b"
"EGJ","","","","","","","","Expe005_2b"
"BIU","","","","","","","","Expe005_2b"
"FLO","","","","","","","","Expe005_2b"
"JUY","","","","","","","","Expe005_2b"
"EQV","","","","","","","","Expe005_2b"
"JTY","","","","","","","","Expe005_2b"
"HKO","","","","","","","","Expe005_2b"
"GQV","","","","","","","","Expe005_2b"
"CDR","","","","","","","","Expe005_2b"
"DJL","","","","","","","","Expe005_2b"
"FRU","","","","","","","","Expe005_2b"
"ISV","","","","","","","","Expe005_2b"
"JSX","","","","","","","","Expe005_2b"
"CLX","","","","","","","","Expe005_2b"
"TVW","","","","","","","","Expe005_2b"
"CVZ","","","","","","","","Expe005_2b"
"GSY","","","","","","","","Expe005_2b"
"OSV","","","","","","","","Expe005_2b"
"MQU","","","","","","","","Expe005_2b"
"NWY","","","","","","","","Expe005_2b"
"DQS","","","","","","","","Expe005_2b"
"GMO","","","","","","","","Expe005_2b"
"JPS","","","","","","","","Expe005_2b"
"HNW","","","","","","","","Expe005_2b"
"DGZ","","","","","","","","Expe005_2b"
"HRZ","","","","","","","","Expe005_2b"
"HIJ","","","","","","","","Expe005_2b"
"MSX","","","","","","","","Expe005_2b"
"AGR","","","","","","","","Expe005_2b"
"BMU","","","","","","","","Expe005_2b"
"LRV","","","","","","","","Expe005_2b"
"IKY","","","","","","","","Expe005_2b"
"EYZ","","","","","","","","Expe005_2b"
"TYZ","","","","","","","","Expe005_2b"
"HMO","","","","","","","","Expe005_2b"
"BGX","","","","","","","","Expe005_2b"
"HMV","","","","","","","","Expe005_2b"
"FGN","","","","","","","","Expe005_2b"
"CPZ","","","","","","","","Expe005_2b"
"FNT","","","","","","","","Expe005_2b"
"DYZ","","","","","","","","Expe005_2b"
"FKU","","","","","","","","Expe005_2b"
"GUY","","","","","","","","Expe005_2b"
"LMN","","","","","","","","Expe005_2b"
"BDS","","","","","","","","Expe005_2b"
"IPZ","","","","","","","","Expe005_2b"
"JPT","","","","","","","","Expe005_2b"
"BPW","","","","","","","","Expe005_2b"
"JTU","","","","","","","","Expe005_2b"
"JRY","","","","","","","","Expe005_2b"
"BJO","","","","","","","","Expe005_2b"
"EUY","","","","","","","","Expe005_2b"
"LTX","","","","","","","","Expe005_2b"
"AER","","","","","","","","Expe005_2b"
"ILP","","","","","","","","Expe005_2b"
"BUW","","","","","","","","Expe005_2b"
"GUZ","","","","","","","","Expe005_2b"
"IKN","","","","","","","","Expe005_2b"
"PSW","","","","","","","","Expe005_2b"
"APS","","","","","","","","Expe005_2b"
"FPT","","","","","","","","Expe005_2b"
"ENP","","","","","","","","Expe005_2b"
"DIU","","","","","","","","Expe005_2b"
"MOP","","","","","","","","Expe005_2b"
"BGS","","","","","","","","Expe005_2b"
"LNR","","","","","","","","Expe005_2b"
"ILW","","","","","","","","Expe005_2b"
"NVX","","","","","","","","Expe005_2b"
"GPU","","","","","","","","Expe005_2b"
"CFP","","","","","","","","Expe005_2b"
"DIR","","","","","","","","Expe005_2b"
"ILV","","","","","","","","Expe005_2b"
"ADJ","","","","","","","","Expe005_2b"
"IMZ","","","","","","","","Expe005_2b"
"BLV","","","","","","","","Expe005_2b"
"DNV","","","","","","","","Expe005_2b"
"KLR","","","","","","","","Expe005_2b"
"KRT","","","","","","","","Expe005_2b"
"DST","","","","","","","","Expe005_2b"
"BSV","","","","","","","","Expe005_2b"
"AMP","","","","","","","","Expe005_2b"
"LOZ","","","","","","","","Expe005_2b"
"CDM","","","","","","","","Expe005_2b"
"ADV","","","","","","","","Expe005_2b"
"DNW","","","","","","","","Expe005_2b"
"CRX","","","","","","","","Expe005_2b"
"AFL","","","","","","","","Expe005_2b"
"QRZ","","","","","","","","Expe005_2b"
"LPR","","","","","","","","Expe005_2b"
"FMR","","","","","","","","Expe005_2b"
"CNV","","","","","","","","Expe005_2b"
"EJP","","","","","","","","Expe005_2b"
"QSX","","","","","","","","Expe005_2b"
"FQW","","","","","","","","Expe005_2b"
"GOS","","","","","","","","Expe005_2b"
"MUX","","","","","","","","Expe005_2b"
"MNQ","","","","","","","","Expe005_2b"
"BGP","","","","","","","","Expe005_2b"
"MRW","","","","","","","","Expe005_2b"
"BLS","","","","","","","","Expe005_2b"
"GOR","","","","","","","","Expe005_2b"
"DKL","","","","","","","","Expe005_2b"
"GNS","","","","","","","","Expe005_2b"
"KQS","","","","","","","","Expe005_2b"
"GIN","","","","","","","","Expe005_2b"
"BHL","","","","","","","","Expe005_2b"
"ALO","","","","","","","","Expe005_2b"
"CEL","","","","","","","","Expe005_2b"
"KSW","","","","","","","","Expe005_2b"
"DJK","","","","","","","","Expe005_2b"
"JVW","","","","","","","","Expe005_2b"
"KQU","","","","","","","","Expe005_2b"
"OSU","","","","","","","","Expe005_2b"
"EPX","","","","","","","","Expe005_2b"
"JKX","","","","","","","","Expe005_2b"
"JPU","","","","","","","","Expe005_2b"
"ABC","","","","","","","","Expe005_2b"
"DIO","","","","","","","","Expe005_2b"
"BPV","","","","","","","","Expe005_2b"
"CHJ","","","","","","","","Expe005_2b"
"GLQ","","","","","","","","Expe005_2b"
"HOQ","","","","","","","","Expe005_2b"
"QUZ","","","","","","","","Expe005_2b"
"KMT","","","","","","","","Expe005_2b"
"AHK","","","","","","","","Expe005_2b"
"GNY","","","","","","","","Expe005_2b"
"AFS","","","","","","","","Expe005_2b"
"ADL","","","","","","","","Expe005_2b"
"ACF","","","","","","","","Expe005_2b"
"BFW","","","","","","","","Expe005_2b"
"ACX","","","","","","","","Expe005_2b"
"CJM","","","","","","","","Expe005_2b"
"NOY","","","","","","","","Expe005_2b"
"EGR","","","","","","","","Expe005_2b"
"GIJ","","","","","","","","Expe005_2b"
"GOX","","","","","","","","Expe005_2b"
"BIV","","","","","","","","Expe005_2b"
"CMR","","","","","","","","Expe005_2b"
"FIQ","","","","","","","","Expe005_2b"
"AKY","","","","","","","","Expe005_2b"
"BNQ","","","","","","","","Expe005_2b"
"AGP","","","","","","","","Expe005_2b"
"DSV","","","","","","","","Expe005_2b"
"AHN","","","","","","","","Expe005_2b"
"FKL","","","","","","","","Expe005_2b"
"IQV","","","","","","","","Expe005_2b"
"HJP","","","","","","","","Expe005_2b"
"IRW","","","","","","","","Expe005_2b"
"COS","","","","","","","","Expe005_2b"
"GRS","","","","","","","","Expe005_2b"
"BIT","","","","","","","","Expe005_2b"
"DMS","","","","","","","","Expe005_2b"
"GVW","","","","","","","","Expe005_2b"
"EFX","","","","","","","","Expe005_2b"
"CRV","","","","","","","","Expe005_2b"
"HKP","","","","","","","","Expe005_2b"
"CDK","","","","","","","","Expe005_2b"
"ADY","","","","","","","","Expe005_2b"
"BTX","","","","","","","","Expe005_2b"
"CDH","","","","","","","","Expe005_2b"
"CGM","","","","","","","","Expe005_2b"
"AJP","","","","","","","","Expe005_2b"
"XYZ","","","","","","","","Expe005_2b"
"EFP","","","","","","","","Expe005_2b"
"LWY","","","","","","","","Expe005_2b"
"INY","","","","","","","","Expe005_2b"
"IWZ","","","","","","","","Expe005_2b"
"LOV","","","","","","","","Expe005_2b"
"HQS","","","","","","","","Expe005_2b"
"ORT","","","","","","","","Expe005_2b"
"BMZ","","","","","","","","Expe005_2b"
"EGT","","","","","","","","Expe005_2b"
"CFI","","","","","","","","Expe005_2b"
"LNV","","","","","","","","Expe005_2b"
"EQT","","","","","","","","Expe005_2b"
"IPV","","","","","","","","Expe005_2b"
"CDO","","","","","","","","Expe005_2b"
"RUZ","","","","","","","","Expe005_2b"
"ORS","","","","","","","","Expe005_2b"
"QRW","","","","","","","","Expe005_2b"
"IKV","","","","","","","","Expe005_2b"
"EFZ","","","","","","","","Expe005_2b"
"ISY","","","","","","","","Expe005_2b"
"GWZ","","","","","","","","Expe005_2b"
"CLP","","","","","","","","Expe005_2b"
"MUZ","","","","","","","","Expe005_2b"
"HLN","","","","","","","","Expe005_2b"
"BCT","","","","","","","","Expe005_2b"
"BCP","","","","","","","","Expe005_2b"
"FXZ","","","","","","","","Expe005_2b"
"AFQ","","","","","","","","Expe005_2b"
"NUZ","","","","","","","","Expe005_2b"
"QSW","","","","","","","","Expe005_2b"
"GOW","","","","","","","","Expe005_2b"
"MPS","","","","","","","","Expe005_2b"
"CGK","","","","","","","","Expe005_2b"
"JST","","","","","","","","Expe005_2b"
"GLS","","","","","","","","Expe005_2b"
"JQV","","","","","","","","Expe005_2b"
"CPV","","","","","","","","Expe005_2b"
"FMW","","","","","","","","Expe005_2b"
"DQR","","","","","","","","Expe005_2b"
"HJO","","","","","","","","Expe005_2b"
"ESW","","","","","","","","Expe005_2b"
"MNZ","","","","","","","","Expe005_2b"
"IMU","","","","","","","","Expe005_2b"
"GHW","","","","","","","","Expe005_2b"
"JUW","","","","","","","","Expe005_2b"
"BPZ","","","","","","","","Expe005_2b"
"BER","","","","","","","","Expe005_2b"
"CEI","","","","","","","","Expe005_2b"
"BFT","","","","","","","","Expe005_2b"
"ARW","","","","","","","","Expe005_2b"
"DHL","","","","","","","","Expe005_2b"
"FKR","","","","","","","","Expe005_2b"
"ADM","","","","","","","","Expe005_2b"
"AMN","","","","","","","","Expe005_2b"
"HWX","","","","","","","","Expe005_2b"
"DJY","","","","","","","","Expe005_2b"
"DHT","","","","","","","","Expe005_2b"
"LVX","","","","","","","","Expe005_2b"
"DVX","","","","","","","","Expe005_2b"
"MUY","","","","","","","","Expe005_2b"
"JXY","","","","","","","","Expe005_2b"
"BKO","","","","","","","","Expe005_2b"
"ABF","","","","","","","","Expe005_2b"
"AQT","","","","","","","","Expe005_2b"
"HOT","","","","","","","","Expe005_2b"
"DHO","","","","","","","","Expe005_2b"
"EIS","","","","","","","","Expe005_2b"
"GMU","","","","","","","","Expe005_2b"
"GKO","","","","","","","","Expe005_2b"
"IPX","","","","","","","","Expe005_2b"
"MNX","","","","","","","","Expe005_2b"
"GTZ","","","","","","","","Expe005_2b"
"EGK","","","","","","","","Expe005_2b"
"EQX","","","","","","","","Expe005_2b"
"NVY","","","","","","","","Expe005_2b"
"AVW","","","","","","","","Expe005_2b"
"JPZ","","","","","","","","Expe005_2b"
"JXZ","","","","","","","","Expe005_2b"
"KNP","","","","","","","","Expe005_2b"
