,Sample,cell.counting.x106.,cell_counts,ThCD4p,TcCD8p,Th1IFNgp_in_CD4p,Th17IL17Ap_in_CD4p,Tc1IFNgp_in_CD8p,Treg_Foxp3_in_CD4p,Dividing_Ki67p_in_Foxp3p,RORgtp_in_Foxp3p,Th1Tbetp_in_CD4pFoxp3n,Dividing_Ki67p_in_Tbetp,Th17RORgp_in_CD4pFoxp3n,Dividing_Ki67p_in_RORgtp,EH_ID,Position,ThCD4p.cells,TcCD8p.cells,Th1IFNgp_in_CD4p.cells,Th17IL17Ap_in_CD4p.cells,Treg_Foxp3_in_CD4p.cells,Tc1IFNgp_in_CD8p.cells,RORgtp_in_Foxp3p.cells,Dividing_Ki67p_in_Foxp3p.cells,Dividing_Ki67p_in_RORgtp.cells,ThCD4p_Foxp3n,ThCD4p_Foxp3n.cells,Th1Tbetp_in_CD4pFoxp3n.cells,Th17RORgp_in_CD4pFoxp3n.cells,Dividing_Ki67p_in_Tbetp.cells
1,1: Anterior LN_60_026.fcs,2.4,2400000,50.46,15.18,3.37,0.35,20.89,6.69,13.74,9.3,4.76,64.9,0.79,44.33,LM0260,Anterior,1211040,364320,40812.048,4238.64,81018.576,76106.448,7534.727568,1035.2715678432,3340.1447308944,89.59,1211033.31,57645.185556,9567.163149,37411.725425844
2,2: Anterior LN_62_027.fcs,1.1,1100000,48.12,13.39,5.13,0.28,22.26,8.14,17.97,7.04,8.44,71.46,1.16,39.96,LM0262,Anterior,529320,147290,27154.116,1482.096,43086.648,32786.754,3033.3000192,545.08401345024,1212.10668767232,86.45,529311.86,44673.920984,6140.017576,31923.9839351664
3,3: Anterior LN_63_028.fcs,1.5,1500000,47.69,15.97,2.7,0.59,38.9,9.12,11.25,5.62,3.07,25.24,0.88,26.34,LM0263,Anterior,715350,239550,19314.45,4220.565,65239.92,93184.95,3666.483504,412.4793942,965.7517549536,87.59,715340.88,21960.965016,6294.999744,5542.9475700384
4,4: Anterior LN_65_029.fcs,2.7,2700000,41.87,23.71,7.54,0.81,35.28,6.01,19.88,7.79,8,81.56,1.38,78.73,LM0265,Anterior,1130490,640170,85238.946,9156.969,67942.449,225851.976,5292.7167771,1052.19209528748,4166.95591861083,85.64,1130483.99,90438.7192,15600.679062,73761.81937952
5,5: Anterior LN_69_036.fcs,2.4,2400000,50.39,16.49,2.19,0.3,16.82,10.09,9.81,6.04,3.57,21.74,1.04,27.03,LM0269,Anterior,1209360,395760,26484.984,3628.08,122024.424,66566.832,7370.2752096,723.02399806176,1992.18538915488,87.42,1209349.91,43173.791787,12577.239064,9385.9823344938
6,6: Anterior LN_70_030.fcs,4.3,4300000,48.96,7.51,2.75,0.22,20.1,7.82,9.9,3.68,2.76,25.6,0.53,32.76,LM0270,Anterior,2105280,322930,57895.2,4631.616,164632.896,64908.93,6058.4905728,599.7905667072,1984.76151164928,89.21,2105272.18,58105.512168,11157.942554,14875.011115008
7,7: Anterior LN_72_040.fcs,2.9,2900000,51.56,9.4,7.41,0.18,26.46,6.66,21.73,10.01,7.07,75.83,0.97,69.17,LM0272,Anterior,1495240,272600,110797.284,2691.432,99582.984,72129.96,9968.2566984,2166.10218056232,6895.04315828328,85.75,1495233.34,105712.997138,14503.763398,80162.1657297454
8,8: Anterior LN_73_049.fcs,3.4,3400000,45.84,12.71,8.22,0.34,27.15,7.79,12.84,7.35,8.67,49.02,1.22,33.04,LM0273,Anterior,1558560,432140,128113.632,5299.104,121411.824,117326.01,8923.769064,1145.8119478176,2948.4132987456,83.65,1558552.21,135126.476607,19014.336962,66238.9988327514
9,9: Anterior LN_75_041.fcs,1.5,1500000,51.48,9.76,11.39,0.51,51.56,7.2,15.57,6.92,6.18,61.95,1.15,65.82,LM0275,Anterior,772200,146400,87953.58,3938.22,55598.4,75483.84,3847.40928,599.041624896,2532.364788096,80.9,772192.8,47721.51504,8880.2172,29563.47856728
10,10: Anterior LN_76_039.fcs,5.2,5200000,44.21,26.35,3.76,0.15,27.62,9.79,13.27,5.67,7.33,78.42,1.27,49.29,LM0276,Anterior,2298920,1370200,86439.392,3448.38,225064.268,378449.24,12761.1439956,1693.40380821612,6289.96787543124,86.3,2298910.21,168510.118393,29196.159667,132145.634843791
