"Mouse_ID","weight","weightloss","fecweight","weightRelativeToInfection(%)","dpi","infection_isolate","sex"
1,32.3,0,0,100,0,"EfLab","female"
2,37,0,0,100,0,"EfLab","female"
3,42.6,0,0,100,0,"EfLab","male"
4,40.8,0,0,100,0,"EfLab","male"
5,41.4,0,0,100,0,"EfLab","male"
6,37.8,0,0,100,0,"EfLab","male"
7,40.7,0,0,100,0,"E64","male"
8,42.6,0,0,100,0,"E64","male"
9,40.7,0,0,100,0,"E64","male"
10,30.4,0,0,100,0,"E64","female"
11,34,0,0,100,0,"E64","female"
12,27.8,0,0,100,0,"E64","female"
13,38.4,0,0,100,0,"E88","male"
14,42.8,0,0,100,0,"E88","male"
15,41.6,0,0,100,0,"E88","male"
16,36.2,0,0,100,0,"E88","female"
17,34.6,0,0,100,0,"E88","female"
18,33.4,0,0,100,0,"E88","female"
19,40.3,0,0,100,0,"E139","male"
20,44.4,0,0,100,0,"E139","male"
21,33.2,0,0,100,0,"E139","female"
22,35.2,0,0,100,0,"E139","female"
23,35.5,0,0,100,0,"E139","female"
1,33.5,0,2.26,103.715170278638,1,"EfLab","female"
2,36.8,0.54,1.32,99.4594594594595,1,"EfLab","female"
3,42.2,0.94,1.8,99.0610328638498,1,"EfLab","male"
4,41.3,0,1.67,101.225490196078,1,"EfLab","male"
5,42,0,3.1,101.449275362319,1,"EfLab","male"
6,38.3,0,2.42,101.322751322751,1,"EfLab","male"
7,40.4,0.74,1.92,99.2628992628993,1,"E64","male"
8,42.6,0,1.78,100,1,"E64","male"
9,40.9,0,2.21,100.4914004914,1,"E64","male"
10,30.8,0,1.13,101.315789473684,1,"E64","female"
11,33.6,1.17,1.96,98.8235294117647,1,"E64","female"
12,28.2,0,1.3,101.438848920863,1,"E64","female"
13,38,1.04,1.63,98.9583333333333,1,"E88","male"
14,40.5,5.55,2.55,94.6261682242991,1,"E88","male"
15,41.3,0.72,2.04,99.2788461538461,1,"E88","male"
16,36,0.55,0.86,99.4475138121547,1,"E88","female"
17,34.4,0.57,1.04,99.4219653179191,1,"E88","female"
18,33,1.2,0.84,98.8023952095808,1,"E88","female"
19,40,0.74,2.69,99.2555831265509,1,"E139","male"
20,44.3,0.22,2.28,99.7747747747748,1,"E139","male"
21,32.7,1.5,1.95,98.4939759036145,1,"E139","female"
22,34.8,1.13,1.1,98.8636363636363,1,"E139","female"
23,35.4,0.28,1.67,99.7183098591549,1,"E139","female"
1,33.8,0,1.66,104.643962848297,2,"EfLab","female"
2,36.9,0.27,2.36,99.7297297297297,2,"EfLab","female"
3,41.2,3.33,2.69,96.7136150234742,2,"EfLab","male"
4,39.9,2.22,1.82,97.7941176470588,2,"EfLab","male"
5,40.9,1.2,2.93,98.792270531401,2,"EfLab","male"
6,38.4,0,2.61,101.587301587302,2,"EfLab","male"
7,39.9,2,3.53,98.034398034398,2,"E64","male"
8,42.6,0,2.85,100,2,"E64","male"
9,40.7,0,2.63,100,2,"E64","male"
10,30.2,0.65,1.19,99.3421052631579,2,"E64","female"
11,32.2,5.55,1.62,94.7058823529412,2,"E64","female"
12,27.8,0,2.44,100,2,"E64","female"
13,38,1.04,1.36,98.9583333333333,2,"E88","male"
14,39.4,8,2.67,92.0560747663551,2,"E88","male"
15,41.3,0.72,3.64,99.2788461538461,2,"E88","male"
16,35.4,2.22,1.73,97.7900552486188,2,"E88","female"
17,34.7,0,2.07,100.28901734104,2,"E88","female"
18,33.4,0,2.09,100,2,"E88","female"
19,39.4,2.27,2.34,97.7667493796526,2,"E139","male"
20,44.3,0.22,2.66,99.7747747747748,2,"E139","male"
21,32,3.7,2.11,96.3855421686747,2,"E139","female"
22,34.3,2.56,1.55,97.4431818181818,2,"E139","female"
23,34.8,2,2.19,98.0281690140845,2,"E139","female"
1,33.5,0,2.96,103.715170278638,3,"EfLab","female"
2,38,0,2.85,102.702702702703,3,"EfLab","female"
3,41.1,3.5,3.67,96.4788732394366,3,"EfLab","male"
4,40.4,0.98,2.94,99.0196078431373,3,"EfLab","male"
5,41.5,0,3.05,100.24154589372,3,"EfLab","male"
6,37.8,0,4.12,100,3,"EfLab","male"
7,40.1,1.49,3.26,98.5257985257985,3,"E64","male"
8,42.6,0,2.58,100,3,"E64","male"
9,40.5,0.49,2.71,99.5085995085995,3,"E64","male"
10,30.4,0,2.82,100,3,"E64","female"
11,31.8,6.66,2.18,93.5294117647059,3,"E64","female"
12,27.8,0,2.29,100,3,"E64","female"
13,37.5,2.38,3.94,97.65625,3,"E88","male"
14,38.7,10,2.35,90.4205607476636,3,"E88","male"
15,41.4,1.36,3.86,99.5192307692308,3,"E88","male"
16,35,3.33,2.13,96.6850828729282,3,"E88","female"
17,34.4,0.57,2.11,99.4219653179191,3,"E88","female"
