Conc,OD
500,2778
500,2753
500,2779
500,2821
500,2777
500,2828
250,1890
250,1786
250,1882
250,1779
250,1894
250,1787
125,825
125,935
125,832
125,953
125,847
125,960
62.5,551
62.5,522
62.5,547
62.5,526
62.5,555
62.5,529
31.25,263
31.25,256
31.25,264
31.25,260
31.25,268
31.25,264
15.625,151
15.625,125
15.625,150
15.625,127
15.625,150
15.625,130
7.8125,61
7.8125,63
7.8125,62
7.8125,64
7.8125,63
7.8125,64
0,0
0,0
0,0
0,0
0,0
0,0
