"","label","EH_ID","IFNy_CEWE","delta","CXCR3","IL.12","IRG6","Eim_MC","AVG","totalOocysts","dpi","weight","weight_dpi0","faeces_weight","wloss","batch","primary","challenge","infHistory","OPG","IFNy_FEC"
"1","P3bBQA","LM_0343",19.2799309525011,-8.44,-4.82375,-4.39875,-2.47875,"neg",0,0,8,52.9,56.5,1.62,93.6283185840708,"b",NA,"UNI","E139:UNI",0,NA
"2","P3bBWS","LM_0336",123.779469601635,-4.02,-4.9625,-3.73166666666667,-5.355,"pos",19.75,395000,7,43.8,52.3,0.88,83.7476099426386,"b",NA,"E64","E88:E64",448863.636363636,NA
"3","P3bFLD","LM_0340",50.9646675101204,-10.49,-5.69375,-4.47625,-7.54625,"pos",0,0,8,49.7,53.6,2.44,92.7238805970149,"b",NA,"UNI","E64:UNI",0,NA
"4","P3bFMI","LM_0347",43.5591598840579,-8.73,-5.4825,-4.365,-2.5175,"pos",0.75,15000,8,60.4,69.1,2.65,87.4095513748191,"b",NA,"E88","E88:E88",5660.37735849057,NA
"5","P3bFWG","LM_0338",380.523992986736,-1.65,-4.73125,-2.56875,-1.18625,"pos",8,160000,8,48.3,50.2,1.5,96.2151394422311,"b",NA,"E88","E64:E88",106666.666666667,NA
"6","P3bFYX","LM_0345",176.343595005784,-4.38,-5.8625,-5.0325,-2.6525,"pos",87.75,1755000,7,54.8,59.2,1.96,92.5675675675675,"b",NA,"E64","UNI:E64",895408.163265306,NA
"7","P3bIIT","LM_0335",23.6249410096919,-5.57,-5.565,-3.9,-2.325,"pos",0,0,8,45.6,47,1.78,97.0212765957447,"b",NA,"UNI","E88:UNI",0,NA
"8","P3bJRF","LM_0333",223.244833284625,-4.27,-4.2175,-4.325,-0.550000000000001,"pos",74,1480000,7,45.5,50,1.99,91,"b",NA,"E64","Eflab:E64",743718.592964824,NA
"9","P3bKMJ","LM_0337",33.1153542171992,-7.09,-4.49,-2.685,-1.2725,"pos",0.25,5000,8,43.2,44.9,1.43,96.2138084632517,"b",NA,"UNI","E88:UNI",3496.5034965035,NA
"10","P3bNQG","LM_0341",300.31142053042,-1.78,-4.64625,-3.78125,-1.74875,"pos",1,20000,8,52.5,58.1,0.79,90.3614457831325,"b",NA,"E88","E139:E88",25316.4556962025,NA
"11","P3bRLW","LM_0334",47.4564142166688,-4.94,-5.3925,-4.61,-2.4,"pos",0,0,8,45.1,47.3,2.15,95.3488372093024,"b",NA,"UNI","Eflab:UNI",0,NA
"12","P3bTBI","LM_0332",224.33938439495,-5.12,-5.4525,-5.085,-2.025,"pos",0,0,8,50.6,51.3,2.4,98.635477582846,"b",NA,"E88","Eflab:E88",0,NA
"13","P3bUHH","LM_0339",76.1230512085418,-8.94,-4.2725,-2.2675,-1.095,"pos",7.5,150000,7,42,48.5,1.11,86.5979381443299,"b",NA,"E64","E64:E64",135135.135135135,NA
"14","P3bVJA","LM_0346",14.9964342922672,-8.74,-5.47875,-4.52875,-2.47625,"pos",0,0,8,49.4,53.2,1.87,92.8571428571429,"b",NA,"UNI","UNI:UNI",0,NA
"15","P3bXAK","LM_0344",3.67231170010524,-8.06,-5.1025,-3.615,-2.6825,"pos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","P3bXFC","LM_0342",26.8867342101947,-6.11,-5.0575,-4.1675,-2.525,"pos",2.25,45000,7,46.5,55.6,1.14,83.6330935251799,"b",NA,"E64","E139:E64",39473.6842105263,NA
"17","P3aATV","LM_0333",NA,NA,NA,NA,NA,NA,16.25,325000,8,49,52.7,1.72,92.9791271347249,"a","Eflab",NA,"Eflab:E64",188953.488372093,NA
"18","P3aAZR","LM_0336",NA,NA,NA,NA,NA,NA,23.75,475000,9,43.7,51.9,1.02,84.2003853564547,"a","E88",NA,"E88:E64",465686.274509804,NA
"19","P3aBBD","LM_0332",NA,NA,NA,NA,NA,NA,1,20000,10,47.6,61.2,0.27,77.7777777777778,"a","Eflab",NA,"Eflab:E88",74074.0740740741,NA
"20","P3aBSJ","LM_0337",NA,NA,NA,NA,NA,NA,1.5,30000,11,40.8,44.7,2.49,91.2751677852349,"a","E88",NA,"E88:UNI",12048.1927710843,NA
"21","P3aCCY","LM_0345",NA,NA,NA,NA,NA,NA,0,NA,9,57.3,60.7,4.44,94.3986820428336,"a","UNI",NA,"UNI:E64",NA,NA
"22","P3aCXA","LM_0339",NA,NA,NA,NA,NA,NA,106.5,2130000,7,46.6,49.6,1.93,93.9516129032258,"a","E64",NA,"E64:E64",1103626.94300518,NA
"23","P3aDAL","LM_0344",NA,NA,NA,NA,NA,NA,0,0,5,50.7,51.4,3.15,98.6381322957199,"a","UNI",NA,"UNI:E88",0,0
"24","P3aDJM","LM_0343",NA,NA,NA,NA,NA,NA,4.5,90000,7,51,59.8,1.13,85.2842809364548,"a","E139",NA,"E139:UNI",79646.0176991151,296.748537396371
"25","P3aDTY","LM_0343",NA,NA,NA,NA,NA,NA,0,0,4,56.2,59.8,2.77,93.9799331103679,"a","E139",NA,"E139:UNI",0,0
"26","P3aDUN","LM_0347",NA,NA,NA,NA,NA,NA,68.25,1365000,7,65.5,71.5,3.75,91.6083916083916,"a","E88",NA,"E88:E88",364000,26.2920556868341
"27","P3aDWO","LM_0338",NA,NA,NA,NA,NA,NA,22.75,455000,7,46.4,51.3,2.61,90.448343079922,"a","E64",NA,"E64:E88",174329.501915709,0
"28","P3aDXD","LM_0346",NA,NA,NA,NA,NA,NA,0,0,8,52.4,53.9,3.7,97.2170686456401,"a","UNI",NA,"UNI:UNI",0,NA
"29","P3aEEZ","LM_0338",NA,NA,NA,NA,NA,NA,26.75,535000,5,46.4,51.3,1.94,90.448343079922,"a","E64",NA,"E64:E88",275773.195876289,71.4308186448006
"30","P3aENK","LM_0333",NA,NA,NA,NA,NA,NA,0,0,11,43.2,52.7,1.45,81.9734345351044,"a","Eflab",NA,"Eflab:E64",0,NA
"31","P3aETL","LM_0337",NA,NA,NA,NA,NA,NA,13,260000,7,44.7,44.7,3.44,100,"a","E88",NA,"E88:UNI",75581.3953488372,NA
"32","P3aFJS","LM_0346",NA,NA,NA,NA,NA,NA,0,0,7,52.7,53.9,3.12,97.7736549165121,"a","UNI",NA,"UNI:UNI",0,0
"33","P3aFLM","LM_0335",NA,NA,NA,NA,NA,NA,16.75,335000,9,43.6,49.4,2.8,88.2591093117409,"a","E88",NA,"E88:UNI",119642.857142857,NA
"34","P3aFOK","LM_0332",NA,NA,NA,NA,NA,NA,0.5,10000,11,45.9,61.2,0.49,75,"a","Eflab",NA,"Eflab:E88",20408.1632653061,NA
"35","P3aHIX","LM_0339",NA,NA,NA,NA,NA,NA,0,0,3,48.5,49.6,2.62,97.7822580645161,"a","E64",NA,"E64:E64",0,5.92617647133014
"36","P3aIZU","LM_0344",NA,NA,NA,NA,NA,NA,0,0,9,50,51.4,1.5,97.2762645914397,"a","UNI",NA,"UNI:E88",0,NA
"37","P3aJGV","LM_0345",NA,NA,NA,NA,NA,NA,0,0,6,56.7,60.7,2.58,93.4102141680395,"a","UNI",NA,"UNI:E64",0,0
"38","P3aJIH","LM_0334",NA,NA,NA,NA,NA,NA,0,0,11,39.4,50.7,0.85,77.7120315581854,"a","Eflab",NA,"Eflab:UNI",0,NA
"39","P3aJIX","LM_0334",NA,NA,NA,NA,NA,NA,4.25,85000,7,47.4,50.7,2.07,93.491124260355,"a","Eflab",NA,"Eflab:UNI",41062.8019323672,1.13376266139588
"40","P3aJJH","LM_0341",NA,NA,NA,NA,NA,NA,19,380000,5,51.2,59.1,1.95,86.6328257191202,"a","E139",NA,"E139:E88",194871.794871795,279.378503473262
"41","P3aJOI","LM_0333",NA,NA,NA,NA,NA,NA,1,20000,10,42.8,52.7,0.6,81.2144212523719,"a","Eflab",NA,"Eflab:E64",33333.3333333333,NA
"42","P3aJVR","LM_0334",NA,NA,NA,NA,NA,NA,0.5,10000,10,40.2,50.7,0.57,79.2899408284024,"a","Eflab",NA,"Eflab:UNI",17543.8596491228,NA
"43","P3aKEG","LM_0334",NA,NA,NA,NA,NA,NA,6.25,125000,9,42.3,50.7,1.06,83.4319526627219,"a","Eflab",NA,"Eflab:UNI",117924.528301887,NA
"44","P3aKPZ","LM_0343",NA,NA,NA,NA,NA,NA,0,0,3,57.3,59.8,1.06,95.819397993311,"a","E139",NA,"E139:UNI",0,9.62578621607662
"45","P3aKUB","LM_0342",NA,NA,NA,NA,NA,NA,8.25,165000,7,53.4,57,2.2,93.6842105263158,"a","E139",NA,"E139:E64",75000,2.1253529448919
