"","Mouse_ID","Target","NE"
"1","LM_0231","CXCR3",-9.3825
"2","LM_0263","CXCR3",-4.88
"3","LM_0265","CXCR3",-5.5275
"4","LM_0269","CXCR3",-6.3075
"5","LM_0282","CXCR3",-5.255
"6","LM_0285","CXCR3",-1.455
"7","LM_0287","CXCR3",7.7525
"8","LM_0293","CXCR3",-7.65
"9","LM_0252","CXCR3",-14.17
"10","LM_0261","CXCR3",-10.8875
"11","LM_0264","CXCR3",-7.4725
"12","LM_0271","CXCR3",-10.305
"13","LM_0273","CXCR3",-7.9625
"14","LM_0278","CXCR3",-9.91
"15","LM_0288","CXCR3",-10.505
"16","LM_0289","CXCR3",-9.55
"17","LM_0259","CXCR3",-9.505
"18","LM_0272","CXCR3",-12.895
"19","LM_0275","CXCR3",-9.04
"20","LM_0276","CXCR3",-9.66
"21","LM_0277","CXCR3",-10.64
"22","LM_0283","CXCR3",-10.3775
"23","LM_0286","CXCR3",-6.12
"24","LM_0294","CXCR3",-10.5775
"25","LM_0232","CXCR3",-10.55
"26","LM_0247","CXCR3",-11.1375
"27","LM_0255","CXCR3",-10.875
"28","LM_0257","CXCR3",-10.995
"29","LM_0260","CXCR3",-11.615
"30","LM_0262","CXCR3",-12.8075
"31","LM_0268","CXCR3",-16.435
"32","LM_0280","CXCR3",-10.185
"33","LM_0227","CXCR3",-10.535
"34","LM_0233","CXCR3",-11.1725
"35","LM_0240","CXCR3",-8.47
"36","LM_0256","CXCR3",-8.5175
"37","LM_0258","CXCR3",-8.295
"38","LM_0270","CXCR3",-10.955
"39","LM_0279","CXCR3",-12.4775
"40","LM_0284","CXCR3",-8.2675
"41","LM_0228","CXCR3",-8.9125
"42","LM_0229","CXCR3",-7.4325
"43","LM_0235","CXCR3",-8.6925
"44","LM_0238","CXCR3",-10.3425
"45","LM_0249","CXCR3",-9.7675
"46","LM_0251","CXCR3",-8.835
"47","LM_0266","CXCR3",-8.0425
"48","LM_0234","CXCR3",-17.0075
"49","LM_0236","CXCR3",-10.2025
"50","LM_0239","CXCR3",-18.0925
"51","LM_0243","CXCR3",-13.875
"52","LM_0254","CXCR3",18.235
"53","LM_0231","IRG6",-4.3125
"54","LM_0263","IRG6",-12.735
"55","LM_0265","IRG6",-15.3325
"56","LM_0269","IRG6",-13.0275
"57","LM_0282","IRG6",-11.83
"58","LM_0285","IRG6",NA
"59","LM_0287","IRG6",19.7025
"60","LM_0293","IRG6",-11.33
"61","LM_0252","IRG6",-8.57
"62","LM_0261","IRG6",-6.3575
"63","LM_0264","IRG6",-1.0475
"64","LM_0271","IRG6",-4.755
"65","LM_0273","IRG6",-3.4275
"66","LM_0278","IRG6",-5.355
"67","LM_0288","IRG6",-5.495
"68","LM_0289","IRG6",-3.315
"69","LM_0259","IRG6",-3.07
"70","LM_0272","IRG6",-6.865
"71","LM_0275","IRG6",-3.14
"72","LM_0276","IRG6",-3.74
"73","LM_0277","IRG6",-3.945
"74","LM_0283","IRG6",-2.8525
"75","LM_0286","IRG6",-1.42
"76","LM_0294","IRG6",-3.1975
"77","LM_0232","IRG6",-3.01
"78","LM_0247","IRG6",-3.9525
"79","LM_0255","IRG6",-3.245
"80","LM_0257","IRG6",-3.45
"81","LM_0260","IRG6",-3.91
"82","LM_0262","IRG6",-5.5025
"83","LM_0268","IRG6",-8.365
"84","LM_0280","IRG6",-3.255
"85","LM_0227","IRG6",-4.425
"86","LM_0233","IRG6",NA
"87","LM_0240","IRG6",-2.455
"88","LM_0256","IRG6",-2.1375
"89","LM_0258","IRG6",-2.285
"90","LM_0270","IRG6",-5.455
