"Well","Fluor","Target","Content","Sample","Cq.Mean","Set.Point"
"B04","SYBR","IL-6","Cecum","LM0087",29.4257235156098,60
"B05","SYBR","IFN-g","Cecum","LM0087",34.6508691980175,60
"B06","SYBR","STAT6","Cecum","LM0087",30.0297354713728,60
"B07","SYBR","TGF-b","Cecum","LM0087",30.9645248090345,60
"B08","SYBR","Ppia","Pos Ctrl","LM0087",23.803753880064,60
"B09","SYBR","Ppib","Pos Ctrl","LM0087",25.1066748414789,60
"B10","SYBR","CDC42","Pos Ctrl","LM0087",27.2998160780859,60
"C01","SYBR","CXCL9","Cecum","LM0073",34.1201735822468,60
"C03","SYBR","IL-12","Cecum","LM0073",30.9565485086578,60
"C04","SYBR","IL-6","Cecum","LM0073",26.020901004827,60
"C05","SYBR","IFN-g","Cecum","LM0073",29.1843243562146,60
"C06","SYBR","STAT6","Cecum","LM0073",23.5259431333009,60
"C07","SYBR","TGF-b","Cecum","LM0073",31.636783386694,60
"C08","SYBR","Ppia","Pos Ctrl","LM0073",19.5885640282312,60
"C09","SYBR","Ppib","Pos Ctrl","LM0073",22.6812705975434,60
"C10","SYBR","CDC42","Pos Ctrl","LM0073",24.141035294729,60
"D01","SYBR","CXCL9","Cecum","LM0073",34.1192120346739,60
"D02","SYBR","IL-10","Cecum","LM0073",36.0537078750605,60
"D03","SYBR","IL-12","Cecum","LM0073",31.6525994650925,60
"D04","SYBR","IL-6","Cecum","LM0073",28.5608232612554,60
"D05","SYBR","IFN-g","Cecum","LM0073",30.2789768264996,60
"D06","SYBR","STAT6","Cecum","LM0073",24.6249146937694,60
"D07","SYBR","TGF-b","Cecum","LM0073",30.2232133724202,60
"D08","SYBR","Ppia","Pos Ctrl","LM0073",19.6867368325111,60
"D09","SYBR","Ppib","Pos Ctrl","LM0073",22.3259274864775,60
"D10","SYBR","CDC42","Pos Ctrl","LM0073",23.6429996372416,60
"E01","SYBR","CXCL9","Cecum","LM0053",30.5577509449973,60
"E02","SYBR","IL-10","Cecum","LM0053",33.3359960787782,60
"E04","SYBR","IL-6","Cecum","LM0053",31.4821856068689,60
"E05","SYBR","IFN-g","Cecum","LM0053",33.4482192576019,60
"E06","SYBR","STAT6","Cecum","LM0053",28.0011157067159,60
"E07","SYBR","TGF-b","Cecum","LM0053",27.1688229758005,60
"E08","SYBR","Ppia","Pos Ctrl","LM0053",18.5895016081822,60
"E09","SYBR","Ppib","Pos Ctrl","LM0053",19.1925191680599,60
"E10","SYBR","CDC42","Pos Ctrl","LM0053",25.240642104759,60
"F01","SYBR","CXCL9","Cecum","LM0053",30.1185746959061,60
"F02","SYBR","IL-10","Cecum","LM0053",33.4261830298091,60
"F03","SYBR","IL-12","Cecum","LM0053",37.5324933126424,60
"F04","SYBR","IL-6","Cecum","LM0053",29.8410223953647,60
"F05","SYBR","IFN-g","Cecum","LM0053",32.8640203685555,60
"F06","SYBR","STAT6","Cecum","LM0053",27.1505551792277,60
"F07","SYBR","TGF-b","Cecum","LM0053",26.5901800226335,60
"F08","SYBR","Ppia","Pos Ctrl","LM0053",18.7675412197354,60
"F09","SYBR","Ppib","Pos Ctrl","LM0053",18.9695485509631,60
"F10","SYBR","CDC42","Pos Ctrl","LM0053",25.1651309220916,60
"G01","SYBR","CXCL9","Cecum","LM0031",30.1306040868848,60
"G02","SYBR","IL-10","Cecum","LM0031",33.1064722553229,60
"G03","SYBR","IL-12","Cecum","LM0031",35.5697706386504,60
"G04","SYBR","IL-6","Cecum","LM0031",31.2555340720427,60
"G05","SYBR","IFN-g","Cecum","LM0031",32.1809461740859,60
"G06","SYBR","STAT6","Cecum","LM0031",29.2489933754262,60
"G07","SYBR","TGF-b","Cecum","LM0031",27.4191398409452,60
"G08","SYBR","Ppia","Pos Ctrl","LM0031",20.9698706924476,60
"G09","SYBR","Ppib","Pos Ctrl","LM0031",21.5386137963605,60
"G10","SYBR","CDC42","Pos Ctrl","LM0031",25.9773409138986,60
"H01","SYBR","CXCL9","Cecum","LM0031",30.9212888215561,60
"H02","SYBR","IL-10","Cecum","LM0031",33.2113397039441,60
"H03","SYBR","IL-12","Cecum","LM0031",34.432666332749,60
"H04","SYBR","IL-6","Cecum","LM0031",32.2784093407993,60
