Conc,OD
2000,3139
2000,3446
2000,2862
2000,3225
2000,2695
2000,3105
1000,3506
1000,3673
1000,3483
1000,3610
1000,3460
1000,3537
500,2926
500,2925
500,2880
500,2856
500,2837
500,2802
250,2191
250,1798
250,2186
250,1788
250,2182
250,1772
125,1236
125,1200
125,1236
125,1200
125,1237
125,1198
62.5,630
62.5,650
62.5,634
62.5,656
62.5,641
62.5,661
31.25,322
31.25,335
31.25,325
31.25,339
31.25,329
31.25,343
0,4
0,11
0,4
0,11
0,4
0,11
