labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,Expe,Eimeria,,,,,
HJY,LM0202,11,17.15,17.68,2.99773755656109,2.19,Expe005_1a,E88,,,,,
GJX,LM0203,11,21.5,20.26,-6.12043435340572,0.7,Expe005_1a,E88,,,,,
CIO,LM0204,0,19.26,19.26,0,2.15,Expe005_1b,E64,,,,,
KOX,LM0206,0,16.97,16.97,0,1.47,Expe005_1b,E64,,,,,
CPY,LM0207,0,17.27,17.27,0,1.03,Expe005_1b,E64,,,,,
GQU,LM0208,0,22.82,22.82,0,1.94,Expe005_1b,E64,,,,,
HPQ,LM0209,0,22.09,22.09,0,1.08,Expe005_1b,E64,,,,,
BOU,LM0210,0,15.65,15.65,0,1.43,Expe005_1b,E64,,,,,
BKT,LM0211,0,17.42,17.42,0,1.38,Expe005_1b,E64,,,,,
HJQ,LM0212,0,21.58,21.58,0,1.29,Expe005_1b,E64,,,,,
FHV,LM0213,0,15.39,15.39,0,1.4,Expe005_1b,E64,,,,,
DES,LM0214,0,27.43,27.43,0,1.12,Expe005_1b,E64,,,,,
ELT,LM0215,0,23.9,23.9,0,1.73,Expe005_1b,E64,,,,,
NSU,LM0216,0,18.37,18.37,0,1.26,Expe005_1b,E64,,,,,
FKY,LM0217,0,17.74,17.74,0,1.3,Expe005_1b,E64,,,,,
JLZ,LM0218,0,20.36,20.36,0,1.32,Expe005_1b,E64,,,,,
CHN,LM0219,0,19,19,0,1.67,Expe005_1b,E64,,,,,
AGO,LM0220,0,19.72,19.72,0,1.41,Expe005_1b,E64,,,,,
FQS,LM0221,0,19.73,19.73,0,1.54,Expe005_1b,E64,,,,,
CRW,LM0222,0,23.99,23.99,0,2.47,Expe005_1b,E64,,,,,
RXY,LM0223,0,20.73,20.73,0,2.44,Expe005_1b,E64,,,,,
KVZ,LM0224,0,19.21,19.21,0,1.64,Expe005_1b,E64,,,,,
FGT,LM0225,0,28.05,28.05,0,1.28,Expe005_1b,E64,,,,,
KNO,LM0226,0,15.16,15.16,0,1.21,Expe005_1b,E64,,,,,
ILQ,LM0204,1,19.08,19.26,0.934579439252353,,Expe005_1b,E64,,,,,
ERU,LM0206,1,17.39,16.97,-2.47495580436065,,Expe005_1b,E64,,,,,
FNU,LM0207,1,17.8,17.27,-3.06890561667632,,Expe005_1b,E64,,,,,
DIT,LM0208,1,23.15,22.82,-1.44609991235757,,Expe005_1b,E64,,,,,
FOZ,LM0209,1,21.96,22.09,0.588501584427338,,Expe005_1b,E64,,,,,
BTY,LM0210,1,15.95,15.65,-1.91693290734824,,Expe005_1b,E64,,,,,
FPY,LM0211,1,17.7,17.42,-1.60734787600458,,Expe005_1b,E64,,,,,
GHT,LM0212,1,21.55,21.58,0.139017608897116,,Expe005_1b,E64,,,,,
ORX,LM0213,1,15.33,15.39,0.389863547758288,,Expe005_1b,E64,,,,,
FLM,LM0214,1,27.03,27.43,1.45825738242799,,Expe005_1b,E64,,,,,
GMN,LM0215,1,23.94,23.9,-0.167364016736413,,Expe005_1b,E64,,,,,
SVY,LM0216,1,17.12,18.37,6.80457267283615,,Expe005_1b,E64,,,,,
OTY,LM0217,1,17.54,17.74,1.12739571589628,,Expe005_1b,E64,,,,,
EFV,LM0218,1,20.44,20.36,-0.392927308447946,,Expe005_1b,E64,,,,,
ALS,LM0219,1,20.11,19,-5.84210526315789,,Expe005_1b,E64,,,,,
DGN,LM0220,1,19.99,19.72,-1.36916835699797,,Expe005_1b,E64,,,,,
OTW,LM0221,1,19.58,19.73,0.760263558033462,,Expe005_1b,E64,,,,,
PQV,LM0222,1,23.86,23.99,0.541892455189658,,Expe005_1b,E64,,,,,
KOQ,LM0223,1,21.41,20.73,-3.28027013989387,,Expe005_1b,E64,,,,,
EMQ,LM0224,1,19.96,19.21,-3.90421655387819,,Expe005_1b,E64,,,,,
DUX,LM0225,1,27.75,28.05,1.06951871657754,,Expe005_1b,E64,,,,,
BXY,LM0226,1,15.24,15.16,-0.527704485488127,,Expe005_1b,E64,,,,,
AEF,LM0204,2,19.36,19.26,-0.51921079958462,,Expe005_1b,E64,,,,,
FIW,LM0206,2,16.21,16.97,4.47849145550971,,Expe005_1b,E64,,,,,
FOX,LM0207,2,16.72,17.27,3.18471337579618,,Expe005_1b,E64,,,,,
IOV,LM0208,2,23.39,22.82,-2.49780893952673,,Expe005_1b,E64,,,,,
IUY,LM0209,2,22.59,22.09,-2.26346763241286,,Expe005_1b,E64,,,,,
HQY,LM0210,2,15.53,15.65,0.766773162939304,,Expe005_1b,E64,,,,,
OUW,LM0211,2,17.76,17.42,-1.95177956371986,,Expe005_1b,E64,,,,,
HTY,LM0212,2,21.11,21.58,2.17794253938832,,Expe005_1b,E64,,,,,
CFO,LM0213,2,15.58,15.39,-1.23456790123456,,Expe005_1b,E64,,,,,
ADQ,LM0214,2,27.31,27.43,0.437477214728403,,Expe005_1b,E64,,,,,
PRZ,LM0215,2,24.17,23.9,-1.12970711297072,,Expe005_1b,E64,,,,,
ABJ,LM0216,2,16.49,18.37,10.2340772999456,,Expe005_1b,E64,,,,,
CEV,LM0217,2,17.49,17.74,1.40924464487035,,Expe005_1b,E64,,,,,
AOQ,LM0218,2,20.75,20.36,-1.9155206286837,,Expe005_1b,E64,,,,,
ACQ,LM0219,2,20.39,19,-7.31578947368421,,Expe005_1b,E64,,,,,
EPS,LM0220,2,20.31,19.72,-2.99188640973631,,Expe005_1b,E64,,,,,
DEI,LM0221,2,20.02,19.73,-1.46984287886467,,Expe005_1b,E64,,,,,
DGM,LM0222,2,23.83,23.99,0.666944560233431,,Expe005_1b,E64,,,,,
AGM,LM0223,2,21.77,20.73,-5.0168837433671,,Expe005_1b,E64,,,,,
FMY,LM0224,2,19.92,19.21,-3.69599167100469,,Expe005_1b,E64,,,,,
ELY,LM0225,2,28.64,28.05,-2.10338680926916,,Expe005_1b,E64,,,,,
HQU,LM0226,2,15.69,15.16,-3.49604221635883,,Expe005_1b,E64,fur shaggy/not well groomed,,,,
HLV,LM0204,3,19.99,19.26,-3.79023883696779,1.05,Expe005_1b,E64,,,,,
LOW,LM0206,3,17.4,16.97,-2.53388332351208,0.69,Expe005_1b,E64,,,,,
ANQ,LM0207,3,17.25,17.27,0.115807759119859,0.53,Expe005_1b,E64,,,,,
LOX,LM0208,3,24.15,22.82,-5.8282208588957,1.31,Expe005_1b,E64,,,,,
HIM,LM0209,3,22.22,22.09,-0.588501584427338,1.14,Expe005_1b,E64,,,,,
BKM,LM0210,3,16.08,15.65,-2.7476038338658,1,Expe005_1b,E64,,,,,
GHI,LM0211,3,17.4,17.42,0.114810562571775,1.04,Expe005_1b,E64,,,,,
GKV,LM0212,3,21.06,21.58,2.40963855421687,1.22,Expe005_1b,E64,,,,,
DJW,LM0213,3,15.95,15.39,-3.63872644574398,0.93,Expe005_1b,E64,,,,,
KPT,LM0214,3,28.3,27.43,-3.1717098067809,1.73,Expe005_1b,E64,,,,,
DGQ,LM0215,3,24.29,23.9,-1.63179916317992,1.84,Expe005_1b,E64,,,,,
JMW,LM0216,3,16.84,18.37,8.32879695155145,1.16,Expe005_1b,E64,,,,,
CDS,LM0217,3,17.41,17.74,1.86020293122885,1.2,Expe005_1b,E64,,,,,
CGX,LM0218,3,20.2,20.36,0.785854616895875,1.74,Expe005_1b,E64,,,,,
ABG,LM0219,3,19.05,19,-0.263157894736846,1.65,Expe005_1b,E64,,,,,
CIM,LM0220,3,19,19.72,3.65111561866125,1.4,Expe005_1b,E64,,,,,
AQR,LM0221,3,19.16,19.73,2.88900152052712,1.05,Expe005_1b,E64,,,,,
BIN,LM0222,3,22.48,23.99,6.29428928720299,1.3,Expe005_1b,E64,,,,,
AOU,LM0223,3,20.46,20.73,1.30246020260492,1.13,Expe005_1b,E64,,,,,
EGN,LM0224,3,17.97,19.21,6.45497136907861,1.4,Expe005_1b,E64,,,,,
GLO,LM0225,3,30.2,28.05,-7.66488413547237,1.59,Expe005_1b,E64,,,,,
BLR,LM0226,3,15.66,15.16,-3.29815303430079,1.43,Expe005_1b,E64,looks very neglected,,,,
KRW,LM0204,4,18.62,19.26,3.32294911734164,1.75,Expe005_1b,E64,,,,,
AIS,LM0206,4,15.86,16.97,6.54095462581025,0.88,Expe005_1b,E64,,,,,
JKO,LM0207,4,16.79,17.27,2.77938621887667,0.96,Expe005_1b,E64,,,,,
AFV,LM0208,4,22.74,22.82,0.350569675723058,1.97,Expe005_1b,E64,,,,,
GNX,LM0209,4,21.54,22.09,2.48981439565415,1.72,Expe005_1b,E64,,,,,
FGI,LM0210,4,16.07,15.65,-2.68370607028754,0.96,Expe005_1b,E64,,,,,
FNP,LM0211,4,17.05,17.42,2.1239954075775,0.8,Expe005_1b,E64,,,,,
HLO,LM0212,4,19.42,21.58,10.0092678405931,1.59,Expe005_1b,E64,,,,,
CGQ,LM0213,4,14.74,15.39,4.22352176738142,0.86,Expe005_1b,E64,,,,,
PRY,LM0214,4,26.54,27.43,3.2446226759023,2.14,Expe005_1b,E64,,,,,
EWX,LM0215,4,22.96,23.9,3.93305439330543,1.76,Expe005_1b,E64,,,,,
GIQ,LM0216,4,16.29,18.37,11.3228089275994,1.05,Expe005_1b,E64,,,,,
MXY,LM0217,4,16.77,17.74,5.46786922209695,0.93,Expe005_1b,E64,,,,,
MUW,LM0218,4,20.6,20.36,-1.17878192534382,1.57,Expe005_1b,E64,,,,,
OXY,LM0219,4,19.49,19,-2.57894736842104,1.57,Expe005_1b,E64,,,,,
BDM,LM0220,4,19.38,19.72,1.72413793103448,1.23,Expe005_1b,E64,,,,,
PQU,LM0221,4,19.9,19.73,-0.861632032437902,1.3,Expe005_1b,E64,,,,,
IJU,LM0222,4,22.35,23.99,6.83618174239265,0.92,Expe005_1b,E64,,,,,
FGK,LM0223,4,21.42,20.73,-3.32850940665702,1.1,Expe005_1b,E64,,,,,
GTX,LM0224,4,18.9,19.21,1.61374284226966,2.01,Expe005_1b,E64,,,,,
NTY,LM0225,4,27.81,28.05,0.855614973262039,2.15,Expe005_1b,E64,,,,,
ETX,LM0226,4,15.08,15.16,0.527704485488127,1.94,Expe005_1b,E64,Still looks messed up,,,,
HLP,LM0204,5,18.73,19.26,2.75181723779855,0.79,Expe005_1b,E64,A bit diarrhea,,,,
BUV,LM0206,5,15.27,16.97,10.0176782557454,0.6,Expe005_1b,E64,"soft feces, really little poop",,,
BHT,LM0207,5,16,17.27,7.35379270411117,0.25,Expe005_1b,E64,"diarrhea, really little poo",,,
PSV,LM0208,5,22.06,22.82,3.33041191936898,0.96,Expe005_1b,E64,"diarrhea, really little poo",,,
AFO,LM0209,5,20.32,22.09,8.01267541874151,1.11,Expe005_1b,E64,,,,,
GRU,LM0210,5,15.94,15.65,-1.85303514376996,0.64,Expe005_1b,E64,,,,,
PVW,LM0211,5,15.65,17.42,10.1607347876005,0.35,Expe005_1b,E64,"diarrhea, really little poo",,,
NOP,LM0212,5,19.1,21.58,11.4921223354958,0.46,Expe005_1b,E64,,,,,
DPZ,LM0213,5,13.47,15.39,12.4756335282651,0.23,Expe005_1b,E64,"diarrhea, really little poo",,,
DLQ,LM0214,5,25.41,27.43,7.36419978126139,0.92,Expe005_1b,E64,,,,,
CPS,LM0215,5,22.3,23.9,6.69456066945606,0.7,Expe005_1b,E64,,,,,
BDV,LM0216,5,15.06,18.37,18.0185084376701,0.39,Expe005_1b,E64,"little diarrhea, little poop, maybe bloody ",,
MQY,LM0217,5,16.9,17.74,4.73506200676437,0.39,Expe005_1b,E64,,,,,
BOS,LM0218,5,19.9,20.36,2.25933202357564,0.72,Expe005_1b,E64,soft feces,,,,
CER,LM0219,5,19.03,19,-0.157894736842111,0.7,Expe005_1b,E64,,,,,
DFL,LM0220,5,18.19,19.72,7.75862068965516,0.74,Expe005_1b,E64,soft feces,,,,
QUX,LM0221,5,18.85,19.73,4.46021287379624,0.48,Expe005_1b,E64,"soft feces, really little poop",,,
FIU,LM0222,5,21.62,23.99,9.87911629845768,0.54,Expe005_1b,E64,fur shaggy/not well groomed,,,,
AIR,LM0223,5,21.4,20.73,-3.23203087313072,0.65,Expe005_1b,E64,,,,,
EIL,LM0224,5,18.41,19.21,4.16449765747007,0.78,Expe005_1b,E64,,,,,
OQX,LM0225,5,27,28.05,3.74331550802139,1.12,Expe005_1b,E64,bloody diarrhea,,,,
IQW,LM0226,5,14.33,15.16,5.47493403693931,0.36,Expe005_1b,E64,looks very neglected,,,,
AKU,LM0204,6,19.92,19.26,-3.42679127725857,1.5,Expe005_1b,E64,,,,,
BEM,LM0206,6,16.29,16.97,4.00707130229817,1.33,Expe005_1b,E64,,,,,
KTU,LM0207,6,15.62,17.27,9.55414012738854,0.53,Expe005_1b,E64,,,,,
DPV,LM0208,6,21.83,22.82,4.33829973707275,0.68,Expe005_1b,E64,soft feces,,,,
DHQ,LM0209,6,21.71,22.09,1.72023540063377,1.38,Expe005_1b,E64,,,,,
CWX,LM0210,6,16.15,15.65,-3.19488817891373,0.91,Expe005_1b,E64,,,,,
DJU,LM0211,6,14.26,17.42,18.1400688863376,0.2,Expe005_1b,E64,"calm, tiny bit shaggy,but grooming ,nearly no feaces,looks not that bad"
ABY,LM0212,6,18.68,21.58,13.4383688600556,0.85,Expe005_1b,E64,,,,,
ABM,LM0213,6,14.03,15.39,8.83690708252113,0.49,Expe005_1b,E64,bit soft shit,,,,
OTZ,LM0214,6,24.34,27.43,11.2650382792563,0.29,Expe005_1b,E64,,,,,
GMX,LM0215,6,23.61,23.9,1.21338912133891,1.32,Expe005_1b,E64,,,,,
BFX,LM0216,6,16.92,18.37,7.89330430048993,1.26,Expe005_1b,E64,check if she lost more!! keep close eye,"recovered,looks good,fine",
DFN,LM0217,6,17.4,17.74,1.91657271702367,1.31,Expe005_1b,E64,bit soft shit,,,,
INU,LM0218,6,20.12,20.36,1.1787819253438,1.18,Expe005_1b,E64,,,,,
CGL,LM0219,6,20.11,19,-5.84210526315789,1.48,Expe005_1b,E64,,,,,
AKR,LM0220,6,19.2,19.72,2.63691683569979,1.21,Expe005_1b,E64,bit shaggy,,,,
HOZ,LM0221,6,18.45,19.73,6.48758236188546,0.9,Expe005_1b,E64,,,,,
AKQ,LM0222,6,21.38,23.99,10.8795331388078,0.87,Expe005_1b,E64,,,,,
BWY,LM0223,6,21.57,20.73,-4.0520984081042,1.17,Expe005_1b,E64,,,,,
IMR,LM0224,6,18.09,19.21,5.8302967204581,1.29,Expe005_1b,E64,,,,,
GIL,LM0225,6,27.58,28.05,1.67557932263815,1.82,Expe005_1b,E64,diarrhea,,,,
JNR,LM0226,6,15.79,15.16,-4.15567282321899,0.66,Expe005_1b,E64,"check if needed to be sacrificed, looks super shaggy/neglected but little weightloss","Tiny bit shaggy,but active",
KOT,LM0204,7,20.19,19.26,-4.82866043613707,1.43,Expe005_1b,E64,,,,,
BPU,LM0206,7,16.89,16.97,0.47142015321154,0.9,Expe005_1b,E64,,,,,
BEP,LM0207,7,16.71,17.27,3.2426172553561,0.91,Expe005_1b,E64,,,,,
FHX,LM0208,7,22.66,22.82,0.7011393514461,1.64,Expe005_1b,E64,,,,,
NOQ,LM0209,7,22.57,22.09,-2.17292892711634,1.29,Expe005_1b,E64,,,,,
DRW,LM0210,7,16.85,15.65,-7.66773162939298,1.15,Expe005_1b,E64,,,,,
IOQ,LM0211,7,15.05,17.42,13.6050516647532,0.86,Expe005_1b,E64,,,,,
DNY,LM0212,7,19.67,21.58,8.8507877664504,1.5,Expe005_1b,E64,,,,,
DMY,LM0213,7,15.43,15.39,-0.259909031838851,0.84,Expe005_1b,E64,,,,,
EUV,LM0214,7,24.93,27.43,9.11410864017499,2.39,Expe005_1b,E64,,,,,
ENO,LM0215,7,25.42,23.9,-6.35983263598328,1.29,Expe005_1b,E64,,,,,
JOW,LM0216,7,17.88,18.37,2.66739248775178,1.85,Expe005_1b,E64,,,,,
OPW,LM0217,7,18.44,17.74,-3.94588500563699,1.19,Expe005_1b,E64,,,,,
AKV,LM0218,7,20.83,20.36,-2.30844793713162,1.78,Expe005_1b,E64,,,,,
EJL,LM0219,7,20.45,19,-7.63157894736842,1.64,Expe005_1b,E64,,,,,
BLW,LM0220,7,19.1,19.72,3.14401622718051,1.02,Expe005_1b,E64,,,,,
GTU,LM0221,7,18.91,19.73,4.15610745058287,1.3,Expe005_1b,E64,,,,,
HJN,LM0222,7,21.91,23.99,8.67027928303459,1.27,Expe005_1b,E64,,,,,
JLW,LM0223,7,21.9,20.73,-5.64399421128798,1.42,Expe005_1b,E64,,,,,
OPS,LM0224,7,19.89,19.21,-3.53982300884956,1.55,Expe005_1b,E64,,,,,
MWX,LM0225,7,28.57,28.05,-1.85383244206773,1.25,Expe005_1b,E64,,,,,
CSV,LM0226,7,16.06,15.16,-5.93667546174142,0.97,Expe005_1b,E64,,,,,
JMO,LM0204,8,20.42,19.26,-6.02284527518172,1.76,Expe005_1b,E64,,,,,
MWZ,LM0206,8,16.23,16.97,4.36063641720683,1.35,Expe005_1b,E64,,,,,
BNW,LM0207,8,17.2,17.27,0.405327156919515,0.83,Expe005_1b,E64,,,,,
FHR,LM0208,8,23.44,22.82,-2.71691498685364,1.78,Expe005_1b,E64,,,,,
LMY,LM0209,8,22.94,22.09,-3.84789497510186,1.26,Expe005_1b,E64,,,,,
LPX,LM0210,8,16.9,15.65,-7.98722044728433,1.06,Expe005_1b,E64,,,,,
FPS,LM0211,8,17.26,17.42,0.918484500574053,1.11,Expe005_1b,E64,,,,,
CNR,LM0212,8,20.18,21.58,6.48748841519925,1.71,Expe005_1b,E64,,,,,
NST,LM0213,8,16.57,15.39,-7.66731643924626,0.98,Expe005_1b,E64,,,,,
NXZ,LM0214,8,26.88,27.43,2.0051039008385,1.67,Expe005_1b,E64,,,,,
KNW,LM0215,8,24.82,23.9,-3.84937238493725,1.52,Expe005_1b,E64,,,,,
ALW,LM0216,8,17.04,18.37,7.24006532389767,1.62,Expe005_1b,E64,,,,,
LPV,LM0217,8,18.32,17.74,-3.26944757609922,1.03,Expe005_1b,E64,,,,,
AEL,LM0218,8,20.95,20.36,-2.89783889980354,1.57,Expe005_1b,E64,,,,,
TUX,LM0219,8,20.71,19,-9,1.35,Expe005_1b,E64,,,,,
MRU,LM0220,8,19.69,19.72,0.152129817444207,1.44,Expe005_1b,E64,,,,,
BFN,LM0221,8,18.63,19.73,5.57526609224532,1.45,Expe005_1b,E64,,,,,
FVX,LM0222,8,23.38,23.99,2.54272613588995,1.5,Expe005_1b,E64,,,,,
ALQ,LM0223,8,21.24,20.73,-2.4602026049204,0.95,Expe005_1b,E64,,,,,
NOV,LM0224,8,20.78,19.21,-8.17282665278501,1.52,Expe005_1b,E64,,,,,
AGH,LM0225,8,29.04,28.05,-3.52941176470588,1.2,Expe005_1b,E64,,,,,
EFW,LM0226,8,15.96,15.16,-5.27704485488127,1.52,Expe005_1b,E64,,,,,
FWY,LM0204,9,20.55,19.26,-6.69781931464174,1.64,Expe005_1b,E64,,,,,
DHK,LM0206,9,16.75,16.97,1.29640542133176,0.68,Expe005_1b,E64,,,,,
ADP,LM0207,9,17.39,17.27,-0.694846554719172,0.76,Expe005_1b,E64,,,,,
LOU,LM0208,9,23.24,22.82,-1.840490797546,1.2,Expe005_1b,E64,,,,,
GKL,LM0209,9,23.11,22.09,-4.61747397012223,1.26,Expe005_1b,E64,,,,,
ALT,LM0210,9,17.48,15.65,-11.6932907348243,1,Expe005_1b,E64,,,,,
APU,LM0211,9,17.73,17.42,-1.77956371986222,0.94,Expe005_1b,E64,,,,,
BOX,LM0212,9,20.71,21.58,4.03151065801667,2.07,Expe005_1b,E64,,,,,
DRT,LM0213,9,16.67,15.39,-8.31708901884341,0.92,Expe005_1b,E64,,,,,
CEY,LM0214,9,28.05,27.43,-2.2602989427634,1.27,Expe005_1b,E64,,,,,
EQZ,LM0215,9,25.25,23.9,-5.64853556485356,1.47,Expe005_1b,E64,,,,,
NVW,LM0216,9,17.65,18.37,3.91943385955363,0.74,Expe005_1b,E64,,,,,
OVW,LM0217,9,18.82,17.74,-6.08793686583992,1.52,Expe005_1b,E64,,,,,
AJX,LM0218,9,20.4,20.36,-0.196463654223964,1.17,Expe005_1b,E64,,,,,
CDZ,LM0219,9,20.66,19,-8.73684210526316,1.11,Expe005_1b,E64,,,,,
CEJ,LM0220,9,19.66,19.72,0.304259634888432,1.16,Expe005_1b,E64,,,,,
LTV,LM0221,9,18.4,19.73,6.74100354789661,1.04,Expe005_1b,E64,,,,,
JMZ,LM0222,9,23.71,23.99,1.16715298040849,1.36,Expe005_1b,E64,,,,,
QVW,LM0223,9,22.06,20.73,-6.4158224794983,0.78,Expe005_1b,E64,,,,,
AMW,LM0224,9,19.56,19.21,-1.82196772514314,1.96,Expe005_1b,E64,,,,,
WXZ,LM0225,9,28.97,28.05,-3.27985739750445,1.18,Expe005_1b,E64,,,,,
EFJ,LM0226,9,15.77,15.16,-4.02374670184696,1.66,Expe005_1b,E64,,,,,
MTU,LM0204,10,20.22,19.26,-4.98442367601245,1.38,Expe005_1b,E64,,,,,
FJL,LM0206,10,16.22,16.97,4.41956393635828,1.26,Expe005_1b,E64,,,,,
EHM,LM0207,10,17.61,17.27,-1.96873190503764,0.85,Expe005_1b,E64,,,,,
MTZ,LM0208,10,22.87,22.82,-0.219106047326909,1.28,Expe005_1b,E64,,,,,
ASY,LM0209,10,22.55,22.09,-2.08239022181983,1.24,Expe005_1b,E64,,,,,
EKY,LM0210,10,17.84,15.65,-13.9936102236422,1.24,Expe005_1b,E64,,,,,
DKM,LM0211,10,17.94,17.42,-2.98507462686567,0.89,Expe005_1b,E64,,,,,
DIK,LM0212,10,20.68,21.58,4.1705282669138,1.34,Expe005_1b,E64,,,,,
TUW,LM0213,10,15.75,15.39,-2.3391812865497,0.56,Expe005_1b,E64,,,,,
EIJ,LM0214,10,28.34,27.43,-3.3175355450237,1.15,Expe005_1b,E64,,,,,
KQY,LM0215,10,25.05,23.9,-4.81171548117156,0.96,Expe005_1b,E64,,,,,
AMT,LM0216,10,17.79,18.37,3.15732172019598,0.93,Expe005_1b,E64,,,,,
HMZ,LM0217,10,19.45,17.74,-9.6392333709132,1.18,Expe005_1b,E64,,,,,
GKS,LM0218,10,20.92,20.36,-2.75049115913557,1.28,Expe005_1b,E64,,,,,
DFV,LM0219,10,19.4,19,-2.10526315789473,1.78,Expe005_1b,E64,,,,,
BQS,LM0220,10,19.72,19.72,0,0.9,Expe005_1b,E64,,,,,
KNV,LM0221,10,18.72,19.73,5.11910795742525,1.06,Expe005_1b,E64,,,,,
BQX,LM0222,10,23.87,23.99,0.500208420175062,1.1,Expe005_1b,E64,,,,,
UXY,LM0223,10,22.28,20.73,-7.47708634828751,0.93,Expe005_1b,E64,,,,,
BNY,LM0224,10,19.63,19.21,-2.18636127017178,1.75,Expe005_1b,E64,,,,,
BHY,LM0225,10,28.64,28.05,-2.10338680926916,1.01,Expe005_1b,E64,,,,,
DER,LM0226,10,15.79,15.16,-4.15567282321899,1.56,Expe005_1b,E64,,,,,
FGW,LM0227,0,20.03,20.03,0,1.68,Expe005_2a,E88,,,,,
FRW,LM0228,0,18.56,18.56,0,0.8,Expe005_2a,E88,spilled inoculum,,,,
IJQ,LM0229,0,15.82,15.82,0,0.67,Expe005_2a,E88,spilled inoculum,,,,
ERW,LM0230,0,15.87,15.87,0,1.04,Expe005_2a,E88,,,,,
AFW,LM0231,0,18.71,18.71,0,1.31,Expe005_2a,E88,,,,,
BGK,LM0232,0,24.14,24.14,0,1.33,Expe005_2a,E88,,,,,
AJW,LM0233,0,24.55,24.55,0,1.02,Expe005_2a,E88,,,,,
DMN,LM0234,0,28.55,28.55,0,0.92,Expe005_2a,E88,,,,,
MOY,LM0235,0,17.03,17.03,0,1.44,Expe005_2a,E88,,,,,
ANT,LM0236,0,23.64,23.64,0,1.06,Expe005_2a,E88,,,,,
BJN,LM0237,0,11.02,11.02,0,0.36,Expe005_2a,E88,,,,,
EUW,LM0238,0,15.31,15.31,0,0.74,Expe005_2a,E88,,,,,
TXZ,LM0239,0,16.84,16.84,0,1.35,Expe005_2a,E88,,,,,
CSX,LM0240,0,16.19,16.19,0,1.33,Expe005_2a,E88,tough guy,,,,
IVW,LM0241,0,14.51,14.51,0,0.78,Expe005_2a,E88,,,,,
SUZ,LM0242,0,15.65,15.65,0,1.2,Expe005_2a,E88,,,,,
ILY,LM0243,0,18.58,18.58,0,1.64,Expe005_2a,E88,,,,,
JMQ,LM0244,0,12.33,12.33,0,0.88,Expe005_2a,E88,,,,,
CFJ,LM0245,0,16.71,16.71,0,1.59,Expe005_2a,E88,,,,,
AHJ,LM0246,0,17.95,17.95,0,0.8,Expe005_2a,E88,,,,,
ACP,LM0247,0,25.21,25.21,0,1.07,Expe005_2a,E88,,,,,
JOT,LM0248,0,17.99,17.99,0,1.26,Expe005_2a,E88,,,,,
FGZ,LM0249,0,22.27,22.27,0,0.85,Expe005_2a,E88,,,,,
CQW,LM0250,0,20.59,20.59,0,0.9,Expe005_2a,E88,,,,,
BCK,LM0251,0,19.67,19.67,0,0.84,Expe005_2a,E88,,,,,
LQW,LM0252,0,15.01,15.01,0,0.85,Expe005_2a,E88,new inoculum,,,,
LMX,LM0253,0,11.08,11.08,0,0.56,Expe005_2a,E88,new inoculum,,,,
ACN,LM0254,0,20.16,20.16,0,2.36,Expe005_2a,E88,new inoculum,,,,
AKT,LM0255,0,14.65,14.65,0,1.68,Expe005_2a,E88,new inoculum,,,,
FIM,LM0256,0,25.63,25.63,0,1.8,Expe005_2a,E88,new inoculum,,,,
CEN,LM0257,0,19.57,19.57,0,2.21,Expe005_2a,E88,new inoculum,,,,
JMP,LM0227,1,21.38,20.03,-6.73989016475286,,Expe005_2a,E88,,,,,
MWY,LM0228,1,19.49,18.56,-5.01077586206896,,Expe005_2a,E88,,,,,
EKT,LM0229,1,16.24,15.82,-2.65486725663716,,Expe005_2a,E88,,,,,
DWX,LM0230,1,15.13,15.87,4.66288594833017,,Expe005_2a,E88,,,,,
DRV,LM0231,1,18.82,18.71,-0.58792089791555,,Expe005_2a,E88,,,,,
CQX,LM0232,1,24.26,24.14,-0.497100248550128,,Expe005_2a,E88,,,,,
BCL,LM0233,1,24.77,24.55,-0.896130346232174,,Expe005_2a,E88,,,,,
OQR,LM0234,1,28.68,28.55,-0.455341506129594,,Expe005_2a,E88,,,,,
JVX,LM0235,1,17.89,17.03,-5.04991192014092,,Expe005_2a,E88,,,,,
RVW,LM0236,1,23.97,23.64,-1.39593908629441,,Expe005_2a,E88,,,,,
DSX,LM0237,1,12.12,11.02,-9.98185117967332,,Expe005_2a,E88,,,,,
FQV,LM0238,1,17.43,15.31,-13.847158719791,,Expe005_2a,E88,,,,,
DEK,LM0239,1,17.38,16.84,-3.20665083135391,,Expe005_2a,E88,,,,,
FLQ,LM0240,1,18.39,16.19,-13.5886349598518,,Expe005_2a,E88,,,,,
HOS,LM0241,1,15.77,14.51,-8.68366643694004,,Expe005_2a,E88,,,,,
IMY,LM0242,1,18.05,15.65,-15.3354632587859,,Expe005_2a,E88,,,,,
RSZ,LM0243,1,19.71,18.58,-6.08180839612488,,Expe005_2a,E88,,,,,
ALY,LM0244,1,13.44,12.33,-9.00243309002433,,Expe005_2a,E88,,,,,
BRZ,LM0245,1,16.93,16.71,-1.31657690005984,,Expe005_2a,E88,,,,,
AKO,LM0246,1,18.64,17.95,-3.84401114206129,,Expe005_2a,E88,,,,,
GLM,LM0247,1,24.7,25.21,2.02300674335582,,Expe005_2a,E88,,,,,
CMW,LM0248,1,19.04,17.99,-5.83657587548639,,Expe005_2a,E88,,,,,
FVY,LM0249,1,22.25,22.27,0.089806915132463,,Expe005_2a,E88,,,,,
