Spotulation rates P2_052019,,,,,,,,
,,,,,,,,
Sample,Strain,Week,1Q,2Q,3Q,4Q,AVG,trend
1,Eflab,1,11.1111111111111,14.8148148148148,29.1666666666667,19.4444444444444,18.6342592592593,0
2,Eflab,1,26.1904761904762,23.3333333333333,18.75,21.4285714285714,22.4255952380952,0
3,Eflab,1,16,18.5185185185185,19.3548387096774,13.3333333333333,16.8016726403823,0
5,E88,1,16.6666666666667,0,25,33.3333333333333,18.75,0
10,E64,1,20,19.4029850746269,15.4929577464789,15.625,17.6302357052764,0
12,E139,1,12.3456790123457,6.97674418604651,15.4471544715447,9.27152317880795,11.0102752121862,0
1,Eflab,2,14.2857142857143,9.67741935483871,3.84615384615385,20,11.9523218716767,-6.68193738758255
2,Eflab,2,20.4545454545455,28.5714285714286,25,46.6666666666667,30.1731601731602,7.74756493506494
3,Eflab,2,10.5263157894737,10.3448275862069,0,30,12.7177858439201,-4.08388679646218
5,E88,2,50,0,0,50,25,6.25
10,E64,2,14.7058823529412,1.72413793103448,10.4477611940299,4.25531914893617,7.78327515673542,-9.84696054854101
12,E139,2,14.018691588785,8.62068965517241,10.7692307692308,3.73831775700935,9.28673244254939,-1.72354276963682
1,Eflab,3,20.8333333333333,11.5384615384615,20.8333333333333,18.75,17.9887820512821,6.03646017960534
2,Eflab,3,34.7826086956522,35.7142857142857,27.0833333333333,20.5128205128205,29.5232620640229,-0.64989810913724
3,Eflab,3,18.5185185185185,13.7931034482759,28.9473684210526,15.1515151515152,19.1026263848405,6.3848405409204
5,E88,3,50,25,25,0,25,0
10,E64,3,21.0526315789474,12.6436781609195,14.2857142857143,16.8831168831169,16.2162852271745,8.4330100704391
12,E139,3,10.2564102564103,14.6551724137931,13.1578947368421,13.3333333333333,12.8507026850947,3.56397024254531
