"","EH_ID","pop","infHistory","counts"
"1","LM_0227","labels","E88:E64",NA
"2","LM_0227","dpi","E88:E64",NA
"3","LM_0227","Strain","E88:E64",NA
"4","LM_0227","HybridStatus","E88:E64",NA
"5","LM_0227","primary","E88:E64",NA
"6","LM_0227","challenge","E88:E64",NA
"7","LM_0227","weight","E88:E64",NA
"8","LM_0227","Wchange","E88:E64",NA
"9","LM_0227","OPG","E88:E64",NA
"10","LM_0227","IFNy_FEC","E88:E64",NA
"11","LM_0227","IFNy_CEWE","E88:E64",NA
"12","LM_0227","Caecum","E88:E64",NA
"13","LM_0227","delta","E88:E64",NA
"14","LM_0227","CXCR3","E88:E64",NA
"15","LM_0227","IRG6","E88:E64",NA
"16","LM_0227","IL.12","E88:E64",NA
"17","LM_0227","CD4","E88:E64",NA
"18","LM_0227","Treg","E88:E64",NA
"19","LM_0227","Div_Treg","E88:E64",NA
"20","LM_0227","Treg17","E88:E64",NA
"21","LM_0227","Treg_prop","E88:E64",NA
"22","LM_0227","Th1","E88:E64",NA
"23","LM_0227","Div_Th1","E88:E64",NA
"24","LM_0227","Th17","E88:E64",NA
"25","LM_0227","Div_Th17","E88:E64",NA
"26","LM_0227","CD8","E88:E64",NA
"27","LM_0227","Act_CD8","E88:E64",NA
"28","LM_0227","Div_Act_CD8","E88:E64",NA
"29","LM_0227","IFNy_CD4","E88:E64",NA
"30","LM_0227","IL17A_CD4","E88:E64",NA
"31","LM_0227","IFNy_CD8","E88:E64",NA
"32","LM_0228","labels","E88:E64",NA
"33","LM_0228","dpi","E88:E64",NA
"34","LM_0228","Strain","E88:E64",NA
"35","LM_0228","HybridStatus","E88:E64",NA
"36","LM_0228","primary","E88:E64",NA
"37","LM_0228","challenge","E88:E64",NA
"38","LM_0228","weight","E88:E64",NA
"39","LM_0228","Wchange","E88:E64",NA
"40","LM_0228","OPG","E88:E64",NA
"41","LM_0228","IFNy_FEC","E88:E64",NA
"42","LM_0228","IFNy_CEWE","E88:E64",NA
"43","LM_0228","Caecum","E88:E64",NA
"44","LM_0228","delta","E88:E64",NA
"45","LM_0228","CXCR3","E88:E64",NA
"46","LM_0228","IRG6","E88:E64",NA
"47","LM_0228","IL.12","E88:E64",NA
"48","LM_0228","CD4","E88:E64",NA
"49","LM_0228","Treg","E88:E64",NA
"50","LM_0228","Div_Treg","E88:E64",NA
"51","LM_0228","Treg17","E88:E64",NA
"52","LM_0228","Treg_prop","E88:E64",NA
"53","LM_0228","Th1","E88:E64",NA
"54","LM_0228","Div_Th1","E88:E64",NA
"55","LM_0228","Th17","E88:E64",NA
"56","LM_0228","Div_Th17","E88:E64",NA
"57","LM_0228","CD8","E88:E64",NA
"58","LM_0228","Act_CD8","E88:E64",NA
"59","LM_0228","Div_Act_CD8","E88:E64",NA
"60","LM_0228","IFNy_CD4","E88:E64",NA
"61","LM_0228","IL17A_CD4","E88:E64",NA
"62","LM_0228","IFNy_CD8","E88:E64",NA
"63","LM_0229","labels","E88:E88",NA
"64","LM_0229","dpi","E88:E88",NA
"65","LM_0229","Strain","E88:E88",NA
"66","LM_0229","HybridStatus","E88:E88",NA
"67","LM_0229","primary","E88:E88",NA
"68","LM_0229","challenge","E88:E88",NA
