"","Mouse_ID","Target","RT.Ct",".drop","EXP"
"1","AA_0067","B-actin",24.655,FALSE,"HZ16-17"
"2","AA_0240","B-actin",23.075,FALSE,"HZ16-17"
"3","AA_0243","B-actin",23.285,FALSE,"HZ16-17"
"4","AA_0257","B-actin",28.345,FALSE,"HZ16-17"
"5","AA_0261","B-actin",23.395,FALSE,"HZ16-17"
"6","AA_0280","B-actin",26.65,FALSE,"HZ16-17"
"7","AA_0312","B-actin",28.43,FALSE,"HZ16-17"
"8","AA_0352","B-actin",28.775,FALSE,"HZ16-17"
"9","AA_0237","B-actin",22.14,FALSE,"HZ16-17"
"10","AA_0259","B-actin",26.86,FALSE,"HZ16-17"
"11","AA_0298","B-actin",28.785,FALSE,"HZ16-17"
"12","AA_0303","B-actin",22.83,FALSE,"HZ16-17"
"13","AA_0314","B-actin",25.695,FALSE,"HZ16-17"
"14","AA_0316","B-actin",28.395,FALSE,"HZ16-17"
"15","AA_0345","B-actin",22.735,FALSE,"HZ16-17"
"16","AA_0347","B-actin",19.585,FALSE,"HZ16-17"
"17","AA_0053","B-actin",19.945,FALSE,"HZ16-17"
"18","AA_0061","B-actin",20.545,FALSE,"HZ16-17"
"19","AA_0065","B-actin",22.335,FALSE,"HZ16-17"
"20","AA_0072","B-actin",22.14,FALSE,"HZ16-17"
"21","AA_0348","B-actin",29.175,FALSE,"HZ16-17"
"22","AA_0408","B-actin",22.845,FALSE,"HZ16-17"
"23","AA_0413","B-actin",27,FALSE,"HZ16-17"
"24","AA_0428","B-actin",21,FALSE,"HZ16-17"
"25","AA_0079","B-actin",22.695,FALSE,"HZ16-17"
"26","AA_0128","B-actin",22.39,FALSE,"HZ16-17"
"27","AA_0360","B-actin",22.895,FALSE,"HZ16-17"
"28","AA_0376","B-actin",21.905,FALSE,"HZ16-17"
"29","AA_0431","B-actin",26.225,FALSE,"HZ16-17"
"30","AA_0446","B-actin",28.4,FALSE,"HZ16-17"
"31","AA_0452","B-actin",28.71,FALSE,"HZ16-17"
"32","AA_0093","B-actin",23.44,FALSE,"HZ16-17"
"33","AA_0099","B-actin",23.87,FALSE,"HZ16-17"
"34","AA_0120","B-actin",24.59,FALSE,"HZ16-17"
"35","AA_0123","B-actin",23.865,FALSE,"HZ16-17"
"36","AA_0202","B-actin",21.48,FALSE,"HZ16-17"
"37","AA_0301","B-actin",22.19,FALSE,"HZ16-17"
"38","AA_0311","B-actin",22.6,FALSE,"HZ16-17"
"39","AA_0465","B-actin",24.005,FALSE,"HZ16-17"
"40","AA_0078","B-actin",22.33,FALSE,"HZ16-17"
"41","AA_0082","B-actin",21.35,FALSE,"HZ16-17"
"42","AA_0115","B-actin",22.235,FALSE,"HZ16-17"
"43","AA_0370","B-actin",20.885,FALSE,"HZ16-17"
"44","AA_0375","B-actin",22.235,FALSE,"HZ16-17"
"45","AA_0389","B-actin",21.41,FALSE,"HZ16-17"
"46","AA_0429","B-actin",21.31,FALSE,"HZ16-17"
"47","AA_0454","B-actin",21.905,FALSE,"HZ16-17"
"48","AA_0086","B-actin",23.99,FALSE,"HZ16-17"
"49","AA_0130","B-actin",23.14,FALSE,"HZ16-17"
"50","AA_0153","B-actin",21.365,FALSE,"HZ16-17"
"51","AA_0208","B-actin",23.68,FALSE,"HZ16-17"
"52","AA_0358","B-actin",23.61,FALSE,"HZ16-17"
"53","AA_0404","B-actin",25.605,FALSE,"HZ16-17"
"54","AA_0406","B-actin",30.05,FALSE,"HZ16-17"
"55","AA_0460","B-actin",30.59,FALSE,"HZ16-17"
"56","AA_0323","B-actin",22.17,FALSE,"HZ16-17"
"57","AA_0338","B-actin",22.62,FALSE,"HZ16-17"
"58","AA_0395","B-actin",21.5,FALSE,"HZ16-17"
"59","AA_0396","B-actin",25.81,FALSE,"HZ16-17"
"60","AA_0432","B-actin",23.27,FALSE,"HZ16-17"
"61","AA_0434","B-actin",22.905,FALSE,"HZ16-17"
"62","AA_0437","B-actin",24.365,FALSE,"HZ16-17"
"63","AA_0458","B-actin",23.45,FALSE,"HZ16-17"
"64","AA_0094","B-actin",22.9,FALSE,"HZ16-17"
"65","AA_0101","B-actin",24.68,FALSE,"HZ16-17"
"66","AA_0167","B-actin",23.735,FALSE,"HZ16-17"
"67","AA_0169","B-actin",22.6,FALSE,"HZ16-17"
"68","AA_0171","B-actin",20.605,FALSE,"HZ16-17"
"69","AA_0390","B-actin",22.47,FALSE,"HZ16-17"
"70","AA_0424","B-actin",28.19,FALSE,"HZ16-17"
"71","AA_0438","B-actin",26.45,FALSE,"HZ16-17"
"72","AA_0090","B-actin",24.35,FALSE,"HZ16-17"
"73","AA_0106","B-actin",23.875,FALSE,"HZ16-17"
"74","AA_0113","B-actin",22.5,FALSE,"HZ16-17"
"75","AA_0121","B-actin",22.9,FALSE,"HZ16-17"
"76","AA_0173","B-actin",22.99,FALSE,"HZ16-17"
"77","AA_0176","B-actin",22.65,FALSE,"HZ16-17"
"78","AA_0190","B-actin",23.915,FALSE,"HZ16-17"
"79","AA_0209","B-actin",22.29,FALSE,"HZ16-17"
"80","AA_0105","B-actin",22.24,FALSE,"HZ16-17"
"81","AA_0112","B-actin",19.48,FALSE,"HZ16-17"
"82","AA_0129","B-actin",22.39,FALSE,"HZ16-17"
"83","AA_0165","B-actin",21.32,FALSE,"HZ16-17"
"84","AA_0168","B-actin",21.92,FALSE,"HZ16-17"
"85","AA_0175","B-actin",22.015,FALSE,"HZ16-17"
"86","AA_0183","B-actin",22.725,FALSE,"HZ16-17"
"87","AA_0393","B-actin",20.13,FALSE,"HZ16-17"
"88","AA_0067","GAPDH",19.535,FALSE,"HZ16-17"
"89","AA_0240","GAPDH",18.425,FALSE,"HZ16-17"
"90","AA_0243","GAPDH",18.32,FALSE,"HZ16-17"
"91","AA_0257","GAPDH",23.77,FALSE,"HZ16-17"
"92","AA_0261","GAPDH",17.655,FALSE,"HZ16-17"
"93","AA_0280","GAPDH",23.135,FALSE,"HZ16-17"
"94","AA_0312","GAPDH",22.875,FALSE,"HZ16-17"
"95","AA_0352","GAPDH",24.095,FALSE,"HZ16-17"
"96","AA_0237","GAPDH",17.495,FALSE,"HZ16-17"
"97","AA_0259","GAPDH",25.37,FALSE,"HZ16-17"
"98","AA_0298","GAPDH",24.37,FALSE,"HZ16-17"
"99","AA_0303","GAPDH",18.08,FALSE,"HZ16-17"
"100","AA_0314","GAPDH",20.745,FALSE,"HZ16-17"
"101","AA_0316","GAPDH",23.47,FALSE,"HZ16-17"
"102","AA_0345","GAPDH",18.47,FALSE,"HZ16-17"
"103","AA_0347","GAPDH",17.655,FALSE,"HZ16-17"
"104","AA_0053","GAPDH",16.25,FALSE,"HZ16-17"
"105","AA_0061","GAPDH",17.245,FALSE,"HZ16-17"
"106","AA_0065","GAPDH",19.375,FALSE,"HZ16-17"
"107","AA_0072","GAPDH",17.41,FALSE,"HZ16-17"
"108","AA_0348","GAPDH",20.33,FALSE,"HZ16-17"
"109","AA_0408","GAPDH",20.22,FALSE,"HZ16-17"
"110","AA_0413","GAPDH",22.965,FALSE,"HZ16-17"
"111","AA_0428","GAPDH",17.395,FALSE,"HZ16-17"
"112","AA_0079","GAPDH",22.9,FALSE,"HZ16-17"
"113","AA_0128","GAPDH",18.675,FALSE,"HZ16-17"
"114","AA_0360","GAPDH",19.18,FALSE,"HZ16-17"
"115","AA_0376","GAPDH",17.82,FALSE,"HZ16-17"
"116","AA_0431","GAPDH",23.835,FALSE,"HZ16-17"
"117","AA_0446","GAPDH",24.1,FALSE,"HZ16-17"
"118","AA_0452","GAPDH",29.81,FALSE,"HZ16-17"
"119","AA_0093","GAPDH",19.345,FALSE,"HZ16-17"
"120","AA_0099","GAPDH",19.67,FALSE,"HZ16-17"
"121","AA_0120","GAPDH",20.4,FALSE,"HZ16-17"
"122","AA_0123","GAPDH",20.105,FALSE,"HZ16-17"
"123","AA_0202","GAPDH",18.73,FALSE,"HZ16-17"
"124","AA_0301","GAPDH",18.425,FALSE,"HZ16-17"
"125","AA_0311","GAPDH",25.36,FALSE,"HZ16-17"
"126","AA_0465","GAPDH",20.425,FALSE,"HZ16-17"
"127","AA_0078","GAPDH",19.33,FALSE,"HZ16-17"
"128","AA_0082","GAPDH",17.255,FALSE,"HZ16-17"
"129","AA_0115","GAPDH",18.38,FALSE,"HZ16-17"
"130","AA_0370","GAPDH",18.16,FALSE,"HZ16-17"
"131","AA_0375","GAPDH",18.915,FALSE,"HZ16-17"
"132","AA_0389","GAPDH",18.695,FALSE,"HZ16-17"
"133","AA_0429","GAPDH",16.86,FALSE,"HZ16-17"
"134","AA_0454","GAPDH",18.93,FALSE,"HZ16-17"
"135","AA_0086","GAPDH",22.07,FALSE,"HZ16-17"
"136","AA_0130","GAPDH",19.075,FALSE,"HZ16-17"
"137","AA_0153","GAPDH",17.425,FALSE,"HZ16-17"
"138","AA_0208","GAPDH",19.52,FALSE,"HZ16-17"
"139","AA_0358","GAPDH",19.21,FALSE,"HZ16-17"
"140","AA_0404","GAPDH",21.775,FALSE,"HZ16-17"
"141","AA_0406","GAPDH",26.075,FALSE,"HZ16-17"
"142","AA_0460","GAPDH",24.99,FALSE,"HZ16-17"
"143","AA_0323","GAPDH",17.78,FALSE,"HZ16-17"
"144","AA_0338","GAPDH",17.765,FALSE,"HZ16-17"
"145","AA_0395","GAPDH",18.01,FALSE,"HZ16-17"
"146","AA_0396","GAPDH",21.625,FALSE,"HZ16-17"
"147","AA_0432","GAPDH",18.425,FALSE,"HZ16-17"
"148","AA_0434","GAPDH",18.08,FALSE,"HZ16-17"
"149","AA_0437","GAPDH",19.325,FALSE,"HZ16-17"
"150","AA_0458","GAPDH",19,FALSE,"HZ16-17"
"151","AA_0094","GAPDH",18.98,FALSE,"HZ16-17"
"152","AA_0101","GAPDH",19.625,FALSE,"HZ16-17"
"153","AA_0167","GAPDH",18.31,FALSE,"HZ16-17"
"154","AA_0169","GAPDH",18.46,FALSE,"HZ16-17"
"155","AA_0171","GAPDH",16.25,FALSE,"HZ16-17"
"156","AA_0390","GAPDH",19.67,FALSE,"HZ16-17"
"157","AA_0424","GAPDH",18.745,FALSE,"HZ16-17"
"158","AA_0438","GAPDH",18.245,FALSE,"HZ16-17"
