labels,EH_ID,dpi,weight,weightloss,weightRelativeToInfection,fecweight
ANP,LM0167,1,13.4,,,0.52
DKP,LM0168,1,26.5,,,2.12
OPT,LM0169,1,14.9,,,0.64
DHK,LM0170,1,22.2,,,0.77
JKM,LM0171,1,14,,,0.45
LSZ,LM0172,1,18.8,,,2.31
ILM,LM0173,1,14.5,,,1.44
BCP,LM0174,1,16.6,,,1.06
AFM,LM0175,1,26.2,,,1.1
AIQ,LM0176,1,22.8,,,0.71
HIR,LM0177,1,15.5,,,0.63
JMX,LM0178,1,18,,,1.28
BJK,LM0146,2,,,,
BEX,LM0147,2,,,,
FMO,LM0148,2,,,,
BCK,LM0149,2,,,,
GLU,LM0150,2,,,,
HJL,LM0151,2,,,,
AJX,LM0152,2,,,,
FKX,LM0153,2,,,,
DFW,LM0154,2,,,,
MQU,LM0155,2,,,,
GVX,LM0156,2,,,,
ADG,LM0157,2,,,,
MWX,LM0158,2,,,,
BEZ,LM0159,2,,,,
IJS,LM0160,2,,,,
DGM,LM0161,2,,,,
DKO,LM0162,2,,,,
GHL,LM0163,2,,,,
ILO,LM0164,2,,,,
GMO,LM0165,2,,,,
CEL,LM0166,2,,,,
LRU,LM0167,2,,,,
OSZ,LM0168,2,,,,
KRX,LM0169,2,,,,
FOZ,LM0170,2,,,,
JWZ,LM0171,2,,,,
FTV,LM0172,2,,,,
BJP,LM0173,2,,,,
FRZ,LM0174,2,,,,
NUZ,LM0175,2,,,,
RST,LM0176,2,,,,
HJZ,LM0177,2,,,,
LXY,LM0178,2,,,,
IKN,LM0146,3,NA,NA,NA,NA
ORY,LM0147,3,NA,NA,NA,NA
JYZ,LM0148,3,NA,NA,NA,NA
ELO,LM0149,3,NA,NA,NA,NA
DFM,LM0150,3,NA,NA,NA,NA
HKM,LM0151,3,NA,NA,NA,NA
IOT,LM0152,3,NA,NA,NA,NA
HJK,LM0153,3,NA,NA,NA,NA
LNS,LM0154,3,NA,NA,NA,NA
JWY,LM0155,3,NA,NA,NA,NA
ESX,LM0156,3,NA,NA,NA,NA
BEY,LM0157,3,NA,NA,NA,NA
IMV,LM0158,3,NA,NA,NA,NA
FMQ,LM0159,3,NA,NA,NA,NA
DQV,LM0160,3,NA,NA,NA,NA
WXY,LM0161,3,NA,NA,NA,NA
CHX,LM0162,3,NA,NA,NA,NA
OQT,LM0163,3,NA,NA,NA,NA
HMW,LM0164,3,NA,NA,NA,NA
HRX,LM0165,3,NA,NA,NA,NA
HWY,LM0166,3,NA,NA,NA,NA
DGW,LM0167,3,NA,NA,NA,NA
BJL,LM0168,3,NA,NA,NA,NA
JTY,LM0169,3,NA,NA,NA,NA
BNZ,LM0170,3,NA,NA,NA,NA
KQW,LM0171,3,NA,NA,NA,NA
ADM,LM0172,3,NA,NA,NA,NA
FNT,LM0173,3,NA,NA,NA,NA
NPQ,LM0174,3,NA,NA,NA,NA
CDZ,LM0175,3,NA,NA,NA,NA
AKY,LM0176,3,NA,NA,NA,NA
FOW,LM0177,3,NA,NA,NA,NA
HKX,LM0178,3,NA,NA,NA,NA
DFL,LM0146,4,NA,NA,NA,NA
QUV,LM0147,4,NA,NA,NA,NA
CIV,LM0148,4,NA,NA,NA,NA
JKQ,LM0149,4,NA,NA,NA,NA
COP,LM0150,4,NA,NA,NA,NA
IKX,LM0151,4,NA,NA,NA,NA
ACM,LM0152,4,NA,NA,NA,NA
PUZ,LM0153,4,NA,NA,NA,NA
CFR,LM0154,4,NA,NA,NA,NA
CER,LM0155,4,NA,NA,NA,NA
AQZ,LM0156,4,NA,NA,NA,NA
ISY,LM0157,4,NA,NA,NA,NA
HIQ,LM0158,4,NA,NA,NA,NA
HQV,LM0159,4,NA,NA,NA,NA
LVW,LM0160,4,NA,NA,NA,NA
CFN,LM0161,4,NA,NA,NA,NA
JQW,LM0162,4,NA,NA,NA,NA
EVY,LM0163,4,NA,NA,NA,NA
DFV,LM0164,4,NA,NA,NA,NA
DMR,LM0165,4,NA,NA,NA,NA
LNR,LM0166,4,NA,NA,NA,NA
RUZ,LM0167,4,NA,NA,NA,NA
AVX,LM0168,4,NA,NA,NA,NA
DTX,LM0169,4,NA,NA,NA,NA
CGY,LM0170,4,NA,NA,NA,NA
FNR,LM0171,4,NA,NA,NA,NA
MNU,LM0172,4,NA,NA,NA,NA
TVW,LM0173,4,NA,NA,NA,NA
FIT,LM0174,4,NA,NA,NA,NA
JLZ,LM0175,4,NA,NA,NA,NA
AQU,LM0176,4,NA,NA,NA,NA
CLV,LM0177,4,NA,NA,NA,NA
CJW,LM0178,4,NA,NA,NA,NA
PQY,LM0146,5,NA,NA,NA,NA
KSY,LM0147,5,NA,NA,NA,NA
COT,LM0148,5,NA,NA,NA,NA
DHN,LM0149,5,NA,NA,NA,NA
ALV,LM0150,5,NA,NA,NA,NA
DFT,LM0151,5,NA,NA,NA,NA
IMS,LM0152,5,NA,NA,NA,NA
EMP,LM0153,5,NA,NA,NA,NA
ABJ,LM0154,5,NA,NA,NA,NA
DWY,LM0155,5,NA,NA,NA,NA
NUW,LM0156,5,NA,NA,NA,NA
TUZ,LM0157,5,NA,NA,NA,NA
DMS,LM0158,5,NA,NA,NA,NA
BNX,LM0159,5,NA,NA,NA,NA
EPX,LM0160,5,NA,NA,NA,NA
ACQ,LM0161,5,NA,NA,NA,NA
FGX,LM0162,5,NA,NA,NA,NA
NPY,LM0163,5,NA,NA,NA,NA
CMO,LM0164,5,NA,NA,NA,NA
FPV,LM0165,5,NA,NA,NA,NA
BOT,LM0166,5,NA,NA,NA,NA
CFT,LM0167,5,NA,NA,NA,NA
KQV,LM0168,5,NA,NA,NA,NA
BEK,LM0169,5,NA,NA,NA,NA
INV,LM0170,5,NA,NA,NA,NA
FKW,LM0171,5,NA,NA,NA,NA
COQ,LM0172,5,NA,NA,NA,NA
EHV,LM0173,5,NA,NA,NA,NA
BDH,LM0174,5,NA,NA,NA,NA
AJY,LM0175,5,NA,NA,NA,NA
BVX,LM0176,5,NA,NA,NA,NA
ADH,LM0177,5,NA,NA,NA,NA
BFG,LM0178,5,NA,NA,NA,NA
JKT,LM0146,6,NA,NA,NA,NA
HJN,LM0147,6,NA,NA,NA,NA
HNW,LM0148,6,NA,NA,NA,NA
MVZ,LM0149,6,NA,NA,NA,NA
AJO,LM0150,6,NA,NA,NA,NA
ABM,LM0151,6,NA,NA,NA,NA
IMP,LM0152,6,NA,NA,NA,NA
NOP,LM0153,6,NA,NA,NA,NA
IXZ,LM0154,6,NA,NA,NA,NA
JMQ,LM0155,6,NA,NA,NA,NA
GTW,LM0156,6,NA,NA,NA,NA
EQV,LM0157,6,NA,NA,NA,NA
DNY,LM0158,6,NA,NA,NA,NA
EQT,LM0159,6,NA,NA,NA,NA
GNW,LM0160,6,NA,NA,NA,NA
CQR,LM0161,6,NA,NA,NA,NA
JRT,LM0162,6,NA,NA,NA,NA
CTY,LM0163,6,NA,NA,NA,NA
CEX,LM0164,6,NA,NA,NA,NA
CJO,LM0165,6,NA,NA,NA,NA
ASZ,LM0166,6,NA,NA,NA,NA
CQT,LM0167,6,NA,NA,NA,NA
LRT,LM0168,6,NA,NA,NA,NA
BPU,LM0169,6,NA,NA,NA,NA
GIS,LM0170,6,NA,NA,NA,NA
ITV,LM0171,6,NA,NA,NA,NA
CTW,LM0172,6,NA,NA,NA,NA
LQS,LM0173,6,NA,NA,NA,NA
SUY,LM0174,6,NA,NA,NA,NA
HTX,LM0175,6,NA,NA,NA,NA
HOU,LM0176,6,NA,NA,NA,NA
DFU,LM0177,6,NA,NA,NA,NA
GOW,LM0178,6,NA,NA,NA,NA
ADT,LM0146,7,NA,NA,NA,NA
JMT,LM0147,7,NA,NA,NA,NA
ISU,LM0148,7,NA,NA,NA,NA
MSX,LM0149,7,NA,NA,NA,NA
EVW,LM0150,7,NA,NA,NA,NA
JLW,LM0151,7,NA,NA,NA,NA
EJT,LM0152,7,NA,NA,NA,NA
CPV,LM0153,7,NA,NA,NA,NA
CLR,LM0154,7,NA,NA,NA,NA
GOV,LM0155,7,NA,NA,NA,NA
ASW,LM0156,7,NA,NA,NA,NA
BEM,LM0157,7,NA,NA,NA,NA
INW,LM0158,7,NA,NA,NA,NA
LNZ,LM0159,7,NA,NA,NA,NA
HQZ,LM0160,7,NA,NA,NA,NA
BHM,LM0161,7,NA,NA,NA,NA
MRU,LM0162,7,NA,NA,NA,NA
EKQ,LM0163,7,NA,NA,NA,NA
NSZ,LM0164,7,NA,NA,NA,NA
CJV,LM0165,7,NA,NA,NA,NA
LRV,LM0166,7,NA,NA,NA,NA
ABL,LM0167,7,NA,NA,NA,NA
AHQ,LM0168,7,NA,NA,NA,NA
GSZ,LM0169,7,NA,NA,NA,NA
CEZ,LM0170,7,NA,NA,NA,NA
ADE,LM0171,7,NA,NA,NA,NA
OPQ,LM0172,7,NA,NA,NA,NA
AGW,LM0173,7,NA,NA,NA,NA
FGV,LM0174,7,NA,NA,NA,NA
IKM,LM0175,7,NA,NA,NA,NA
CIJ,LM0176,7,NA,NA,NA,NA
MNW,LM0177,7,NA,NA,NA,NA
CGI,LM0178,7,NA,NA,NA,NA
ELZ,LM0146,8,NA,NA,NA,NA
AYZ,LM0147,8,NA,NA,NA,NA
PVZ,LM0148,8,NA,NA,NA,NA
EOW,LM0149,8,NA,NA,NA,NA
BQZ,LM0150,8,NA,NA,NA,NA
DIN,LM0151,8,NA,NA,NA,NA
DJY,LM0152,8,NA,NA,NA,NA
JNU,LM0153,8,NA,NA,NA,NA
QXY,LM0154,8,NA,NA,NA,NA
MXY,LM0155,8,NA,NA,NA,NA
ABD,LM0156,8,NA,NA,NA,NA
CPT,LM0157,8,NA,NA,NA,NA
BDX,LM0158,8,NA,NA,NA,NA
ACL,LM0159,8,NA,NA,NA,NA
DSU,LM0160,8,NA,NA,NA,NA
CEV,LM0161,8,NA,NA,NA,NA
IMU,LM0162,8,NA,NA,NA,NA
FGT,LM0163,8,NA,NA,NA,NA
FMP,LM0164,8,NA,NA,NA,NA
APY,LM0165,8,NA,NA,NA,NA
GMV,LM0166,8,NA,NA,NA,NA
CFV,LM0167,8,NA,NA,NA,NA
EKS,LM0168,8,NA,NA,NA,NA
NPT,LM0169,8,NA,NA,NA,NA
BIM,LM0170,8,NA,NA,NA,NA
PRX,LM0171,8,NA,NA,NA,NA
DGJ,LM0172,8,NA,NA,NA,NA
GHR,LM0173,8,NA,NA,NA,NA
FHM,LM0174,8,NA,NA,NA,NA
WYZ,LM0175,8,NA,NA,NA,NA
FTZ,LM0176,8,NA,NA,NA,NA
GTX,LM0177,8,NA,NA,NA,NA
HRU,LM0178,8,NA,NA,NA,NA
KOZ,LM0146,9,NA,NA,NA,NA
NRZ,LM0147,9,NA,NA,NA,NA
EGO,LM0148,9,NA,NA,NA,NA
FJN,LM0149,9,NA,NA,NA,NA
ACO,LM0150,9,NA,NA,NA,NA
GMX,LM0151,9,NA,NA,NA,NA
GUY,LM0152,9,NA,NA,NA,NA
DJX,LM0153,9,NA,NA,NA,NA
HIX,LM0154,9,NA,NA,NA,NA
EIX,LM0155,9,NA,NA,NA,NA
TWX,LM0156,9,NA,NA,NA,NA
JQT,LM0157,9,NA,NA,NA,NA
MTU,LM0158,9,NA,NA,NA,NA
KRU,LM0159,9,NA,NA,NA,NA
EJU,LM0160,9,NA,NA,NA,NA
LST,LM0161,9,NA,NA,NA,NA
ILY,LM0162,9,NA,NA,NA,NA
DNW,LM0163,9,NA,NA,NA,NA
ELQ,LM0164,9,NA,NA,NA,NA
BIL,LM0165,9,NA,NA,NA,NA
BHS,LM0166,9,NA,NA,NA,NA
IQZ,LM0167,9,NA,NA,NA,NA
DHJ,LM0168,9,NA,NA,NA,NA
DEK,LM0169,9,NA,NA,NA,NA
DRW,LM0170,9,NA,NA,NA,NA
EWY,LM0171,9,NA,NA,NA,NA
FLZ,LM0172,9,NA,NA,NA,NA
NPS,LM0173,9,NA,NA,NA,NA
JKZ,LM0174,9,NA,NA,NA,NA
ILS,LM0175,9,NA,NA,NA,NA
CJX,LM0176,9,NA,NA,NA,NA
FHZ,LM0177,9,NA,NA,NA,NA
DTU,LM0178,9,NA,NA,NA,NA
EXY,LM0146,10,NA,NA,NA,NA
PTU,LM0147,10,NA,NA,NA,NA
DGT,LM0148,10,NA,NA,NA,NA
CGN,LM0149,10,NA,NA,NA,NA
EGW,LM0150,10,NA,NA,NA,NA
GSY,LM0151,10,NA,NA,NA,NA
PVW,LM0152,10,NA,NA,NA,NA
HKT,LM0153,10,NA,NA,NA,NA
BEQ,LM0154,10,NA,NA,NA,NA
ACD,LM0155,10,NA,NA,NA,NA
JLV,LM0156,10,NA,NA,NA,NA
CEJ,LM0157,10,NA,NA,NA,NA
GKX,LM0158,10,NA,NA,NA,NA
KRT,LM0159,10,NA,NA,NA,NA
ORU,LM0160,10,NA,NA,NA,NA
BUX,LM0161,10,NA,NA,NA,NA
DEU,LM0162,10,NA,NA,NA,NA
EOR,LM0163,10,NA,NA,NA,NA
BLQ,LM0164,10,NA,NA,NA,NA
HLX,LM0165,10,NA,NA,NA,NA
EMU,LM0166,10,NA,NA,NA,NA
EMT,LM0167,10,NA,NA,NA,NA
GKP,LM0168,10,NA,NA,NA,NA
BMP,LM0169,10,NA,NA,NA,NA
AIW,LM0170,10,NA,NA,NA,NA
AJT,LM0171,10,NA,NA,NA,NA
IJP,LM0172,10,NA,NA,NA,NA
UVY,LM0173,10,NA,NA,NA,NA
EHP,LM0174,10,NA,NA,NA,NA
LNP,LM0175,10,NA,NA,NA,NA
BKZ,LM0176,10,NA,NA,NA,NA
BMO,LM0177,10,NA,NA,NA,NA
DHM,LM0178,10,NA,NA,NA,NA
EIT,LM0146,11,NA,NA,NA,NA
DGQ,LM0147,11,NA,NA,NA,NA
HQT,LM0148,11,NA,NA,NA,NA
EHI,LM0149,11,NA,NA,NA,NA
LOW,LM0150,11,NA,NA,NA,NA
HSV,LM0151,11,NA,NA,NA,NA
CGO,LM0152,11,NA,NA,NA,NA
JSY,LM0153,11,NA,NA,NA,NA
AEG,LM0154,11,NA,NA,NA,NA
DGL,LM0155,11,NA,NA,NA,NA
EGI,LM0156,11,NA,NA,NA,NA
FOV,LM0157,11,NA,NA,NA,NA
BQS,LM0158,11,NA,NA,NA,NA
GJM,LM0159,11,NA,NA,NA,NA
EKT,LM0160,11,NA,NA,NA,NA
GQR,LM0161,11,NA,NA,NA,NA
FIZ,LM0162,11,NA,NA,NA,NA
EIN,LM0163,11,NA,NA,NA,NA
AKU,LM0164,11,NA,NA,NA,NA
KSZ,LM0165,11,NA,NA,NA,NA
BOY,LM0166,11,NA,NA,NA,NA
HNS,LM0167,11,NA,NA,NA,NA
KRW,LM0168,11,NA,NA,NA,NA
BDJ,LM0169,11,NA,NA,NA,NA
ATW,LM0170,11,NA,NA,NA,NA
LPZ,LM0171,11,NA,NA,NA,NA
BHL,LM0172,11,NA,NA,NA,NA
BJY,LM0173,11,NA,NA,NA,NA
DVX,LM0174,11,NA,NA,NA,NA
GWX,LM0175,11,NA,NA,NA,NA
CFJ,LM0176,11,NA,NA,NA,NA
KPT,LM0177,11,NA,NA,NA,NA
APX,LM0178,11,NA,NA,NA,NA
