EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels
LM_0332,11,,61.2,,0,FOK
LM_0333,11,,52.7,,0,ENK
LM_0334,11,,50.7,,0,JIH
LM_0335,11,,49.4,,0,YTP
LM_0336,11,,51.9,,0,SMX
LM_0337,11,,44.7,,0,BSJ
LM_0338,11,,51.3,,0,PUD
LM_0339,11,,49.6,,0,TKS
LM_0340,11,,54.5,,0,QJU
LM_0341,11,,59.1,,0,AHL
LM_0342,11,,57,,0,XVS
LM_0343,11,,59.8,,0,ABJ
LM_0344,11,,51.4,,0,VEB
LM_0345,11,,60.7,,0,CNK
LM_0346,11,,53.9,,0,RPG
LM_0347,11,,71.5,,0,MCE
