EH_ID,labels,Expe,Neubauer1,Neubauer2,Neubauer3,Neubauer4,oocyst_mean,dilution_ml,OPG,dpi,weight,weight_dpi0,weightloss,Wchange,fecweight,Eimeria,X,X.1,X.2,X.3,X.4,Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,InfectionStrain,Mouse_subspecies,Mouse_strain,infection_isolate,Eimeria_species,mean_Neubauer,OPGstatus
LM0179,ACD,Expe005_1a,0,0,0,0,NA,1,0,0,18.93,18.93,0,100,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,na
LM0180,BLX,Expe005_1a,0,0,0,0,NA,1,0,0,24.10,24.10,0,100,"0,76",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,"6,25",positive
LM0181,AWY,Expe005_1a,0,0,0,0,NA,1,0,0,17.50,17.50,0,100,"0,51",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,"46,25",positive
LM0182,CLT,Expe005_1a,0,0,0,0,NA,1,0,0,16.94,16.94,0,100,"1,9",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,negative
LM0183,CEK,Expe005_1a,0,0,0,0,NA,1,0,0,17.08,17.08,0,100,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,na
LM0184,CUX,Expe005_1a,0,0,0,0,NA,1,0,0,22.80,22.80,0,100,"0,85",E88,soft feces,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,negative
LM0185,CEG,Expe005_1a,0,0,0,0,NA,1,0,0,20.10,20.10,0,100,"0,23",E88,diarrhea,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,"25,75",positive
LM0186,FPV,Expe005_1a,0,0,0,0,NA,1,0,0,18.10,18.10,0,100,"0,87",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,"0,5",positive
LM0187,FJS,Expe005_1a,0,0,0,0,NA,1,0,0,16.71,16.71,0,100,"0,74",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,"7,75",positive
LM0188,CIW,Expe005_1a,0,0,0,0,NA,1,0,0,20.60,20.60,0,100,"2,31",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,negative
