"","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","labels","day_change"
"85","LM_0336",5,NA,52.3,NA,NA,"OAW",NA
"86","LM_0337",5,NA,44.9,NA,NA,"EJI",NA
"87","LM_0338",5,NA,50.2,NA,NA,"YQQ",NA
"88","LM_0339",5,NA,48.5,NA,NA,"VGB",NA
"89","LM_0340",5,NA,53.6,NA,NA,"YBL",NA
"90","LM_0341",5,NA,58.1,NA,NA,"OCR",NA
"91","LM_0342",5,NA,55.6,NA,NA,"HGQ",NA
"92","LM_0343",5,NA,56.5,NA,NA,"POB",NA
"93","LM_0344",5,NA,48.6,NA,NA,"HOJ",NA
"94","LM_0345",5,NA,59.2,NA,NA,"FAR",NA
"95","LM_0346",5,NA,53.2,NA,NA,"SVF",NA
"96","LM_0347",5,NA,69.1,NA,NA,"INQ",NA
"97","LM_0332",6,NA,51.3,NA,NA,"UBY",NA
"98","LM_0333",6,NA,50,NA,NA,"MUY",NA
"99","LM_0334",6,NA,47.3,NA,NA,"QIT",NA
"100","LM_0335",6,NA,47,NA,NA,"RMA",NA
"101","LM_0336",6,NA,52.3,NA,NA,"NYU",NA
"102","LM_0337",6,NA,44.9,NA,NA,"AHV",NA
"103","LM_0338",6,NA,50.2,NA,NA,"QSG",NA
"104","LM_0339",6,NA,48.5,NA,NA,"LBS",NA
"105","LM_0340",6,NA,53.6,NA,NA,"LCA",NA
"106","LM_0341",6,NA,58.1,NA,NA,"EWH",NA
"107","LM_0342",6,NA,55.6,NA,NA,"YVL",NA
"108","LM_0343",6,NA,56.5,NA,NA,"JVY",NA
"109","LM_0344",6,NA,48.6,NA,NA,"HSI",NA
"110","LM_0345",6,NA,59.2,NA,NA,"LFC",NA
"111","LM_0346",6,NA,53.2,NA,NA,"XYA",NA
"112","LM_0347",6,NA,69.1,NA,NA,"UFY",NA
"113","LM_0332",7,NA,51.3,NA,NA,"CRA",NA
"114","LM_0333",7,NA,50,NA,NA,"JRF",NA
"115","LM_0334",7,NA,47.3,NA,NA,"OYV",NA
"116","LM_0335",7,NA,47,NA,NA,"ONI",NA
"117","LM_0336",7,NA,52.3,NA,NA,"BWS",NA
"118","LM_0337",7,NA,44.9,NA,NA,"QAP",NA
"119","LM_0338",7,NA,50.2,NA,NA,"XMO",NA
"120","LM_0339",7,NA,48.5,NA,NA,"UHH",NA
"121","LM_0340",7,NA,53.6,NA,NA,"FPD",NA
"122","LM_0341",7,NA,58.1,NA,NA,"BPO",NA
"123","LM_0342",7,NA,55.6,NA,NA,"XFC",NA
"124","LM_0343",7,NA,56.5,NA,NA,"LAV",NA
"125","LM_0344",7,NA,48.6,NA,NA,"ECK",NA
"126","LM_0345",7,NA,59.2,NA,NA,"FYX",NA
"127","LM_0346",7,NA,53.2,NA,NA,"VLZ",NA
"128","LM_0347",7,NA,69.1,NA,NA,"LSG",NA
"129","LM_0332",8,NA,51.3,NA,NA,"TBI",NA
"130","LM_0333",8,NA,50,NA,NA,"BTL",NA
"131","LM_0334",8,NA,47.3,NA,NA,"RLW",NA
"132","LM_0335",8,NA,47,NA,NA,"IIT",NA
"133","LM_0336",8,NA,52.3,NA,NA,"XFQ",NA
"134","LM_0337",8,NA,44.9,NA,NA,"KMJ",NA
"135","LM_0338",8,NA,50.2,NA,NA,"FWG",NA
"136","LM_0339",8,NA,48.5,NA,NA,"JUN",NA
"137","LM_0340",8,NA,53.6,NA,NA,"FLD",NA
"138","LM_0341",8,NA,58.1,NA,NA,"NQG",NA
"139","LM_0342",8,NA,55.6,NA,NA,"EVY",NA
"140","LM_0343",8,NA,56.5,NA,NA,"BQA",NA
"141","LM_0344",8,NA,48.6,NA,NA,"WYF",NA
"142","LM_0345",8,NA,59.2,NA,NA,"IHD",NA
"143","LM_0346",8,NA,53.2,NA,NA,"VJA",NA
"144","LM_0347",8,NA,69.1,NA,NA,"FMI",NA
