"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","weight","weight_dpi0","Wchange","HybridStatus","Strain","EXP"
"1","UNI",-4.82375,-8.44,8,"LM_0343","neg",1.62,19.2799309525011,NA,-4.39875,"E139:UNI",-2.47875,"P3bBQA",0,"E139",52.9,56.5,93.6283185840708,NA,"SWISS","P3"
"2","E64",-4.9625,-4.02,7,"LM_0336","pos",0.88,123.779469601635,NA,-3.73166666666667,"E88:E64",-5.355,"P3bBWS",448863.636363636,"E88",43.8,52.3,83.7476099426386,NA,"SWISS","P3"
"3","UNI",-5.69375,-10.49,8,"LM_0340","pos",2.44,50.9646675101204,NA,-4.47625,"E64:UNI",-7.54625,"P3bFLD",0,"E64",49.7,53.6,92.7238805970149,NA,"SWISS","P3"
"4","E88",-5.4825,-8.73,8,"LM_0347","pos",2.65,43.5591598840579,NA,-4.365,"E88:E88",-2.5175,"P3bFMI",5660.37735849057,"E88",60.4,69.1,87.4095513748191,NA,"SWISS","P3"
"5","E88",-4.73125,-1.65,8,"LM_0338","pos",1.5,380.523992986736,NA,-2.56875,"E64:E88",-1.18625,"P3bFWG",106666.666666667,"E64",48.3,50.2,96.2151394422311,NA,"SWISS","P3"
"6","E64",-5.8625,-4.38,7,"LM_0345","pos",1.96,176.343595005784,NA,-5.0325,"UNI:E64",-2.6525,"P3bFYX",895408.163265306,"UNI",54.8,59.2,92.5675675675675,NA,"SWISS","P3"
"7","UNI",-5.565,-5.57,8,"LM_0335","pos",1.78,23.6249410096919,NA,-3.9,"E88:UNI",-2.325,"P3bIIT",0,"E88",45.6,47,97.0212765957447,NA,"SWISS","P3"
"8","E64",-4.2175,-4.27,7,"LM_0333","pos",1.99,223.244833284625,NA,-4.325,"Eflab:E64",-0.550000000000001,"P3bJRF",743718.592964824,"Eflab",45.5,50,91,NA,"SWISS","P3"
"9","UNI",-4.49,-7.09,8,"LM_0337","pos",1.43,33.1153542171992,NA,-2.685,"E88:UNI",-1.2725,"P3bKMJ",3496.5034965035,"E88",43.2,44.9,96.2138084632517,NA,"SWISS","P3"
"10","E88",-4.64625,-1.78,8,"LM_0341","pos",0.79,300.31142053042,NA,-3.78125,"E139:E88",-1.74875,"P3bNQG",25316.4556962025,"E139",52.5,58.1,90.3614457831325,NA,"SWISS","P3"
"11","UNI",-5.3925,-4.94,8,"LM_0334","pos",2.15,47.4564142166688,NA,-4.61,"Eflab:UNI",-2.4,"P3bRLW",0,"Eflab",45.1,47.3,95.3488372093024,NA,"SWISS","P3"
"12","E88",-5.4525,-5.12,8,"LM_0332","pos",2.4,224.33938439495,NA,-5.085,"Eflab:E88",-2.025,"P3bTBI",0,"Eflab",50.6,51.3,98.635477582846,NA,"SWISS","P3"
"13","E64",-4.2725,-8.94,7,"LM_0339","pos",1.11,76.1230512085418,NA,-2.2675,"E64:E64",-1.095,"P3bUHH",135135.135135135,"E64",42,48.5,86.5979381443299,NA,"SWISS","P3"
"14","UNI",-5.47875,-8.74,8,"LM_0346","pos",1.87,14.9964342922672,NA,-4.52875,"UNI:UNI",-2.47625,"P3bVJA",0,"UNI",49.4,53.2,92.8571428571429,NA,"SWISS","P3"
"15",NA,-5.1025,-8.06,NA,"LM_0344","pos",NA,3.67231170010524,NA,-3.615,NA,-2.6825,"P3bXAK",NA,NA,NA,NA,NA,NA,"SWISS","P3"
"16","E64",-5.0575,-6.11,7,"LM_0342","pos",1.14,26.8867342101947,NA,-4.1675,"E139:E64",-2.525,"P3bXFC",39473.6842105263,"E139",46.5,55.6,83.6330935251799,NA,"SWISS","P3"
"17","E64",NA,NA,8,"LM_0333",NA,1.72,NA,NA,NA,"Eflab:E64",NA,"P3aATV",188953.488372093,"Eflab",49,52.7,92.9791271347249,NA,"SWISS","P3"
"18","E64",NA,NA,9,"LM_0336",NA,1.02,NA,NA,NA,"E88:E64",NA,"P3aAZR",465686.274509804,"E88",43.7,51.9,84.2003853564547,NA,"SWISS","P3"
"19","E88",NA,NA,10,"LM_0332",NA,0.27,NA,NA,NA,"Eflab:E88",NA,"P3aBBD",74074.0740740741,"Eflab",47.6,61.2,77.7777777777778,NA,"SWISS","P3"
"20","UNI",NA,NA,11,"LM_0337",NA,2.49,NA,NA,NA,"E88:UNI",NA,"P3aBSJ",12048.1927710843,"E88",40.8,44.7,91.2751677852349,NA,"SWISS","P3"
"21","E64",NA,NA,9,"LM_0345",NA,4.44,NA,NA,NA,"UNI:E64",NA,"P3aCCY",NA,"UNI",57.3,60.7,94.3986820428336,NA,"SWISS","P3"
"22","E64",NA,NA,7,"LM_0339",NA,1.93,NA,NA,NA,"E64:E64",NA,"P3aCXA",1103626.94300518,"E64",46.6,49.6,93.9516129032258,NA,"SWISS","P3"
"23","E88",NA,NA,5,"LM_0344",NA,3.15,NA,0,NA,"UNI:E88",NA,"P3aDAL",0,"UNI",50.7,51.4,98.6381322957199,NA,"SWISS","P3"
"24","UNI",NA,NA,7,"LM_0343",NA,1.13,NA,296.748537396371,NA,"E139:UNI",NA,"P3aDJM",79646.0176991151,"E139",51,59.8,85.2842809364548,NA,"SWISS","P3"
"25","UNI",NA,NA,4,"LM_0343",NA,2.77,NA,0,NA,"E139:UNI",NA,"P3aDTY",0,"E139",56.2,59.8,93.9799331103679,NA,"SWISS","P3"
"26","E88",NA,NA,7,"LM_0347",NA,3.75,NA,26.2920556868341,NA,"E88:E88",NA,"P3aDUN",364000,"E88",65.5,71.5,91.6083916083916,NA,"SWISS","P3"
"27","E88",NA,NA,7,"LM_0338",NA,2.61,NA,0,NA,"E64:E88",NA,"P3aDWO",174329.501915709,"E64",46.4,51.3,90.448343079922,NA,"SWISS","P3"
"28","UNI",NA,NA,8,"LM_0346",NA,3.7,NA,NA,NA,"UNI:UNI",NA,"P3aDXD",0,"UNI",52.4,53.9,97.2170686456401,NA,"SWISS","P3"
"29","E88",NA,NA,5,"LM_0338",NA,1.94,NA,71.4308186448006,NA,"E64:E88",NA,"P3aEEZ",275773.195876289,"E64",46.4,51.3,90.448343079922,NA,"SWISS","P3"
"30","E64",NA,NA,11,"LM_0333",NA,1.45,NA,NA,NA,"Eflab:E64",NA,"P3aENK",0,"Eflab",43.2,52.7,81.9734345351044,NA,"SWISS","P3"
"31","UNI",NA,NA,7,"LM_0337",NA,3.44,NA,NA,NA,"E88:UNI",NA,"P3aETL",75581.3953488372,"E88",44.7,44.7,100,NA,"SWISS","P3"
"32","UNI",NA,NA,7,"LM_0346",NA,3.12,NA,0,NA,"UNI:UNI",NA,"P3aFJS",0,"UNI",52.7,53.9,97.7736549165121,NA,"SWISS","P3"
"33","UNI",NA,NA,9,"LM_0335",NA,2.8,NA,NA,NA,"E88:UNI",NA,"P3aFLM",119642.857142857,"E88",43.6,49.4,88.2591093117409,NA,"SWISS","P3"
"34","E88",NA,NA,11,"LM_0332",NA,0.49,NA,NA,NA,"Eflab:E88",NA,"P3aFOK",20408.1632653061,"Eflab",45.9,61.2,75,NA,"SWISS","P3"
"35","E64",NA,NA,3,"LM_0339",NA,2.62,NA,5.92617647133014,NA,"E64:E64",NA,"P3aHIX",0,"E64",48.5,49.6,97.7822580645161,NA,"SWISS","P3"
"36","E88",NA,NA,9,"LM_0344",NA,1.5,NA,NA,NA,"UNI:E88",NA,"P3aIZU",0,"UNI",50,51.4,97.2762645914397,NA,"SWISS","P3"
"37","E64",NA,NA,6,"LM_0345",NA,2.58,NA,0,NA,"UNI:E64",NA,"P3aJGV",0,"UNI",56.7,60.7,93.4102141680395,NA,"SWISS","P3"
"38","UNI",NA,NA,11,"LM_0334",NA,0.85,NA,NA,NA,"Eflab:UNI",NA,"P3aJIH",0,"Eflab",39.4,50.7,77.7120315581854,NA,"SWISS","P3"
"39","UNI",NA,NA,7,"LM_0334",NA,2.07,NA,1.13376266139588,NA,"Eflab:UNI",NA,"P3aJIX",41062.8019323672,"Eflab",47.4,50.7,93.491124260355,NA,"SWISS","P3"
"40","E88",NA,NA,5,"LM_0341",NA,1.95,NA,279.378503473262,NA,"E139:E88",NA,"P3aJJH",194871.794871795,"E139",51.2,59.1,86.6328257191202,NA,"SWISS","P3"
"41","E64",NA,NA,10,"LM_0333",NA,0.6,NA,NA,NA,"Eflab:E64",NA,"P3aJOI",33333.3333333333,"Eflab",42.8,52.7,81.2144212523719,NA,"SWISS","P3"
"42","UNI",NA,NA,10,"LM_0334",NA,0.57,NA,NA,NA,"Eflab:UNI",NA,"P3aJVR",17543.8596491228,"Eflab",40.2,50.7,79.2899408284024,NA,"SWISS","P3"
"43","UNI",NA,NA,9,"LM_0334",NA,1.06,NA,NA,NA,"Eflab:UNI",NA,"P3aKEG",117924.528301887,"Eflab",42.3,50.7,83.4319526627219,NA,"SWISS","P3"
"44","UNI",NA,NA,3,"LM_0343",NA,1.06,NA,9.62578621607662,NA,"E139:UNI",NA,"P3aKPZ",0,"E139",57.3,59.8,95.819397993311,NA,"SWISS","P3"
"45","E64",NA,NA,7,"LM_0342",NA,2.2,NA,2.1253529448919,NA,"E139:E64",NA,"P3aKUB",75000,"E139",53.4,57,93.6842105263158,NA,"SWISS","P3"
"46","E88",NA,NA,7,"LM_0344",NA,1.35,NA,NA,NA,"UNI:E88",NA,"P3aKXD",0,"UNI",50.1,51.4,97.4708171206226,NA,"SWISS","P3"
"47","E88",NA,NA,7,"LM_0341",NA,2.86,NA,6.93375628339634,NA,"E139:E88",NA,"P3aLKM",298951.048951049,"E139",50.4,59.1,85.2791878172589,NA,"SWISS","P3"
"48","UNI",NA,NA,7,"LM_0340",NA,1.82,NA,27.682622433774,NA,"E64:UNI",NA,"P3aMAO",516483.516483516,"E64",50.5,54.5,92.6605504587156,NA,"SWISS","P3"
"49","E88",NA,NA,11,"LM_0347",NA,7.28,NA,NA,NA,"E88:E88",NA,"P3aMCE",9615.38461538462,"E88",63.2,71.5,88.3916083916084,NA,"SWISS","P3"
"50","E64",NA,NA,5,"LM_0342",NA,3.7,NA,4.29589113725598,NA,"E139:E64",NA,"P3aMNQ",212162.162162162,"E139",53.1,57,93.1578947368421,NA,"SWISS","P3"
"51","E64",NA,NA,4,"LM_0342",NA,2.5,NA,0,NA,"E139:E64",NA,"P3aMVU",2000,"E139",55.6,57,97.5438596491228,NA,"SWISS","P3"
"52","E64",NA,NA,5,"LM_0339",NA,1.74,NA,358.082663728646,NA,"E64:E64",NA,"P3aNLI",186781.609195402,"E64",44.2,49.6,89.1129032258064,NA,"SWISS","P3"
"53","E64",NA,NA,5,"LM_0345",NA,4.04,NA,0,NA,"UNI:E64",NA,"P3aNMF",0,"UNI",57.3,60.7,94.3986820428336,NA,"SWISS","P3"
"54","E88",NA,NA,6,"LM_0341",NA,0.52,NA,0,NA,"E139:E88",NA,"P3aNYG",1038461.53846154,"E139",50.3,59.1,85.1099830795262,NA,"SWISS","P3"
"55","E88",NA,NA,3,"LM_0341",NA,0.85,NA,0,NA,"E139:E88",NA,"P3aOML",0,"E139",54,59.1,91.3705583756345,NA,"SWISS","P3"
"56","E88",NA,NA,4,"LM_0338",NA,2.17,NA,55.7513039998587,NA,"E64:E88",NA,"P3aOMQ",0,"E64",49.6,51.3,96.6861598440546,NA,"SWISS","P3"
"57","E88",NA,NA,10,"LM_0347",NA,5.52,NA,NA,NA,"E88:E88",NA,"P3aOOZ",48913.0434782609,"E88",63.9,71.5,89.3706293706294,NA,"SWISS","P3"
"58","E88",NA,NA,9,"LM_0347",NA,4.15,NA,NA,NA,"E88:E88",NA,"P3aOSC",327710.843373494,"E88",65.2,71.5,91.1888111888112,NA,"SWISS","P3"
"59","E64",NA,NA,8,"LM_0345",NA,2.72,NA,NA,NA,"UNI:E64",NA,"P3aPEE",0,"UNI",57.6,60.7,94.8929159802306,NA,"SWISS","P3"
"60","E64",NA,NA,9,"LM_0333",NA,0.85,NA,NA,NA,"Eflab:E64",NA,"P3aPFK",76470.5882352941,"Eflab",45.8,52.7,86.9070208728653,NA,"SWISS","P3"
"61","E64",NA,NA,7,"LM_0333",NA,3.46,NA,0,NA,"Eflab:E64",NA,"P3aPLG",56358.3815028902,"Eflab",51,52.7,96.7741935483871,NA,"SWISS","P3"
"62","E64",NA,NA,4,"LM_0339",NA,3.03,NA,418.105036595285,NA,"E64:E64",NA,"P3aQBP",0,"E64",47,49.6,94.758064516129,NA,"SWISS","P3"
"63","UNI",NA,NA,10,"LM_0337",NA,1.81,NA,NA,NA,"E88:UNI",NA,"P3aQEC",11049.7237569061,"E88",39.3,44.7,87.9194630872483,NA,"SWISS","P3"
"64","E88",NA,NA,8,"LM_0344",NA,1.14,NA,NA,NA,"UNI:E88",NA,"P3aQEO",0,"UNI",50,51.4,97.2762645914397,NA,"SWISS","P3"
"65","UNI",NA,NA,6,"LM_0340",NA,1.14,NA,0,NA,"E64:UNI",NA,"P3aREI",258771.929824561,"E64",49,54.5,89.908256880734,NA,"SWISS","P3"
"66","E64",NA,NA,7,"LM_0345",NA,4.4,NA,0,NA,"UNI:E64",NA,"P3aRJA",0,"UNI",56.7,60.7,93.4102141680395,NA,"SWISS","P3"
"67","E88",NA,NA,8,"LM_0332",NA,0.76,NA,NA,NA,"Eflab:E88",NA,"P3aRRF",361842.105263158,"Eflab",53.8,61.2,87.9084967320261,NA,"SWISS","P3"
"68","UNI",NA,NA,9,"LM_0346",NA,3.81,NA,NA,NA,"UNI:UNI",NA,"P3aSBV",0,"UNI",52.5,53.9,97.4025974025974,NA,"SWISS","P3"
"69","E64",NA,NA,11,"LM_0336",NA,2.91,NA,NA,NA,"E88:E64",NA,"P3aSMX",6872.85223367698,"E88",44.6,51.9,85.9344894026975,NA,"SWISS","P3"
"70","E64",NA,NA,6,"LM_0339",NA,1.17,NA,321.44271867591,NA,"E64:E64",NA,"P3aSQC",1623931.62393162,"E64",44.2,49.6,89.1129032258064,NA,"SWISS","P3"
"71","UNI",NA,NA,5,"LM_0340",NA,1.45,NA,80.4682673343534,NA,"E64:UNI",NA,"P3aSRE",637931.034482759,"E64",48.8,54.5,89.5412844036697,NA,"SWISS","P3"
"72","E64",NA,NA,10,"LM_0336",NA,0.81,NA,NA,NA,"E88:E64",NA,"P3aSVD",67901.2345679012,"E88",43.6,51.9,84.0077071290944,NA,"SWISS","P3"
"73","E88",NA,NA,4,"LM_0341",NA,1.68,NA,56.5514684871042,NA,"E139:E88",NA,"P3aSVZ",0,"E139",53.7,59.1,90.8629441624366,NA,"SWISS","P3"
"74","UNI",NA,NA,5,"LM_0346",NA,4.04,NA,0,NA,"UNI:UNI",NA,"P3aSWK",0,"UNI",52.3,53.9,97.0315398886828,NA,"SWISS","P3"
"75","E88",NA,NA,6,"LM_0344",NA,1.4,NA,0,NA,"UNI:E88",NA,"P3aTOW",0,"UNI",50.2,51.4,97.6653696498055,NA,"SWISS","P3"
"76","E88",NA,NA,7,"LM_0332",NA,1.46,NA,NA,NA,"Eflab:E88",NA,"P3aTQH",0,"Eflab",57.4,61.2,93.7908496732026,NA,"SWISS","P3"
"77","UNI",NA,NA,8,"LM_0337",NA,2.76,NA,NA,NA,"E88:UNI",NA,"P3aTQK",603260.869565217,"E88",42.3,44.7,94.6308724832215,NA,"SWISS","P3"
"78","UNI",NA,NA,7,"LM_0335",NA,1.9,NA,NA,NA,"E88:UNI",NA,"P3aTSI",236842.105263158,"E88",47,49.4,95.1417004048583,NA,"SWISS","P3"
"79","UNI",NA,NA,6,"LM_0343",NA,0.86,NA,151.400530521322,NA,"E139:UNI",NA,"P3aTSY",1505813.95348837,"E139",51.6,59.8,86.2876254180602,NA,"SWISS","P3"
"80","UNI",NA,NA,4,"LM_0340",NA,2.56,NA,9.40265410976475,NA,"E64:UNI",NA,"P3aTVC",0,"E64",50.2,54.5,92.1100917431193,NA,"SWISS","P3"
"81","UNI",NA,NA,8,"LM_0335",NA,2.37,NA,NA,NA,"E88:UNI",NA,"P3aUAS",179324.894514768,"E88",45.1,49.4,91.2955465587045,NA,"SWISS","P3"
"82","UNI",NA,NA,8,"LM_0334",NA,0.95,NA,NA,NA,"Eflab:UNI",NA,"P3aURW",126315.789473684,"Eflab",44.6,50.7,87.9684418145957,NA,"SWISS","P3"
"83","E88",NA,NA,3,"LM_0338",NA,2.4,NA,30.5064882715071,NA,"E64:E88",NA,"P3aUWS",0,"E64",50.4,51.3,98.2456140350877,NA,"SWISS","P3"
"84","E64",NA,NA,8,"LM_0336",NA,2.75,NA,NA,NA,"E88:E64",NA,"P3aUXG",249090.909090909,"E88",47.9,51.9,92.2928709055877,NA,"SWISS","P3"
"85","UNI",NA,NA,3,"LM_0340",NA,1.16,NA,0,NA,"E64:UNI",NA,"P3aUZT",4310.34482758621,"E64",52.7,54.5,96.697247706422,NA,"SWISS","P3"
"86","UNI",NA,NA,9,"LM_0337",NA,1.4,NA,NA,NA,"E88:UNI",NA,"P3aVKX",582142.857142857,"E88",39.7,44.7,88.8143176733781,NA,"SWISS","P3"
"87","UNI",NA,NA,5,"LM_0343",NA,1.8,NA,32.2562706625771,NA,"E139:UNI",NA,"P3aWMM",227777.777777778,"E139",53.3,59.8,89.1304347826087,NA,"SWISS","P3"
"88","UNI",NA,NA,10,"LM_0335",NA,1.54,NA,NA,NA,"E88:UNI",NA,"P3aWSE",51948.0519480519,"E88",42.5,49.4,86.0323886639676,NA,"SWISS","P3"
"89","E64",NA,NA,7,"LM_0336",NA,3.37,NA,NA,NA,"E88:E64",NA,"P3aWTG",234421.364985163,"E88",49.7,51.9,95.7610789980732,NA,"SWISS","P3"
"90","E64",NA,NA,3,"LM_0342",NA,1.8,NA,4.06682666577567,NA,"E139:E64",NA,"P3aXYE",0,"E139",56.3,57,98.7719298245614,NA,"SWISS","P3"
"91","E88",NA,NA,9,"LM_0332",NA,0.64,NA,NA,NA,"Eflab:E88",NA,"P3aYJG",242187.5,"Eflab",49.9,61.2,81.5359477124183,NA,"SWISS","P3"
"92","E88",NA,NA,8,"LM_0347",NA,4.86,NA,NA,NA,"E88:E88",NA,"P3aYMT",187242.798353909,"E88",63.7,71.5,89.0909090909091,NA,"SWISS","P3"
"93","E64",NA,NA,6,"LM_0342",NA,1.96,NA,25.4754716010109,NA,"E139:E64",NA,"P3aYNS",627551.020408163,"E139",52.7,57,92.4561403508772,NA,"SWISS","P3"
"94","UNI",NA,NA,11,"LM_0335",NA,3.06,NA,NA,NA,"E88:UNI",NA,"P3aYTP",19607.8431372549,"E88",43.6,49.4,88.2591093117409,NA,"SWISS","P3"
"95","UNI",NA,NA,6,"LM_0346",NA,3.92,NA,247.11678102021,NA,"UNI:UNI",NA,"P3aZQY",0,"UNI",52.5,53.9,97.4025974025974,NA,"SWISS","P3"
